
[00:00:00.000 --> 00:00:03.000]  李靖平安
[00:00:03.000 --> 00:00:08.000]  我們的敬拜將雨天都驅散
[00:00:08.000 --> 00:00:11.000]  今天的講題
[00:00:11.000 --> 00:00:14.000]  尤其明知水瓶座最愛是流淚
[00:00:14.000 --> 00:00:18.000]  一句黃偉文填詞的歌詞
[00:00:18.000 --> 00:00:21.000]  可惜我是天秤座
[00:00:21.000 --> 00:00:27.000]  所以今天不能夠完全揣摩到這首歌的歌詞
[00:00:27.000 --> 00:00:34.000]  聽聞這首歌當年黃偉文填詞給楊千嬅的時候
[00:00:34.000 --> 00:00:38.000]  純粹憑他自己的想像出來
[00:00:38.000 --> 00:00:41.000]  沒有一句是真實
[00:00:41.000 --> 00:00:45.000]  都是他對著楊千嬅的感覺寫一首歌出來
[00:00:45.000 --> 00:00:47.000]  唯一有一句是真實的
[00:00:47.000 --> 00:00:52.000]  就是那句「拿長島冰茶來換我半碼安睡」
[00:00:52.000 --> 00:00:58.000]  那句是他曾經見過她喝了一杯長島冰茶就寫出來
[00:00:58.000 --> 00:01:00.000]  其實我對這首歌不太熟悉
[00:01:00.000 --> 00:01:03.000]  我自己對水瓶座也不太熟悉
[00:01:03.000 --> 00:01:09.000]  坦白說水瓶座會想起柱光女神之款式
[00:01:09.000 --> 00:01:12.000]  不知道大家是否有人認識
[00:01:12.000 --> 00:01:15.000]  明白就明白吧
[00:01:15.000 --> 00:01:18.000]  無論如何香港人的十二度風味
[00:01:18.000 --> 00:01:23.000]  我們今天會談談香港人的眼淚
[00:01:23.000 --> 00:01:27.000]  到底香港人是否有很多眼淚呢?
[00:01:27.000 --> 00:01:29.000]  可能我們也不太發現
[00:01:29.000 --> 00:01:36.000]  但普遍來說香港人也不太願意哭的民族
[00:01:36.000 --> 00:01:39.000]  可能太忙或太累
[00:01:39.000 --> 00:01:42.000]  香港人就算哭也不會哭很久
[00:01:42.000 --> 00:01:49.000]  習慣了把眼淚盡快取代
[00:01:49.000 --> 00:01:55.000]  廣東話有一句說話叫做「哭L咗」
[00:01:55.000 --> 00:01:58.000]  中間夾了一句粗口
[00:01:58.000 --> 00:02:01.000]  發覺整個字就感覺不同了
[00:02:01.000 --> 00:02:07.000]  上次Pu Sir說的那句字是解作「考手」
[00:02:07.000 --> 00:02:11.000]  我們香港人是很懂得如何哭的民族
[00:02:11.000 --> 00:02:14.000]  我們說是一句「哭咗」
[00:02:14.000 --> 00:02:17.000]  明明哭過的
[00:02:17.000 --> 00:02:20.000]  突然加上一句粗口字就收回了
[00:02:20.000 --> 00:02:22.000]  好像不哭一樣
[00:02:22.000 --> 00:02:24.000]  馬上沒事了,再來一次
[00:02:24.000 --> 00:02:28.000]  香港人在這幾年來
[00:02:28.000 --> 00:02:33.000]  習慣了隱藏眼淚
[00:02:33.000 --> 00:02:39.000]  「哭L咗」說了我們當中很多的心聲
[00:02:39.000 --> 00:02:42.000]  我不知道你是否一個經常哭的人
[00:02:42.000 --> 00:02:44.000]  我是一個經常哭的人
[00:02:44.000 --> 00:02:47.000]  我自己曾經是經常哭,哭得很多的人
[00:02:47.000 --> 00:02:49.000]  不過這幾年我自己哭少了
[00:02:49.000 --> 00:02:51.000]  我稍後會再分享給大家聽
[00:02:51.000 --> 00:02:58.000]  不過我發現我們要說一篇有關哭的港島
[00:02:58.000 --> 00:02:59.000]  其實也不是太難
[00:02:59.000 --> 00:03:01.000]  但在聲音中你會發覺
[00:03:01.000 --> 00:03:05.000]  很多有關哭的字眼在裡面
[00:03:05.000 --> 00:03:09.000]  聲音裡出現了209次哭這個字
[00:03:09.000 --> 00:03:12.000]  眼淚出現了30次
[00:03:12.000 --> 00:03:15.000]  流淚出現了24次
[00:03:15.000 --> 00:03:17.000]  相反笑也只出現了多少次?
[00:03:17.000 --> 00:03:19.000]  只有98次
[00:03:19.000 --> 00:03:21.000]  所以聲音裡你會發覺
[00:03:21.000 --> 00:03:25.000]  哭比笑壓倒性的多
[00:03:25.000 --> 00:03:28.000]  所以今天我去預備這篇港島的時候
[00:03:28.000 --> 00:03:31.000]  實在是沒什麼困難
[00:03:31.000 --> 00:03:35.000]  找一篇有關哭泣的經文其實太多太多
[00:03:35.000 --> 00:03:37.000]  甚至我不知道該怎麼選擇
[00:03:37.000 --> 00:03:40.000]  不過最後我還是選擇了這段經文
[00:03:40.000 --> 00:03:44.000]  這段是一節裡只有四個字的經文
[00:03:44.000 --> 00:03:47.000]  《全本聖經》裡最短的一段經文
[00:03:47.000 --> 00:03:49.000]  《讓福音》第十一章三十五節
