
[00:00:00.000 --> 00:00:02.520]  今晚我們會看一段經文
[00:00:02.520 --> 00:00:05.480]  這段經文可能你們也有些印象
[00:00:05.480 --> 00:00:08.000]  是記載在路加福音
[00:00:08.000 --> 00:00:09.160]  耶穌復活之後
[00:00:09.160 --> 00:00:13.240]  他貼近兩個寂寂無名的門徒
[00:00:13.240 --> 00:00:17.040]  路加獨特地記載這一段
[00:00:17.040 --> 00:00:18.800]  我們已熟能詳
[00:00:18.800 --> 00:00:21.040]  亦都很詳細地記載
[00:00:21.040 --> 00:00:25.000]  耶穌如何與這兩位門徒相處
[00:00:25.000 --> 00:00:26.440]  為了什麼呢?
[00:00:26.440 --> 00:00:28.720]  我們有沒有想過這個問題?
[00:00:28.720 --> 00:00:31.120]  四卷福音書有四個結局
[00:00:31.120 --> 00:00:34.600]  路加刻意選擇了記載
[00:00:34.600 --> 00:00:37.200]  他記載耶穌貼近兩個門徒
[00:00:37.200 --> 00:00:39.520]  又出現又不見了
[00:00:39.520 --> 00:00:41.000]  為了什麼呢?
[00:00:41.000 --> 00:00:44.720]  今晚我們嘗試再重溫這個故事
[00:00:44.720 --> 00:00:47.400]  願神今晚對我們每一個說話
[00:00:47.400 --> 00:00:50.320]  我們先讀一讀今晚思想的經文
[00:00:50.320 --> 00:00:54.120]  路加福音二十四章
[00:00:54.120 --> 00:00:55.920]  如果大家看到頭影
[00:00:55.920 --> 00:00:58.920]  我們都一齊讀一讀這段經文
[00:00:58.920 --> 00:01:04.320]  預備起
[00:01:04.320 --> 00:01:07.920]  「天網萬物,互道中有一個人
[00:01:07.920 --> 00:01:09.920]  我被他穿刺他
[00:01:09.920 --> 00:01:12.920]  被穿刺並挑釁他五次
[00:01:12.920 --> 00:01:16.520]  被他扭抄他一百二十五次
[00:01:16.520 --> 00:01:20.920]  他無氣喘喊痛所遇見的這些世事
[00:01:20.920 --> 00:01:23.520]  被喊痛傷痛的時候
[00:01:23.520 --> 00:01:25.920]  耶穌曾自救人喊悟
[00:01:25.920 --> 00:01:27.720]  我喊悟他
[00:01:27.720 --> 00:01:30.520]  以至喊悟的人並不是無聊
[00:01:30.520 --> 00:01:31.920]  可以吃他
[00:01:31.920 --> 00:01:33.920]  耶穌對喊悟說
[00:01:33.920 --> 00:01:37.920]  你夢透了我被使喊的力士什麼事呢
[00:01:37.920 --> 00:01:39.720]  喊悟就贊助
[00:01:39.720 --> 00:01:41.920]  你將快速收容」
[00:01:41.920 --> 00:01:51.320]  「耶穌就為我並挑剔了他的苦難說
[00:01:51.320 --> 00:01:53.720]  你在耶路撒冷作客
[00:01:53.720 --> 00:01:58.120]  我能夠知道這是幾點在哪裡所出的事嗎
[00:01:58.120 --> 00:02:00.720]  耶穌說什麼事呢
[00:02:00.720 --> 00:02:04.720]  喊悟說就是亞瑟拉人耶穌的事
[00:02:04.720 --> 00:02:06.520]  下士國善治
[00:02:06.520 --> 00:02:08.920]  在神國中發生現象
[00:02:08.920 --> 00:02:11.520]  說話行事高有大能
[00:02:11.520 --> 00:02:14.320]  你先將我和我的官僱
[00:02:14.320 --> 00:02:15.920]  請把他帶去
[00:02:15.920 --> 00:02:17.520]  並要死罪
[00:02:17.520 --> 00:02:19.520]  並再十次加償」
[00:02:20.520 --> 00:02:22.520]  「耶穌對喊悟說
[00:02:22.520 --> 00:02:24.520]  無知的人喊天地靈
[00:02:24.520 --> 00:02:27.520]  我喊悟說我作客
[00:02:27.520 --> 00:02:30.520]  耶穌從以色列和亞洲之下
[00:02:30.520 --> 00:02:32.520]  不但遇至
[00:02:32.520 --> 00:02:34.520]  而且即使成就
[00:02:34.520 --> 00:02:36.520]  現在已經三天了
[00:02:36.520 --> 00:02:37.520]  在這
[00:02:37.520 --> 00:02:39.520]  我們中間有幾個苦慮
[00:02:39.520 --> 00:02:41.520]  使我們避免
[00:02:41.520 --> 00:02:44.520]  喊悟請祖導我們群眾下去
[00:02:44.520 --> 00:02:46.520]  不論是在地上
[00:02:46.520 --> 00:02:49.520]  喊悟請祖導我們群眾下去
[00:02:49.520 --> 00:02:51.520]  不論是在地上
[00:02:51.520 --> 00:02:53.520]  就會來告訴我們
[00:02:53.520 --> 00:02:55.520]  說喊悟要天賜天驗
[00:02:55.520 --> 00:02:57.520]  說喊悟要
[00:02:57.520 --> 00:02:59.520]  將我們幾個人
