
[00:00:00.000 --> 00:00:08.000]  鄧姐妹平安
[00:00:08.000 --> 00:00:12.000]  這是我們劉棠2023年第一個崇拜
[00:00:12.000 --> 00:00:14.000]  祝大家新年快樂
[00:00:14.000 --> 00:00:20.000]  2023年我自己是充滿期盼和樂觀的
[00:00:20.000 --> 00:00:22.000]  祝我幾天祈禱
[00:00:22.000 --> 00:00:25.000]  盼望劉棠的鄧姊妹
[00:00:25.000 --> 00:00:27.000]  都能夠在2023年裏面
[00:00:27.000 --> 00:00:33.000]  經歷一個滿有盼望、重新出發、平安、快樂的一年
[00:00:33.000 --> 00:00:36.000]  這些不是客套的說話
[00:00:36.000 --> 00:00:39.000]  過去幾年我們都覺得不容易
[00:00:39.000 --> 00:00:43.000]  2019年我們都經歷了人生裏面最難忘的一年
[00:00:43.000 --> 00:00:49.000]  然後2020年是痛苦和流淚的延續
[00:00:49.000 --> 00:00:52.000]  2021年都沒有什麼特別的感覺
[00:00:52.000 --> 00:00:54.000]  想快點skip
[00:00:54.000 --> 00:00:58.000]  2022年都沒有什麼特別的氣息
[00:00:58.000 --> 00:01:01.000]  不過踏入2023年
[00:01:01.000 --> 00:01:08.000]  我都似乎感覺到世界、社會來到2023年的時候
[00:01:08.000 --> 00:01:13.000]  情況好像出現了一點點的改變
[00:01:13.000 --> 00:01:17.000]  不是客觀環境的突破
[00:01:17.000 --> 00:01:20.000]  這個社會依然都是差不多
[00:01:20.000 --> 00:01:27.000]  而世界的人似乎我們改變了一些東西
[00:01:27.000 --> 00:01:30.000]  有些人離開了一些困局
[00:01:30.000 --> 00:01:33.000]  有些人領悟到一些道理
[00:01:33.000 --> 00:01:36.000]  有些人見到一些事情
[00:01:36.000 --> 00:01:39.000]  能夠成長的成長
[00:01:39.000 --> 00:01:41.000]  能夠找到一些出路的
[00:01:41.000 --> 00:01:43.000]  找到一些出路
[00:01:43.000 --> 00:01:46.000]  雖然這些出路未必是一片光明的東西
[00:01:46.000 --> 00:01:50.000]  但我們最少每個人都嘗試踏入
[00:01:50.000 --> 00:01:53.000]  走進我們2023年
[00:01:53.000 --> 00:01:56.000]  所以2023年我是樂觀的
[00:01:56.000 --> 00:02:01.000]  因為能夠改變的不是這個世界而是我們
[00:02:01.000 --> 00:02:06.000]  當我們成長了、改變了、強大了的時候
[00:02:06.000 --> 00:02:10.000]  同時間這個世界都不能不說是被改變
[00:02:10.000 --> 00:02:15.000]  所以這個原因我們面對2023年
[00:02:15.000 --> 00:02:19.000]  Full Church的第一個主題是漢建
[00:02:19.000 --> 00:02:21.000]  漢建Vision
[00:02:21.000 --> 00:02:25.000]  不知道大家有沒有聽過類似的說話
[00:02:25.000 --> 00:02:29.000]  我們的視野決定我們的高度
[00:02:29.000 --> 00:02:32.000]  不知道大家明不明白這句說話的意思
[00:02:32.000 --> 00:02:35.000]  我們的視野決定我們的高度
[00:02:35.000 --> 00:02:38.000]  當然可能聽過這句說話的相反
[00:02:38.000 --> 00:02:40.000]  高度又決定視野
[00:02:40.000 --> 00:02:44.000]  所謂高度決定視野其實都是一些物理原則
[00:02:44.000 --> 00:02:47.000]  你走高一點就望遠一點
[00:02:47.000 --> 00:02:50.000]  是玉瓊千里目的朋友
[00:02:50.000 --> 00:02:56.000]  視野決定高度是一個人生的哲理
[00:02:56.000 --> 00:02:58.000]  在我們的人生裏面
[00:02:58.000 --> 00:03:00.000]  我們作為基督徒
[00:03:00.000 --> 00:03:03.000]  我們作為天父上帝的兒女
[00:03:03.000 --> 00:03:07.000]  我們的眼光正在定義我們的高度
[00:03:07.000 --> 00:03:09.000]  你看得有多遠
[00:03:09.000 --> 00:03:11.000]  我們的生命就可以有多高
[00:03:11.000 --> 00:03:13.000]  你看得有多闊
[00:03:13.000 --> 00:03:16.000]  我們的生命就可以有多廣闊
[00:03:16.000 --> 00:03:20.000]  漢建似乎是一切事物的第一步
[00:03:20.000 --> 00:03:22.000]  所以面對2023年
[00:03:22.000 --> 00:03:25.000]  我們懂得如何去看世界
[00:03:25.000 --> 00:03:29.000]  在一切行動和動機以先
[00:03:29.000 --> 00:03:32.000]  我們懂得如何去看世界
[00:03:32.000 --> 00:03:36.000]  我們思考我們的信仰和視野的問題
[00:03:36.000 --> 00:03:40.000]  所以我們講到的題目是
[00:03:40.000 --> 00:03:42.000]  What is the apple of his eye?
[00:03:42.000 --> 00:03:45.000]  正如這個海報給了你一些提示
[00:03:45.000 --> 00:03:48.000]  這篇道的起源就是《絕望研究所》
[00:03:48.000 --> 00:03:52.000]  其中一個海報或是一個蘋果的袋
[00:03:52.000 --> 00:03:55.000]  其實《絕望研究所》這套劇中
[00:03:55.000 --> 00:03:58.000]  其中一個很重要的開始
[00:03:58.000 --> 00:04:00.000]  其實就是馬丁路德一句名言
[00:04:00.000 --> 00:04:02.000]  我都講過在劇中
[00:04:02.000 --> 00:04:04.000]  如果明天是世界末日
[00:04:04.000 --> 00:04:08.000]  我都會選擇將蘋果樹種下來
[00:04:08.000 --> 00:04:10.000]  不知道為什麼路德會講蘋果樹
[00:04:10.000 --> 00:04:12.000]  但總之就是蘋果樹
[00:04:12.000 --> 00:04:14.000]  於是劇的原故
[00:04:14.000 --> 00:04:16.000]  我們從一棵蘋果樹開始
[00:04:16.000 --> 00:04:19.000]  然後就有He-Man那首《蘋果不見了》這首歌
[00:04:19.000 --> 00:04:23.000]  然後出現了I am the apple of his eye這個袋
[00:04:23.000 --> 00:04:27.000]  當我們He-Man去找這句口號
[00:04:27.000 --> 00:04:29.000]  他打算去印的時候
[00:04:29.000 --> 00:04:32.000]  我就再一次去接觸這句經文
[00:04:32.000 --> 00:04:37.000]  就是上帝看顧他如同保護他眼中的同人
[00:04:37.000 --> 00:04:38.000]  這句經文
[00:04:38.000 --> 00:04:43.000]  我發現原來我信主公國人都沒有認真去研究過
