
[00:00:00.000 --> 00:00:03.640]  2025年每個月第一個星期六
[00:00:03.640 --> 00:00:07.480]  都是由劉塘創辦人John牧師講道
[00:00:07.480 --> 00:00:09.160]  今天就不是他
[00:00:09.160 --> 00:00:11.160]  本月的月題是女人
[00:00:11.160 --> 00:00:13.640]  無論John多麼喜歡粉紅色
[00:00:13.640 --> 00:00:14.920]  他也不是女人
[00:00:14.920 --> 00:00:17.800]  所以就換了另一個創辦人
[00:00:17.800 --> 00:00:19.240]  就是這個標誌
[00:00:19.240 --> 00:00:22.280]  我是Go Club宣教關注組的創辦人
[00:00:22.280 --> 00:00:24.200]  我是非洲東部的
[00:00:24.200 --> 00:00:27.000]  今天由我來分享信息
[00:00:27.520 --> 00:00:31.080]  有些人因為我回香港述職就message我
[00:00:31.080 --> 00:00:33.360]  說定我今晚會回實體崇拜
[00:00:33.360 --> 00:00:35.040]  Hello
[00:00:35.040 --> 00:00:39.520]  但是有一個message專門跟我說
[00:00:39.520 --> 00:00:41.200]  雖然我在香港
[00:00:41.200 --> 00:00:42.680]  但是我來不了
[00:00:42.680 --> 00:00:45.400]  因為他今天結婚
[00:00:45.400 --> 00:00:49.160]  我知道他會看回網上崇拜
[00:00:49.160 --> 00:00:51.840]  我想借大家熱烈的掌聲
[00:00:51.840 --> 00:00:56.320]  還有能入咪的歡呼聲送給這一對劉塘的新人
[00:00:56.320 --> 00:01:04.240]  (歡呼聲)
[00:01:04.240 --> 00:01:06.240]  我相信一定能入咪
[00:01:06.240 --> 00:01:07.400]  蛋蛋波
[00:01:07.400 --> 00:01:11.480]  我們在這裡祝你和Savia新婚快樂
[00:01:11.480 --> 00:01:14.480]  從今以後一起保守你們的心
[00:01:14.480 --> 00:01:17.360]  帶著神興奉在你們心中的感動
[00:01:17.360 --> 00:01:18.680]  使命去服侍
[00:01:18.680 --> 00:01:21.200]  歡迎你們再來非洲
[00:01:21.200 --> 00:01:23.760]  我們聽到之前一起祈禱
[00:01:25.840 --> 00:01:27.120]  主耶穌
[00:01:27.120 --> 00:01:28.800]  求禰的靈降臨
[00:01:28.800 --> 00:01:32.840]  充滿我們每一個在現場聽到的
[00:01:32.840 --> 00:01:34.720]  實時網上聽到的
[00:01:34.720 --> 00:01:38.560]  或者是重溫網上崇拜的弟兄姊妹
[00:01:38.560 --> 00:01:43.800]  求主禰讓我們聽見和領受宗教的異象
[00:01:43.800 --> 00:01:46.120]  讓世界聽到禰的道
[00:01:46.120 --> 00:01:48.680]  使用我們讓萬國萬民
[00:01:48.680 --> 00:01:51.000]  齊來敬拜耶穌禰
[00:01:51.000 --> 00:01:53.720]  這個世界上獨一的真神
[00:01:53.720 --> 00:01:55.920]  我們一起同心祈禱
[00:01:55.920 --> 00:01:57.720]  奉主明求
[00:01:57.720 --> 00:01:58.840]  阿們
[00:01:58.840 --> 00:02:02.160]  好了,講到錄音可以在這裡開始
[00:02:02.160 --> 00:02:05.280]  大家好,我是Joanne
[00:02:05.280 --> 00:02:09.360]  是在東非馬達加斯加宣教的留堂目者
[00:02:09.360 --> 00:02:11.960]  我是2022年出發宣教
[00:02:11.960 --> 00:02:13.200]  到現在三年了
[00:02:13.200 --> 00:02:15.440]  今年回來香港述職
[00:02:15.440 --> 00:02:18.240]  之後我會再回到馬達加斯加
[00:02:18.240 --> 00:02:22.240]  由18年Flow Church第一個聚會回魂夜開始
[00:02:22.240 --> 00:02:23.720]  直到今時今日
[00:02:23.720 --> 00:02:25.520]  各位留人認識我的時候
[00:02:25.520 --> 00:02:27.600]  我已經是一個傳道
[00:02:27.600 --> 00:02:30.040]  已經是一個宣教士
[00:02:30.040 --> 00:02:31.760]  但是我在讀神學之前
[00:02:31.760 --> 00:02:34.040]  其實是做什麼工作呢?
[00:02:34.040 --> 00:02:35.600]  你...
[00:02:35.600 --> 00:02:37.960]  沒人知道
[00:02:37.960 --> 00:02:41.240]  最多人就以為我是一個幼稚園老師
[00:02:41.240 --> 00:02:42.680]  或者一個社工
[00:02:42.680 --> 00:02:45.920]  的確,我很喜歡小朋友
[00:02:45.920 --> 00:02:47.680]  有得和小朋友玩
[00:02:47.680 --> 00:02:50.360]  我就心心眼了
[00:02:50.360 --> 00:02:53.840]  而我順著之後第一個參與的時逢崗位
[00:02:53.840 --> 00:02:55.080]  就是Flowie了
[00:02:55.080 --> 00:02:57.280]  就是兒童的導師
[00:02:57.280 --> 00:02:59.160]  我今天所講的道
[00:02:59.160 --> 00:03:01.560]  我都會和現在在Flowie那邊
[00:03:01.560 --> 00:03:05.080]  參加的三個兒子去聽
[00:03:05.080 --> 00:03:07.080]  所以用字是絕對
[00:03:07.080 --> 00:03:10.040]  絕對適合任何人士年齡收看的
[00:03:10.040 --> 00:03:11.720]  也歡迎各位
[00:03:11.720 --> 00:03:15.760]  你們開始計劃暑假活動的家長
[00:03:15.760 --> 00:03:17.480]  社工姑娘
[00:03:17.480 --> 00:03:19.040]  老師
[00:03:19.040 --> 00:03:23.200]  你們也可以和你的子女或者學生一起去看
[00:03:23.200 --> 00:03:25.440]  記住一定要和他們唱回應詩
[00:03:25.440 --> 00:03:27.160]  我保證是很棒的
[00:03:27.160 --> 00:03:29.760]  是很好的東西
[00:03:29.760 --> 00:03:31.000]  我做牧者之前
[00:03:31.000 --> 00:03:34.400]  其實我的本業就是一個註冊社工
[00:03:34.400 --> 00:03:36.600]  我曾經在家庭牧輪中心
[00:03:36.600 --> 00:03:40.680]  和青衣一間青少年的NGO那邊工作
[00:03:40.680 --> 00:03:45.640]  無論是當年去做社工的劉姑娘
[00:03:45.640 --> 00:03:49.160]  還是現在去了馬達加斯家宣教服侍
[00:03:49.160 --> 00:03:53.360]  我的心智一直都是很想服侍貧窮的人
[00:03:53.360 --> 00:03:57.280]  一些生活經歷著死憂谷的人
[00:03:57.280 --> 00:04:01.000]  和社會上一些有缺乏憂傷的人
[00:04:01.000 --> 00:04:03.840]  而這個信念是來自於我的信仰
[00:04:03.840 --> 00:04:05.400]  基督教的
[00:04:05.400 --> 00:04:08.720]  在座應該都有一些社工的同行在這裡
[00:04:08.720 --> 00:04:11.320]  你們猜一下
[00:04:11.320 --> 00:04:16.840]  我最喜歡做的社會服務是什麼
[00:04:16.840 --> 00:04:18.160]  "邊青"
[00:04:18.160 --> 00:04:21.960]  有些人的口都是說兒童
[00:04:21.960 --> 00:04:23.160]  嗯
