
[00:00:00.000 --> 00:00:09.000]  鼎智妹晚安,歡迎大家參加我們18課的第三季,崇高內患生命的第三課
[00:00:09.000 --> 00:00:20.000]  我們會說快樂的題目,這個題目其實我自己是很想說的
[00:00:20.000 --> 00:00:31.000]  這幾年我在香港寫東西、侍奉,都經常會觸及的題目
[00:00:31.000 --> 00:00:38.000]  如果你有看我的書,我和洪麗芳寫的合著書當中都有提及快樂
[00:00:38.000 --> 00:00:48.000]  我在不同場合都寫過文章或學術論文,都是關乎快樂或不快樂
[00:00:48.000 --> 00:00:54.000]  後來我亦都譯了一本書,莫特曼的《生動的上帝與豐盛的生命》
[00:00:54.000 --> 00:01:04.000]  當中莫特曼都提及到快樂,所以今天也會將我自己這幾年思考的題目和大家分享
[00:01:04.000 --> 00:01:17.000]  我自己信耶穌是和快樂很有關係的,我是17歲信耶穌,那時是寂寞的17歲,不快樂
[00:01:17.000 --> 00:01:26.000]  那時很想快樂,我都說過我缺節那天很快樂地跑回家
[00:01:26.000 --> 00:01:35.000]  故事原來做了一段時間,我從不快樂慢慢在上去尋找快樂
[00:01:35.000 --> 00:01:43.000]  都尋找了一段時間,但後來做久了又不快樂了,不知道大家有沒有這個感受
[00:01:43.000 --> 00:01:51.000]  因為我都是那種人,所以覺得和快樂差很遠
[00:01:51.000 --> 00:01:59.000]  這十年來在香港寫的東西,都是不斷在思考這個主題
[00:01:59.000 --> 00:02:04.000]  曾經有一段時間,我是挺滿意不快樂的
[00:02:04.000 --> 00:02:12.000]  我寫了一篇論文叫做《不快樂的靈性》,講到不快樂在靈性的重要性
[00:02:12.000 --> 00:02:21.000]  我做過一些訪問節目,都說到和別人討論不快樂都可以的
[00:02:21.000 --> 00:02:29.000]  覺得基督徒不需要快樂,但後來這幾年又想起快樂都很重要
[00:02:29.000 --> 00:02:37.000]  所以把神話八課這八個主題,崇高一浪生命這八個主題
[00:02:37.000 --> 00:02:43.000]  基本上我覺得是很重要,怎麼有我不知道
[00:02:43.000 --> 00:02:50.000]  問我怎麼有反而是另一個話題,但我覺得快樂很重要
[00:02:50.000 --> 00:02:54.000]  所以我覺得特別是我們作為Full Church靈子妹
[00:02:54.000 --> 00:03:04.000]  如果有八個我們要提出來,我們需要有的所謂屬靈的質素的話
[00:03:04.000 --> 00:03:12.000]  快樂是其中一個,經常都會覺得是,香港基督徒不是很快樂
[00:03:12.000 --> 00:03:15.000]  我覺得佛教徒是比較快樂,大家有沒有覺得
[00:03:15.000 --> 00:03:21.000]  我經常都感覺上,我表面看都是,佛教起碼教你放下
[00:03:21.000 --> 00:03:26.000]  講一講佛偈,佛教教你放下,叫你不要執著
[00:03:26.000 --> 00:03:31.000]  你個人是會快樂一點,基督徒很多都不快樂
[00:03:31.000 --> 00:03:36.000]  你不快樂,你上教會又不快樂,你跟人家鬧交會又不快樂
[00:03:36.000 --> 00:03:42.000]  做傳道人更加不快樂,我認識的傳道人都不是太快樂
[00:03:42.000 --> 00:03:54.000]  所以我們就嘗試梳理一些題目,各方面的問題都解決,去處理
[00:03:54.000 --> 00:04:01.000]  第一個問題,我想其實都幾重要幾有問題,究竟快樂和喜樂有什麼分別
[00:04:01.000 --> 00:04:07.000]  我想這是第一個想處理的問題,我們經常都覺得,我們基督徒是有喜樂
[00:04:07.000 --> 00:04:12.000]  外面的快樂其實就不是我們那些喜樂
[00:04:12.000 --> 00:04:17.000]  我試過一次,我問一些傳道人,你現在快不快樂
[00:04:17.000 --> 00:04:23.000]  他們都會,有些人會說,我不快樂,不過我是喜樂
[00:04:23.000 --> 00:04:31.000]  我覺得這是很矛盾的,我有耶穌的喜樂,但我其實不太快樂
[00:04:31.000 --> 00:04:36.000]  所以我覺得這是我們第一個要去問的問題
[00:04:36.000 --> 00:04:40.000]  我們基督徒的所謂喜樂是一回什麼事情呢?
[00:04:40.000 --> 00:04:46.000]  跟外面的快樂有什麼不同?或者是誰是誰更加高等?
[00:04:46.000 --> 00:04:54.000]  這幾個都有很多不同的看法,混在一起,所以都要去處理
[00:04:54.000 --> 00:05:04.000]  起碼我覺得比較不能接受的是,我沒有快樂,但我有喜樂
[00:05:04.000 --> 00:05:11.000]  所以我們發覺我們的閱題都是講快樂,我不會特意將這個字變成另一個字
[00:05:11.000 --> 00:05:16.000]  就覺得我們基督徒不需要快樂,就算我們不快樂,我們都有喜樂
[00:05:16.000 --> 00:05:21.000]  有些人反對都可以,所以我們今天就嘗試去想這個問題
[00:05:21.000 --> 00:05:31.000]  你知道原文裡面,其實那個字,都是一個名詞,就是Kara
[00:05:31.000 --> 00:05:44.000]  動詞就是Everino,上面的joy是rejoice,快樂的動詞
[00:05:44.000 --> 00:05:48.000]  基本上聖經裡面只有一個字,就是快樂
[00:05:48.000 --> 00:05:54.000]  所以基本上是我們聖經的譯本,將那個字變成喜樂
[00:05:54.000 --> 00:05:57.000]  如果你看聖經裡面,其實很多字都是同一個字
[00:05:57.000 --> 00:06:04.000]  給大家看一下,我們隨便去看,因為你搜尋的話,聖經裡面有幾百個字,千個字
[00:06:04.000 --> 00:06:09.000]  很多字,從舊約到新約,很多字眼都有快樂喜樂的字
[00:06:09.000 --> 00:06:12.000]  我去看一下,你看不到的,大家可以去看一下
[00:06:12.000 --> 00:06:17.000]  偷門看見,星就突然間歡喜,歡喜就是快樂的字
[00:06:17.000 --> 00:06:21.000]  東方沙漠市,見到一顆星就很快樂
