
[00:00:00.000 --> 00:00:04.000]  各位姐妹平安,祝各位新年快樂
[00:00:04.000 --> 00:00:15.000]  來到2021年第一個崇拜,我們都懷著一點點盼望,一點點相信,一點點期待去迎接這一年
[00:00:15.000 --> 00:00:24.000]  雖然仍然是網上崇拜,仍然是戴著口罩,但我們都帶著一份期盼
[00:00:24.000 --> 00:00:32.000]  前幾天倒數的時候,我發現我們今年倒數的心情跟以前是很不同的
[00:00:32.000 --> 00:00:38.000]  雖然大家都是戴著口罩,甚至乎在家裏面,甚至乎是對著電腦
[00:00:38.000 --> 00:00:45.000]  但當我們去倒數的時候,我們心裏面有一份很想去迎接11年的衝動
[00:00:45.000 --> 00:00:55.000]  這份衝動是比任何一年都更加大,我都很期盼,很想2021年比2020年過得更加好
[00:00:55.000 --> 00:01:02.000]  因此我們一齊去祈禱,我們一齊去求上帝親自對我們說話
[00:01:02.000 --> 00:01:07.000]  我們一齊去聆聽,祂對我們在這一年裏面有甚麼說話要去說
[00:01:07.000 --> 00:01:14.000]  在我們求主祢對我們去說話,在這一年裏面,我們每一個弟兄姊妹
[00:01:14.000 --> 00:01:18.000]  我們一同來到祢面前獻上我們衷心的禱告
[00:01:18.000 --> 00:01:26.000]  我們此刻便沒有其他的事情,單單的來到去聆聽,單單的來到去仰望祢
[00:01:26.000 --> 00:01:31.000]  求主祢的靈在當中幫助我們每一個全聖教的弟兄姊妹
[00:01:31.000 --> 00:01:37.000]  我們一齊來到去謙卑祢面前,靜聽祢自己的說話
[00:01:37.000 --> 00:01:43.000]  幫助孩子都能夠單單的說出祢對我們每一個人說的心裏面的說話
[00:01:43.000 --> 00:01:45.000]  奉主命求,阿門
[00:01:45.000 --> 00:01:50.000]  今日和大家看的經文是《哥倫多後書》第十二章
[00:01:50.000 --> 00:01:54.000]  一段保羅非常之深情的自白
[00:01:54.000 --> 00:01:58.000]  其實《哥倫多後書》是一卷很特別的書信
[00:01:58.000 --> 00:02:02.000]  這卷書是讓我們更加明白保羅自己的生命
[00:02:02.000 --> 00:02:06.000]  這卷書寫了很多有關保羅的詩詩
