
[00:00:00.000 --> 00:00:02.000]  大家就看兩下吧
[00:00:02.000 --> 00:00:06.000]  不知道過關這個月題你會想起什麼
[00:00:06.000 --> 00:00:10.000]  我想起什麼呢
[00:00:10.000 --> 00:00:12.000]  大家知不知道這是什麼
[00:00:12.000 --> 00:00:14.000]  馬上暴露了年齡
[00:00:14.000 --> 00:00:16.000]  這是一個Gameboy的遊戲
[00:00:16.000 --> 00:00:18.000]  是一個Mario的遊戲
[00:00:18.000 --> 00:00:20.000]  我馬上想起這件事
[00:00:20.000 --> 00:00:22.000]  因為過關就好像打Mario
[00:00:22.000 --> 00:00:24.000]  但其實是一個遊戲
[00:00:24.000 --> 00:00:26.000]  就是一個遊戲
[00:00:26.000 --> 00:00:30.000]  你會跳過很多障礙
[00:00:30.000 --> 00:00:32.000]  你會吃很多蘑菇
[00:00:32.000 --> 00:00:34.000]  然後你會不斷衝衝衝
[00:00:34.000 --> 00:00:38.000]  從左邊走到右邊
[00:00:38.000 --> 00:00:42.000]  或者像上星期嘉Sir說過關
[00:00:42.000 --> 00:00:48.000]  就好像我們過了一個很難的關之後
[00:00:48.000 --> 00:00:50.000]  它就會變成一個回憶殺
[00:00:50.000 --> 00:00:52.000]  可能幾十年後
[00:00:52.000 --> 00:00:56.000]  你會記得這件事
[00:00:56.000 --> 00:00:58.000]  可能會懷念這個日子
[00:00:58.000 --> 00:01:02.000]  我想我們大部分人對於過關
[00:01:02.000 --> 00:01:06.000]  可能都會不約而同地覺得過了一些難關
[00:01:06.000 --> 00:01:08.000]  就像這個Mario
[00:01:08.000 --> 00:01:10.000]  會跳過很多障礙
[00:01:10.000 --> 00:01:12.000]  我們就去到終點
[00:01:12.000 --> 00:01:14.000]  不過我想我們今天
[00:01:14.000 --> 00:01:16.000]  大部分人的問題
[00:01:16.000 --> 00:01:20.000]  其實是因為我們過了一個很難的關
[00:01:20.000 --> 00:01:22.000]  大部分人的問題
[00:01:22.000 --> 00:01:24.000]  不是不懂得過關
[00:01:24.000 --> 00:01:26.000]  我們都很明白的
[00:01:26.000 --> 00:01:27.000]  很直線的過關
[00:01:27.000 --> 00:01:29.000]  就是由A去到B
[00:01:29.000 --> 00:01:33.000]  甚至可能你上星期拿了那張Bingo紙
[00:01:33.000 --> 00:01:35.000]  大家應該有了
[00:01:35.000 --> 00:01:37.000]  待會可以出去再拿
[00:01:37.000 --> 00:01:41.000]  有很多都不難做的任務
[00:01:41.000 --> 00:01:45.000]  可能已經有人圈了很多直線
[00:01:45.000 --> 00:01:47.000]  等著拿獎品
[00:01:47.000 --> 00:01:53.000]  我想我們大部分人對於過關都不是有什麼困難
[00:01:53.000 --> 00:01:57.000]  可能是我們大部分人面對的問題
[00:01:57.000 --> 00:02:02.000]  是我們生命裏面有一些很難的關是過不了的
[00:02:02.000 --> 00:02:04.000]  就好像你打Mario
[00:02:04.000 --> 00:02:08.000]  你打到某一個位置就會卡住了
[00:02:08.000 --> 00:02:10.000]  跳多遠都跳不過
[00:02:10.000 --> 00:02:14.000]  跳多遠都有陷阱來殺了你
[00:02:14.000 --> 00:02:17.000]  永遠你那個restart都是在那個位置
[00:02:17.000 --> 00:02:22.000]  然後永遠都在那個差不多的位置就會game over
[00:02:22.000 --> 00:02:24.000]  我想我們今天大部分人的問題
