
[00:00:00.000 --> 00:00:02.000]  基本上這些經文其實很無聊
[00:00:02.000 --> 00:00:04.440]  其實不知道說甚麼
[00:00:04.440 --> 00:00:07.080]  除了記載了誰生誰
[00:00:07.080 --> 00:00:08.800]  或是一些事跡之外
[00:00:08.800 --> 00:00:10.600]  其實這些經文都不知道怎樣應用
[00:00:10.600 --> 00:00:13.360]  或者寫這些經文的人
[00:00:13.360 --> 00:00:15.160]  其實他想表達甚麼意思
[00:00:15.160 --> 00:00:16.240]  尤其是在創世紀念裡
[00:00:16.240 --> 00:00:19.320]  除了記載一些事之外
[00:00:19.320 --> 00:00:22.080]  其實這些事背後想說甚麼呢?
[00:00:22.080 --> 00:00:25.600]  其實我們需要找些空間時間看一看
[00:00:25.640 --> 00:00:30.760]  甚麼是城市的定義?待會兒會說多一點
[00:00:30.760 --> 00:00:33.440]  如果你回看13、14節的時候
[00:00:33.440 --> 00:00:34.400]  剛才沒有讀到
[00:00:34.400 --> 00:00:36.280]  不過在創世紀有說
[00:00:36.280 --> 00:00:38.600]  就是說那個人殺了阿伯之後
[00:00:38.600 --> 00:00:40.920]  神給了他一個記號
[00:00:40.920 --> 00:00:43.640]  這個刑罰太重了,我承受不了
[00:00:43.640 --> 00:00:46.960]  今天你趕我離開這片土地
[00:00:46.960 --> 00:00:49.160]  使我隱藏離開你的面
[00:00:49.160 --> 00:00:51.400]  我裝在地上漂泊、流浪
[00:00:51.400 --> 00:00:54.000]  凡遇見我的都會殺我
[00:00:54.040 --> 00:00:56.000]  你可以想像的是
[00:00:56.000 --> 00:00:57.600]  該人殺了阿伯之後
[00:00:57.600 --> 00:00:58.680]  神給了他一個記號
[00:00:58.680 --> 00:01:01.040]  他說如果你這麼怕別人殺你
[00:01:01.040 --> 00:01:01.960]  我給你一個記號
[00:01:01.960 --> 00:01:05.960]  誰殺你的話,我就報復他七倍
[00:01:05.960 --> 00:01:07.160]  大概故事是這樣的
[00:01:07.160 --> 00:01:09.040]  就是之前的故事
[00:01:09.040 --> 00:01:11.080]  你回看剛才你們讀的經文
[00:01:11.080 --> 00:01:12.960]  很繁複的那段經文
[00:01:12.960 --> 00:01:14.760]  其實是說另一個事情
[00:01:14.760 --> 00:01:18.040]  就是當該人拿了記號之後
[00:01:18.040 --> 00:01:21.320]  凡殺他的就會遭報七倍之後
[00:01:21.320 --> 00:01:22.960]  他建立了一個城市
[00:01:23.000 --> 00:01:24.800]  他建立了城市17次
[00:01:24.800 --> 00:01:26.120]  那時該人建立了一個城市
[00:01:26.120 --> 00:01:27.840]  按他兒子的名字
[00:01:27.840 --> 00:01:30.800]  這個城市叫做爾諾
[00:01:30.800 --> 00:01:34.000]  但問題是為何要記載一個城市的建立
[00:01:34.000 --> 00:01:35.600]  還要有一個名字
[00:01:35.600 --> 00:01:39.960]  這是一個值得我們留心的事情
[00:01:39.960 --> 00:01:41.240]  在創世紀念裡
