
[00:00:00.000 --> 00:00:02.000]  各位丁姊妹晚安
[00:00:02.000 --> 00:00:05.520]  問候在世界各地不同的弟兄姊妹
[00:00:05.520 --> 00:00:09.120]  無論你是屬於地球任何一個地方
[00:00:09.120 --> 00:00:12.640]  如果你現在看Folk Church的聚會的時候
[00:00:12.640 --> 00:00:15.200]  願主的恩典夠你用
[00:00:15.200 --> 00:00:18.000]  和上帝的平安親自與你同在
[00:00:18.000 --> 00:00:22.800]  更深願在不同的地方、不同的境況
[00:00:22.800 --> 00:00:27.520]  上帝的慈愛緊緊跟隨著你們
[00:00:27.520 --> 00:00:31.760]  剛才在敬拜的時候看到下面留言
[00:00:31.760 --> 00:00:34.480]  有一位朋友叫Steve
[00:00:34.480 --> 00:00:37.360]  他中了COVID-19
[00:00:37.360 --> 00:00:40.880]  我相信他現在在家隔離中
[00:00:40.880 --> 00:00:44.400]  我很明白這個弟兄的情況
[00:00:44.400 --> 00:00:46.720]  因為我家人
[00:00:46.720 --> 00:00:50.960]  就是我妹妹的老公
[00:00:50.960 --> 00:00:53.280]  昨天就中了確診
[00:00:53.280 --> 00:00:55.840]  他整個家都很徬徨
[00:00:55.840 --> 00:00:59.760]  爸爸就在房間裡
[00:00:59.760 --> 00:01:04.000]  日幾已經不敢出門、不敢出房間
[00:01:04.000 --> 00:01:05.440]  在這個時候
[00:01:05.440 --> 00:01:10.560]  我想弟兄姊妹用一段很短的時間
[00:01:10.560 --> 00:01:13.200]  做一件事或兩件事
[00:01:13.200 --> 00:01:17.040]  特別是為在家隔離中的弟兄姊妹
[00:01:17.040 --> 00:01:19.200]  或香港人去禱告
[00:01:19.200 --> 00:01:21.920]  我更加想做多一件事
[00:01:21.920 --> 00:01:24.240]  請大家在禱告裡
[00:01:24.240 --> 00:01:27.760]  去紀念香港的醫護人員
[00:01:27.760 --> 00:01:30.560]  或者你發一個訊息給你認識的醫護人員
[00:01:30.560 --> 00:01:31.920]  跟他說
[00:01:31.920 --> 00:01:33.600]  身為香港人
[00:01:33.600 --> 00:01:35.600]  為了香港的醫護人員
[00:01:35.600 --> 00:01:37.520]  我心感自豪
[00:01:37.520 --> 00:01:39.680]  這個時候我們希望有一分鐘的時間
[00:01:39.680 --> 00:01:41.680]  你要簡短的祈禱
[00:01:41.680 --> 00:01:43.600]  或者你拿起你的手機
[00:01:43.600 --> 00:01:46.320]  發給一些在家隔離中的人
