
[00:00:00.000 --> 00:00:04.320]  多謝敬拜女幫我們進入一個很好的狀態
[00:00:04.320 --> 00:00:08.000]  來聆聽上帝的話
[00:00:08.000 --> 00:00:16.800]  我們今天的講題是國安法下的香港基督徒第二篇
[00:00:16.800 --> 00:00:20.480]  今天我們會承接上一次的講道
[00:00:20.480 --> 00:00:25.680]  我們會繼續講解羅馬書第十二章第一節的經文
[00:00:25.680 --> 00:00:30.800]  上次我們還沒講完道訓 今天是第二篇
[00:00:30.800 --> 00:00:36.240]  下星期我們會講第三篇第二節的經文
[00:00:36.240 --> 00:00:39.760]  先講一些上回的提議給我們
[00:00:39.760 --> 00:00:43.920]  上次講到羅馬書裡面羅馬教會的情況
[00:00:43.920 --> 00:00:47.120]  保羅在羅馬書第十二章第一節裡面
[00:00:47.120 --> 00:00:52.320]  以上帝的慈悲來勸勉羅馬書裡面的弟兄姊妹
[00:00:52.320 --> 00:00:55.440]  教他們怎樣繼續活下去
[00:00:55.440 --> 00:00:58.000]  在羅馬帝國的陰影下
[00:00:58.000 --> 00:01:00.240]  他們的生命 他們的生活
[00:01:00.240 --> 00:01:01.760]  他們在整個帝國之下
[00:01:01.760 --> 00:01:03.120]  他們每一天的行動
[00:01:03.120 --> 00:01:05.360]  都需要將自己的身體
[00:01:05.360 --> 00:01:08.000]  好像一個祭物來勸賞
[00:01:08.000 --> 00:01:10.800]  成為一個終極的敬拜
[00:01:10.800 --> 00:01:13.680]  羅馬書第十二章到十五章
[00:01:13.680 --> 00:01:19.280]  正正就是保羅來講解如何活下去的問題
[00:01:19.280 --> 00:01:23.120]  所以保羅在上帝的恩情裡面
[00:01:23.120 --> 00:01:25.040]  來勸勉弟兄姊妹
[00:01:25.040 --> 00:01:28.880]  要將自己的身體作為祭物來勸賞
[00:01:28.880 --> 00:01:30.880]  這是對上帝的敬拜
[00:01:30.880 --> 00:01:33.680]  所以今天仍然會講一段經文
[00:01:33.680 --> 00:01:37.520]  羅馬書第十二章一到第二節經文
[00:01:37.520 --> 00:01:39.760]  我會用上次的譯本
[00:01:39.760 --> 00:01:43.360]  「所以請們 我以上帝的恩情勸你們
[00:01:43.360 --> 00:01:46.800]  將你們的身體作為祭物 獻上
