
[00:00:00.000 --> 00:00:08.000]  先為今天的講道做一個總結
[00:00:08.000 --> 00:00:11.000]  今天我想跟大家講的一個訊息
[00:00:11.000 --> 00:00:14.000]  做了基督徒一段時間
[00:00:14.000 --> 00:00:19.000]  我沒有在生活上有很大的改變
[00:00:19.000 --> 00:00:23.000]  但是對於價格和價值這件事
[00:00:23.000 --> 00:00:27.000]  在信仰裏給我一個重新的定位
[00:00:27.000 --> 00:00:32.000]  作為香港人我們很明白價格和價值是有分別的
[00:00:32.000 --> 00:00:34.000]  我下個月要去日本
[00:00:34.000 --> 00:00:38.000]  我在銀行去按出來的日元
[00:00:38.000 --> 00:00:41.000]  包含著七算
[00:00:41.000 --> 00:00:44.000]  不是4.8那些
[00:00:44.000 --> 00:00:48.000]  同一個日元的價錢是一萬
[00:00:48.000 --> 00:00:51.000]  但是裏面的含義是很不同的
[00:00:51.000 --> 00:00:54.000]  今天我想跟大家分享這個主題
[00:00:54.000 --> 00:00:58.000]  作為基督徒能夠發達
[00:00:58.000 --> 00:01:01.000]  是因為我開始懂得辨別
[00:01:01.000 --> 00:01:05.000]  原來世界上有些東西比金錢更昂貴
[00:01:05.000 --> 00:01:08.000]  而我開始去努力去儲這些東西
[00:01:08.000 --> 00:01:11.000]  今天我們會看一個聖經的故事
[00:01:11.000 --> 00:01:14.000]  這個故事是講我們所信的耶穌
[00:01:14.000 --> 00:01:16.000]  他如何降生在地上
[00:01:16.000 --> 00:01:19.000]  不過今天想看的主角不是耶穌本身
[00:01:19.000 --> 00:01:21.000]  是上帝這個計劃
[00:01:21.000 --> 00:01:23.000]  他安排了一個人
[00:01:23.000 --> 00:01:25.000]  他叫做約瑟
[00:01:25.000 --> 00:01:29.000]  去迎接這位這麼寶貴的耶穌來到地上
[00:01:29.000 --> 00:01:31.000]  約瑟有兩種特質
[00:01:31.000 --> 00:01:33.000]  我們待會在經文裏會看到
[00:01:33.000 --> 00:01:38.000]  他就是一個被聖經稱為義的人
[00:01:38.000 --> 00:01:39.000]  一個義人
[00:01:39.000 --> 00:01:42.000]  和一個信任神的人
[00:01:42.000 --> 00:01:43.000]  還有一個特質
[00:01:43.000 --> 00:01:45.000]  這個是很特別的
[00:01:45.000 --> 00:01:48.000]  這個是神揀選的人
[00:01:48.000 --> 00:01:52.000]  我們有時候覺得信耶穌是我們選擇
[00:01:52.000 --> 00:01:54.000]  我們有很多選擇
[00:01:54.000 --> 00:01:56.000]  但是信了耶穌久了
[00:01:56.000 --> 00:01:57.000]  回頭想
[00:01:57.000 --> 00:01:59.000]  原來我發現
[00:01:59.000 --> 00:02:02.000]  我也是被神選定的一個
[00:02:02.000 --> 00:02:05.000]  其實這個想法不複雜
[00:02:05.000 --> 00:02:07.000]  就好像那些韓劇
[00:02:07.000 --> 00:02:08.000]  原來你喜歡的那個人
[00:02:08.000 --> 00:02:10.000]  他小時候已經喜歡了你
[00:02:10.000 --> 00:02:12.000]  很久之後你才發現
[00:02:12.000 --> 00:02:14.000]  他還救了你的命
[00:02:14.000 --> 00:02:16.000]  大概都是這樣的劇情
[00:02:16.000 --> 00:02:18.000]  到底誰先誰後
[00:02:18.000 --> 00:02:20.000]  有時候很撲朔迷離
[00:02:20.000 --> 00:02:22.000]  但原來我開始慢慢的價值
[00:02:22.000 --> 00:02:25.000]  就是因為我是被選上的人
[00:02:25.000 --> 00:02:27.000]  作為一個信耶穌的人
[00:02:27.000 --> 00:02:30.000]  我們是等候耶穌再來的一班人
[00:02:30.000 --> 00:02:33.000]  希望今天透過神所揀選的約瑟
[00:02:33.000 --> 00:02:36.000]  他生命裏的兩個特質
[00:02:36.000 --> 00:02:37.000]  信和義
[00:02:37.000 --> 00:02:39.000]  去讓我們思考
[00:02:39.000 --> 00:02:40.000]  究竟作為一個基督徒
[00:02:40.000 --> 00:02:43.000]  究竟應有的價值在哪裏
[00:02:43.000 --> 00:02:45.000]  我們先讀一讀今天的經文
