
[00:00:00.000 --> 00:00:02.000]  弟子妹平安
[00:00:02.000 --> 00:00:13.000]  歡迎參加Flo Church在受難與復活之間的崇拜
[00:00:13.000 --> 00:00:16.000]  我們堂會是星期六聚會
[00:00:16.000 --> 00:00:20.000]  所以每年在受難的日子當中
[00:00:20.000 --> 00:00:24.000]  星期六是我們崇拜的時間
[00:00:24.000 --> 00:00:28.000]  今天仍然是選擇講十字架的訊息
[00:00:28.000 --> 00:00:34.000]  其實也掙扎會講復活的訊息
[00:00:34.000 --> 00:00:40.000]  但是回應和配合堂會Sorry這個月提
[00:00:40.000 --> 00:00:45.000]  我覺得要再次重提十字架訊息對我們來說也是很重要
[00:00:45.000 --> 00:00:52.000]  很高興今天看到很多弟兄姊妹在現場和我們一起崇拜
[00:00:52.000 --> 00:00:56.000]  不知道你們這兩天在街上的感覺如何
[00:00:56.000 --> 00:00:59.000]  我覺得清閒了很多
[00:00:59.000 --> 00:01:06.000]  我今天應該是看到這兩天最多人的地方
[00:01:06.000 --> 00:01:11.000]  希望你不要覺得你崇拜來這裡好像不能去旅行
[00:01:11.000 --> 00:01:15.000]  但我相信你是擺了對的位置來這裡
[00:01:15.000 --> 00:01:17.000]  特別紀念身體有缺陷
[00:01:17.000 --> 00:01:19.000]  周邊也有很多人流感
[00:01:19.000 --> 00:01:24.000]  所以戴口罩是必須的
[00:01:24.000 --> 00:01:30.000]  剛才詩歌投入過程中我自己很受感動
[00:01:30.000 --> 00:01:34.000]  因為其實我今天三點鐘已經開始聽這些歌
[00:01:34.000 --> 00:01:38.000]  但是在這麼多弟兄姊妹一起唱的時候
[00:01:38.000 --> 00:01:40.000]  特別是後面的聲音很澎湃
[00:01:40.000 --> 00:01:42.000]  不單是這邊後面的
[00:01:42.000 --> 00:01:44.000]  這邊後面也很澎湃
[00:01:44.000 --> 00:01:46.000]  是很被觸動
[00:01:46.000 --> 00:01:50.000]  但我相信基督教不是動之以情
[00:01:50.000 --> 00:01:52.000]  同樣是說之以理
