
[00:00:00.000 --> 00:00:06.880]  在擁抱這個月題當中
[00:00:06.880 --> 00:00:14.000]  其實我很快就想到第一講的經文內容
[00:00:14.000 --> 00:00:18.480]  因為圖畫在關於擁抱這個訊息的時候
[00:00:18.480 --> 00:00:22.280]  已經在我腦海中出現了
[00:00:22.280 --> 00:00:30.600]  整件事就讓弟兄姊妹去感受一下
[00:00:30.600 --> 00:00:39.880]  我就想透過馬學福音的記載跟大家去表達
[00:00:39.880 --> 00:00:45.560]  這段經文是馬學福音第十章的內容
[00:00:45.560 --> 00:00:48.680]  這段經文大家會看到
[00:00:48.680 --> 00:00:52.760]  大家很熟悉的 我們一起讀
[00:00:52.760 --> 00:00:55.800]  第十章第十三節
[00:00:55.960 --> 00:00:59.320]  有人帶著小孩子來見耶穌
[00:00:59.320 --> 00:01:01.320]  要耶穌摸他們
[00:01:01.320 --> 00:01:03.800]  門徒便責備那些人
[00:01:03.800 --> 00:01:07.560]  耶穌看見就惱怒對門徒說
[00:01:07.560 --> 00:01:10.280]  讓小孩子到我這裡來
[00:01:10.280 --> 00:01:12.200]  不要禁止他們
[00:01:12.200 --> 00:01:16.040]  因為在上帝國的正是這樣的人
[00:01:16.040 --> 00:01:18.280]  我實在告訴你們
[00:01:18.280 --> 00:01:20.520]  凡要承受上帝國的
[00:01:20.520 --> 00:01:22.520]  若不像小孩子
[00:01:22.520 --> 00:01:24.120]  斷不能進去
[00:01:24.120 --> 00:01:26.360]  於是抱著小孩子
[00:01:26.360 --> 00:01:27.960]  給他們按手
[00:01:27.960 --> 00:01:29.960]  為他們祝福
[00:01:29.960 --> 00:01:35.000]  當擁抱這個訊息敲定之後
[00:01:35.000 --> 00:01:38.040]  這個圖畫就出現了
[00:01:38.040 --> 00:01:41.160]  接著就想想
[00:01:41.160 --> 00:01:43.960]  選哪一卷方書去講呢
[00:01:43.960 --> 00:01:47.240]  因為除了比較後期的約翰福音
[00:01:47.240 --> 00:01:49.240]  沒有記載之外
[00:01:49.240 --> 00:01:52.040]  其他馬太 馬可 盧迦
[00:01:52.040 --> 00:01:54.040]  都有記載這段經文
[00:01:54.040 --> 00:01:56.040]  三段經文當中
[00:01:56.040 --> 00:01:58.040]  我選哪一段呢
[00:01:58.040 --> 00:02:00.040]  我選了馬可
[00:02:00.040 --> 00:02:02.040]  或者可以和大家平衡一下
[00:02:02.040 --> 00:02:04.040]  這段經文你會看到
[00:02:04.040 --> 00:02:08.040]  三個不同的福音書記載
[00:02:08.040 --> 00:02:10.040]  都有少少不同
[00:02:10.040 --> 00:02:13.400]  剛才讀了就是馬可福音第十章內容
[00:02:13.400 --> 00:02:17.480]  馬太福音內容都是大同小異
[00:02:17.480 --> 00:02:19.480]  你會看到
[00:02:19.480 --> 00:02:22.520]  有人帶著小孩子來到耶穌面前
[00:02:22.520 --> 00:02:24.520]  耶穌為他們按手禱告
[00:02:24.520 --> 00:02:26.520]  然後就擲避門徒
[00:02:26.520 --> 00:02:28.520]  講了耶穌要講的話
[00:02:28.520 --> 00:02:31.160]  然後耶穌和他們按手後
[00:02:31.160 --> 00:02:33.160]  他們就離開了
[00:02:33.160 --> 00:02:35.160]  盧迦福音都有這個記載
[00:02:35.160 --> 00:02:37.160]  這個記載內容有一個訊息
[00:02:37.160 --> 00:02:41.160]  就是其中一件事就是
[00:02:41.160 --> 00:02:43.160]  盧迦福音講得出
[00:02:43.160 --> 00:02:45.160]  除了小孩子外
[00:02:45.160 --> 00:02:48.680]  他帶了一些手抱的嬰孩
[00:02:49.640 --> 00:02:52.840]  對於你來說會是什麼一回事呢
[00:02:52.840 --> 00:02:55.640]  小孩是一個類別
[00:02:55.640 --> 00:02:58.520]  嬰孩是另外一個類別
[00:02:58.520 --> 00:03:04.440]  其實有不同的人帶著不同的人去到上帝面前
[00:03:04.440 --> 00:03:07.960]  而去到耶穌面前的時候
[00:03:07.960 --> 00:03:11.400]  就要想得到耶穌給他的祝福
[00:03:11.400 --> 00:03:16.680]  馬可、馬太、盧迦都記載了這件事
[00:03:16.680 --> 00:03:18.680]  而我選擇了馬可
[00:03:18.680 --> 00:03:23.400]  除了是一個比較順理成章
[00:03:23.400 --> 00:03:25.400]  完全記載了之後
[00:03:25.400 --> 00:03:27.400]  其實我選擇馬可都覺得
[00:03:27.400 --> 00:03:29.400]  經文裡面有一個脈絡
[00:03:29.400 --> 00:03:32.280]  特別是馬可福音記載的過程當中
[00:03:32.280 --> 00:03:34.280]  讓我們看到
[00:03:34.280 --> 00:03:36.280]  耶穌想幫門徒學什麼
[00:03:36.280 --> 00:03:38.280]  在接待人的過程當中
[00:03:38.280 --> 00:03:41.000]  又或者進入上帝國的人當中
[00:03:41.000 --> 00:03:43.000]  耶穌想我們學什麼
[00:03:43.000 --> 00:03:46.120]  所以我就和大家去走訪一下
[00:03:46.120 --> 00:03:50.280]  其實馬可福音想要表達的內容是什麼呢
[00:03:50.280 --> 00:03:54.280]  在馬可福音裡面
[00:03:54.280 --> 00:03:56.280]  第八至第十章
[00:03:56.280 --> 00:03:58.280]  其實是一連串
[00:03:58.280 --> 00:04:03.160]  馬可緝錄了耶穌關於他預言要受害的過程
[00:04:03.160 --> 00:04:06.200]  而在過程當中又要門徒去明白到
[00:04:06.200 --> 00:04:08.200]  他來的目的是什麼
[00:04:08.200 --> 00:04:10.920]  在馬可福音第八章裡面
[00:04:10.920 --> 00:04:12.920]  他帶了一個訊息就是
[00:04:12.920 --> 00:04:15.240]  人們問人說我是誰
[00:04:15.240 --> 00:04:17.880]  他就和門徒說你說我是誰
[00:04:17.880 --> 00:04:22.280]  於是乎耶穌就說了他是誰
[00:04:22.280 --> 00:04:26.600]  而彼得就是尼塞亞先知
[00:04:26.600 --> 00:04:28.600]  在過程當中
[00:04:28.600 --> 00:04:30.600]  最後耶穌要帶出第一個訊息就是
[00:04:30.600 --> 00:04:33.800]  他將會被害受死埋葬第三天復活
