
[00:00:00.000 --> 00:00:12.000]  時勢真惡,但我相信在詩歌的內容和旋律療癒人心
[00:00:12.000 --> 00:00:18.000]  對於我們在這一刻更加會去感受
[00:00:18.000 --> 00:00:23.000]  能夠在一個群體當中敬拜,互相支持
[00:00:23.000 --> 00:00:27.000]  再已經不是地域阻隔,更加是在當中提醒我們
[00:00:27.000 --> 00:00:32.000]  我們不孤單,但我們更加要懂得依靠上帝
[00:00:32.000 --> 00:00:37.000]  在當中更加要去看歷史的發展過程
[00:00:37.000 --> 00:00:41.000]  對我們來說,其實是甚麼一回事
[00:00:41.000 --> 00:00:45.000]  是否現在特別差,還是以前也很差
[00:00:45.000 --> 00:00:49.000]  只不過我們沒有認真看聖經
[00:00:49.000 --> 00:00:55.000]  或者沒有認真去看過去本著基督信仰的人怎樣過活
[00:00:55.000 --> 00:01:03.000]  危險從來都是我們在生命當中常常要提醒自己
[00:01:03.000 --> 00:01:06.000]  但你有多害怕危險呢?
[00:01:06.000 --> 00:01:12.000]  而為了害怕危險時,而忽略了真正的危險
[00:01:12.000 --> 00:01:17.000]  在講題上可能有少少矛盾
[00:01:17.000 --> 00:01:21.000]  但盼望今天的經文和大家再一次了解
[00:01:21.000 --> 00:01:27.000]  我們的反合性真理,對我們來說正正是上帝要我們去明白
[00:01:27.000 --> 00:01:33.000]  上帝常常有很多似是而非,但對我們來說是很真實的
[00:01:33.000 --> 00:01:36.000]  今天選的經文是《士郎行傳》第23章
[00:01:36.000 --> 00:01:41.000]  整章的經文,有時你也會看到我講敘事的經文比較長
[00:01:41.000 --> 00:01:45.000]  因為聖經很多時候都不是一個斬鍵的片段
[00:01:45.000 --> 00:01:48.000]  而是一個生命的歷練和經歷
[00:01:48.000 --> 00:01:55.000]  比我們只看一個片段時,忽略了一個大圖畫
[00:01:55.000 --> 00:01:59.000]  其實《士郎行傳》第23章的內容的描述
[00:01:59.000 --> 00:02:06.000]  應該由我上一講,講保羅在羅馬書最後的終章結論時
[00:02:06.000 --> 00:02:08.000]  已經透露了少少
[00:02:08.000 --> 00:02:13.000]  在過去上一個月題Outflow,我就用了彼得講了兩個講題
[00:02:13.000 --> 00:02:19.000]  今天月位的月題,我用保羅也講了,現在是第二講
[00:02:19.000 --> 00:02:26.000]  在上一個月的講道當中,我曾經引用了這一段經文
[00:02:26.000 --> 00:02:29.000]  就是《士郎行傳》第21章第27節
[00:02:29.000 --> 00:02:35.000]  就是保羅帶了一群人去聖殿
[00:02:35.000 --> 00:02:38.000]  那群猶太人看不過眼
[00:02:38.000 --> 00:02:47.000]  以色列人拿來幫助,這就是在各處教訓眾人踐踏我們百姓和律法並且地方的
[00:02:47.000 --> 00:02:52.000]  他又帶著希臘人進殿,污穢了這聖地
[00:02:52.000 --> 00:02:55.000]  由此,也將開始有技術
[00:02:55.000 --> 00:02:57.000]  然後撒冷呢,騷動
