
[00:00:00.000 --> 00:00:08.440]  很開心在崇拜當中聽到這麼雄渾的現場聲音
[00:00:08.440 --> 00:00:11.120]  但我看到網上的弟兄姊妹都很投入
[00:00:11.120 --> 00:00:12.880]  都有不同的問案
[00:00:12.880 --> 00:00:16.560]  特別是來自Sharefield的弟兄姊妹
[00:00:16.560 --> 00:00:19.240]  都跟我們打招呼
[00:00:19.240 --> 00:00:21.720]  大家應該知道我在說你
[00:00:21.720 --> 00:00:27.880]  很開心在崇拜當中透過詩歌給我們提醒
[00:00:27.880 --> 00:00:31.400]  今天詩歌我自己都很喜歡
[00:00:31.400 --> 00:00:35.120]  特別是當我有些情緒的時候
[00:00:35.120 --> 00:00:42.560]  剛才那三首詩歌都是我自己調整狀態的詩歌
[00:00:42.560 --> 00:00:44.440]  多謝敬拜隊
[00:00:44.440 --> 00:00:47.400]  不知道大家對於今天的講題
[00:00:47.400 --> 00:00:53.120]  減醋有沒有什麼心路歷程
[00:00:53.120 --> 00:00:55.280]  之後可以分享
[00:00:55.280 --> 00:00:59.320]  就是你沒有被人說你暴躁
[00:00:59.320 --> 00:01:01.960]  很多人都感受到
[00:01:01.960 --> 00:01:06.040]  今天可以改為見證會
[00:01:06.040 --> 00:01:10.920]  在一個這麼躁動的人生
[00:01:10.920 --> 00:01:14.640]  或者覺得自己很暴躁的時候
[00:01:14.640 --> 00:01:17.440]  應該有些方法要自己調整一下
[00:01:17.440 --> 00:01:22.280]  否則讓自己情緒勒索自己都很辛苦
[00:01:22.280 --> 00:01:28.000]  但通常做教務、做老師、做爸爸
[00:01:28.000 --> 00:01:35.080]  都會面對不同的人去談自己情緒上的問題
[00:01:35.080 --> 00:01:38.720]  我自己通常都會跟他做一個過程
[00:01:38.720 --> 00:01:42.000]  這不是一個輔導的訊息
[00:01:42.000 --> 00:01:45.400]  通常我都會跟他重溫一下基本的三部分
[00:01:45.400 --> 00:01:48.320]  第一件事就是ABC
[00:01:48.320 --> 00:01:49.840]  可能有些弟兄姊妹都認識的
[00:01:49.840 --> 00:01:51.360]  或者你都經歷過
[00:01:51.360 --> 00:01:53.360]  就是A就是事件
[00:01:53.360 --> 00:01:57.880]  那個意外發生了什麼情況
[00:01:57.880 --> 00:01:59.560]  是什麼一回事
[00:01:59.560 --> 00:02:02.400]  另外第二個就是發生的過程當中
[00:02:02.400 --> 00:02:04.720]  觸動了你的信念
[00:02:04.720 --> 00:02:05.840]  你相信什麼
[00:02:05.840 --> 00:02:07.480]  或者你自己的底線
[00:02:07.480 --> 00:02:08.760]  你的基礎是什麼
[00:02:08.760 --> 00:02:12.000]  或者B可能觸動了你的行徑
[00:02:12.000 --> 00:02:14.200]  行為
[00:02:14.200 --> 00:02:15.400]  C就是什麼呢?
[00:02:15.400 --> 00:02:17.000]  C就是後果
[00:02:17.000 --> 00:02:20.440]  那件事令到有什麼後續發生了
[00:02:20.440 --> 00:02:22.360]  通常有些人找我聊天
[00:02:22.360 --> 00:02:24.320]  或者跟我分享的時候
[00:02:24.320 --> 00:02:25.640]  我都會跟他去
[00:02:25.640 --> 00:02:26.280]  不如試一下
[00:02:26.280 --> 00:02:28.880]  既然你都想再正視這件事
[00:02:28.880 --> 00:02:31.240]  或者是再了解你對這件事
[00:02:31.240 --> 00:02:34.280]  你自己認識了什麼的時候
[00:02:34.280 --> 00:02:37.440]  我都跟他去ABC的過程
[00:02:37.440 --> 00:02:39.640]  因為正正有些弟兄姊妹
[00:02:39.640 --> 00:02:41.760]  甚至乎是很靠近的人
[00:02:41.760 --> 00:02:45.400]  就不想再讓那些事情反覆地出現
[00:02:45.400 --> 00:02:47.880]  因為那些真的很傷身
[00:02:47.880 --> 00:02:50.920]  你的醋底會越來越醋
[00:02:50.920 --> 00:02:53.400]  喝很多碗涼茶都搞不定
[00:02:53.400 --> 00:02:54.800]  有一次很搞笑
[00:02:54.800 --> 00:02:56.360]  這些是題外話
[00:02:56.360 --> 00:02:59.000]  我自己都提醒自己
[00:02:59.000 --> 00:03:02.320]  我跟一個人去乘車
[00:03:02.320 --> 00:03:06.280]  經過一個涼茶店
[00:03:06.280 --> 00:03:07.200]  他說等我一會
[00:03:07.200 --> 00:03:10.200]  然後我說我要換一些券
[00:03:10.200 --> 00:03:12.720]  原來他買了很多涼茶券
[00:03:12.720 --> 00:03:15.320]  然後我說你喝得完這麼多嗎?
[00:03:15.320 --> 00:03:16.160]  不是啊
[00:03:16.160 --> 00:03:17.560]  我看到一些醋底的人
[00:03:17.560 --> 00:03:20.640]  我會送一瓶給他
[00:03:20.640 --> 00:03:22.400]  然後我說
[00:03:22.400 --> 00:03:25.720]  我好像沒有受過胃口
[00:03:25.720 --> 00:03:27.880]  然後他說你不是醋底的人
[00:03:27.880 --> 00:03:31.000]  你不要浪費這些錢
