
[00:00:00.000 --> 00:00:03.500]  你有沒有試過明明已經達成了自己一直想要的目標
[00:00:03.500 --> 00:00:05.500]  升職、買樓、儲到一筆錢
[00:00:05.500 --> 00:00:07.500]  去到一場期待了很久的旅行
[00:00:07.500 --> 00:00:08.500]  但是那一刻
[00:00:08.500 --> 00:00:10.200]  你內心反而覺得空虛
[00:00:10.200 --> 00:00:11.800]  甚至有種說不出的失落
[00:00:11.800 --> 00:00:14.700]  你有沒有想過為什麼你一生人追求的快樂
[00:00:14.700 --> 00:00:16.400]  好像永遠都到不手
[00:00:16.400 --> 00:00:18.100]  為什麼買到那部新電話
[00:00:18.100 --> 00:00:19.600]  開心了三天就無感
[00:00:19.600 --> 00:00:20.800]  為什麼去到旅行
[00:00:20.800 --> 00:00:22.700]  反而期待著回家的那一刻
[00:00:22.700 --> 00:00:24.100]  今集《留堂研究室》
[00:00:24.100 --> 00:00:25.600]  我們要講一個很殘酷
[00:00:25.600 --> 00:00:27.300]  但是很重要的真相
[00:00:27.300 --> 00:00:29.900]  人類根本不是為了快樂而生
[00:00:29.900 --> 00:00:32.200]  而你一直以為自己在追求幸福
[00:00:32.200 --> 00:00:35.200]  其實只是墮入了一個很大的心理幻覺
[00:00:35.200 --> 00:00:38.200]  這次我們會引用法國精神分析大師
[00:00:38.200 --> 00:00:40.200]  拉康·傑克·拉康
[00:00:40.200 --> 00:00:42.100]  再結合神學的反省
[00:00:42.100 --> 00:00:44.900]  拆解這個關於快樂的世紀大謊言
[00:00:44.900 --> 00:00:47.300]  我們由一個很簡單的問題開始
[00:00:47.300 --> 00:00:48.700]  幸福其實是什麼?
[00:00:48.700 --> 00:00:49.700]  你可能會說
[00:00:49.700 --> 00:00:52.500]  幸福就是開心、滿足、無憂無慮
[00:00:52.500 --> 00:00:54.500]  但是拉康在他的第七講座
[00:00:54.500 --> 00:00:57.000]  《精神分析的倫理學》提醒我們
[00:00:57.000 --> 00:00:59.000]  原來幾乎所有語言裡面
[00:00:59.000 --> 00:01:00.300]  幸福這個概念
[00:01:00.300 --> 00:01:04.200]  最初都不是指一種你可以主動追求到的狀態
[00:01:04.200 --> 00:01:05.300]  法文bonheur
[00:01:05.300 --> 00:01:06.300]  來自Europe
[00:01:06.300 --> 00:01:08.200]  即是好預兆、好相遇
[00:01:08.200 --> 00:01:09.100]  德文glück
[00:01:09.100 --> 00:01:10.300]  來自gelück
[00:01:10.300 --> 00:01:12.600]  意思是降臨在你身上
[00:01:12.600 --> 00:01:13.700]  英文happiness
[00:01:13.700 --> 00:01:14.700]  來自happen
[00:01:14.700 --> 00:01:15.700]  即是發生
[00:01:15.700 --> 00:01:16.700]  留意一下
[00:01:16.700 --> 00:01:19.200]  三種語言都指向同一樣東西
[00:01:19.200 --> 00:01:22.500]  幸福、降臨、發生、相遇
[00:01:22.500 --> 00:01:25.400]  它從來不是製造、不是計劃、不是達成
[00:01:25.400 --> 00:01:26.200]  換句話說
[00:01:26.200 --> 00:01:27.100]  追求幸福
[00:01:27.100 --> 00:01:29.300]  這句話本身就有邏輯矛盾
[00:01:29.300 --> 00:01:30.300]  你怎樣追求
[00:01:30.300 --> 00:01:32.300]  一件必然是偶然發生的事
[00:01:32.300 --> 00:01:34.300]  就好像你說要計劃一次意外
[00:01:34.300 --> 00:01:35.200]  那麼荒謬
[00:01:35.200 --> 00:01:36.500]  所以拉康說
[00:01:36.500 --> 00:01:37.500]  追求幸福
[00:01:37.500 --> 00:01:39.500]  本身是一個範疇錯誤
[00:01:39.500 --> 00:01:40.500]  你由一開始
[00:01:40.500 --> 00:01:42.200]  就已經追錯了方向
[00:01:42.200 --> 00:01:43.000]  如果你說
[00:01:43.000 --> 00:01:43.500]  好啦
[00:01:43.500 --> 00:01:45.000]  就算幸福是相遇
[00:01:45.000 --> 00:01:46.700]  那我也想追求一些小確幸
[00:01:46.700 --> 00:01:47.300]  可以嗎?
[00:01:47.300 --> 00:01:48.400]  拉康會回答你
[00:01:48.400 --> 00:01:50.200]  你知不知道其實你說的快樂
[00:01:50.200 --> 00:01:52.000]  在弗洛伊德的理論裡面是什麼?
[00:01:52.000 --> 00:01:54.300]  弗洛伊德提出過一個很出名的概念
[00:01:54.300 --> 00:01:55.500]  叫快樂原則
[00:01:55.500 --> 00:01:56.700]  Principle de Pleasure
[00:01:56.700 --> 00:01:57.900]  很多人誤解
[00:01:57.900 --> 00:02:00.300]  以為快樂原則是追求最大快樂
[00:02:00.300 --> 00:02:00.800]  錯
[00:02:00.800 --> 00:02:01.700]  拉康說
[00:02:01.700 --> 00:02:04.400]  快樂原則其實是一個慣性原則
[00:02:04.400 --> 00:02:05.400]  Principle Dignity
[00:02:05.400 --> 00:02:06.400]  什麼意思?
[00:02:06.400 --> 00:02:07.300]  就是說
[00:02:07.300 --> 00:02:08.900]  人類的心理裝置
[00:02:08.900 --> 00:02:11.200]  根本不是設計來追求快樂
[00:02:11.200 --> 00:02:13.200]  而是設計來減少刺激
[00:02:13.200 --> 00:02:16.200]  維持一個最低緊張水平的平衡狀態
[00:02:16.200 --> 00:02:17.400]  生物學上叫做
[00:02:17.400 --> 00:02:19.200]  Homie Soul States 衡定
[00:02:19.200 --> 00:02:20.000]  打個比方
[00:02:20.000 --> 00:02:21.900]  你的大腦好像一部冷氣機
[00:02:21.900 --> 00:02:24.700]  冷氣機不是設計來令你覺得很涼爽
[00:02:24.700 --> 00:02:27.100]  而是設計來維持一個固定溫度
[00:02:27.100 --> 00:02:28.400]  一旦溫差太大
[00:02:28.400 --> 00:02:30.000]  它就會自動調節
[00:02:30.000 --> 00:02:31.500]  你的心理都是一樣
[00:02:31.500 --> 00:02:33.100]  當有太強烈的刺激
[00:02:33.100 --> 00:02:34.900]  無論是開心還是痛苦
[00:02:34.900 --> 00:02:36.500]  大腦就會啟動機制
[00:02:36.500 --> 00:02:37.500]  將它減弱
[00:02:37.500 --> 00:02:39.000]  所以真正的快樂
[00:02:39.000 --> 00:02:39.900]  不是興奮
[00:02:39.900 --> 00:02:40.700]  狂喜
[00:02:40.700 --> 00:02:41.700]  極度滿足
[00:02:41.700 --> 00:02:42.700]  真正的快樂
[00:02:42.700 --> 00:02:43.400]  是平靜
[00:02:43.400 --> 00:02:44.500]  是無事發生
[00:02:44.500 --> 00:02:45.500]  是刺激歸零
[00:02:45.500 --> 00:02:46.600]  這個就解釋了
[00:02:46.600 --> 00:02:49.100]  為什麼你買到部新電話那一刻很開心
[00:02:49.100 --> 00:02:51.100]  但是三天之後就習以為常
[00:02:51.100 --> 00:02:53.300]  為什麼你去旅行期待了一年
[00:02:53.300 --> 00:02:54.900]  但是到達目的地那一刻
[00:02:54.900 --> 00:02:56.200]  反而覺得都是這樣
[00:02:56.200 --> 00:02:57.300]  你不是不快樂
[00:02:57.300 --> 00:02:59.700]  你只是回到你大腦的基礎
[00:02:59.700 --> 00:03:02.300]  你的快樂其實是你大腦的歸零
[00:03:02.300 --> 00:03:05.000]  但是拉罕比弗洛伊德走得更遠
[00:03:05.000 --> 00:03:06.500]  他說這個慣性
[00:03:06.500 --> 00:03:07.900]  不只是生理現象
[00:03:07.900 --> 00:03:09.800]  而是通過語言來運作的
