
[00:00:00.000 --> 00:00:04.000]  各位頂展姐妹,晚安
[00:00:04.000 --> 00:00:07.000]  大家都不覺得有107級吧
[00:00:07.000 --> 00:00:11.000]  這個地方是我以前在幕會十多年的時候
[00:00:11.000 --> 00:00:14.000]  一年都會來兩三次的地方
[00:00:14.000 --> 00:00:17.000]  我中派通常都會在這裡聚會
[00:00:17.000 --> 00:00:19.000]  大時大節,尤其是復活節的時候
[00:00:19.000 --> 00:00:21.000]  所以這個地方都很陌生
[00:00:21.000 --> 00:00:24.000]  通常我們都懶的,坐車上來
[00:00:24.000 --> 00:00:27.000]  坐車上來,就不走上來
[00:00:27.000 --> 00:00:31.000]  回到這裡,感覺就像回到Future最早期的時候
[00:00:31.000 --> 00:00:33.000]  在石硤尾的年代
[00:00:33.000 --> 00:00:36.000]  外面都坐滿頂展姐妹
[00:00:36.000 --> 00:00:39.000]  又不要看到最後面的頂展姐妹樣子
[00:00:39.000 --> 00:00:41.000]  好,先問一句
[00:00:41.000 --> 00:00:43.000]  《金祭之國》大家有沒有看過?
[00:00:43.000 --> 00:00:46.000]  沒有,那就不要說那麼多
[00:00:46.000 --> 00:00:52.000]  《黑暗榮耀》和《金祭之國》我選了日劇
[00:00:52.000 --> 00:00:56.000]  韓劇我不是很感激
[00:00:56.000 --> 00:01:00.000]  所以我都是選日劇看
[00:01:00.000 --> 00:01:05.000]  希望十八歲以上才看《金祭之國》
[00:01:05.000 --> 00:01:09.000]  《山下至九》是很特別的演出
[00:01:09.000 --> 00:01:11.000]  不要說太多了
[00:01:11.000 --> 00:01:14.000]  知道的人就知道說什麼了
[00:01:14.000 --> 00:01:18.000]  主題是說Sorry
[00:01:18.000 --> 00:01:20.000]  這兩個月主題是說Sorry
[00:01:20.000 --> 00:01:24.000]  其實在說訊息之前要先說一點
[00:01:24.000 --> 00:01:28.000]  在教會裡,我自己覺得
[00:01:28.000 --> 00:01:32.000]  最大的情緒勒索就是
[00:01:32.000 --> 00:01:35.000]  要說Sorry和寬恕
[00:01:35.000 --> 00:01:39.000]  其實我們在現實環境裡
[00:01:39.000 --> 00:01:41.000]  很多人都得罪了自己
[00:01:41.000 --> 00:01:44.000]  你不知不覺間得罪了很多人
[00:01:44.000 --> 00:01:45.000]  你都不知道
[00:01:45.000 --> 00:01:49.000]  但其實有時候我們要說寬恕這個課題的時候
[00:01:49.000 --> 00:01:51.000]  其實有時候是很勉強的
[00:01:51.000 --> 00:01:54.000]  勉強的意思是
[00:01:54.000 --> 00:01:56.000]  其實他還沒寬恕到
[00:01:56.000 --> 00:01:59.000]  我們就會很快弄幾句金句出來
[00:01:59.000 --> 00:02:01.000]  如果你不寬恕,得罪了別人
[00:02:01.000 --> 00:02:03.000]  天父也不寬恕你了
[00:02:03.000 --> 00:02:05.000]  你就覺得很糟糕
[00:02:05.000 --> 00:02:08.000]  但我想表達的是
[00:02:08.000 --> 00:02:11.000]  一個還沒寬恕到別人的人
[00:02:11.000 --> 00:02:14.000]  其實心靈裡要對一些人的仇恨
[00:02:14.000 --> 00:02:17.000]  其實他心裡一點都不好過
[00:02:17.000 --> 00:02:19.000]  其實他都很想將
[00:02:19.000 --> 00:02:21.000]  他仇恨的人快點放下
[00:02:21.000 --> 00:02:23.000]  可以開一個新的一頁
[00:02:23.000 --> 00:02:27.000]  但我們很快聽到一些說話
[00:02:27.000 --> 00:02:28.000]  你快點寬恕吧
[00:02:28.000 --> 00:02:29.000]  因為你不寬恕的話
[00:02:29.000 --> 00:02:30.000]  天父也不寬恕你
[00:02:30.000 --> 00:02:31.000]  你會覺得原來上了天堂
[00:02:31.000 --> 00:02:33.000]  那快點寬恕吧
[00:02:33.000 --> 00:02:37.000]  這些說法是很不人性化的
[00:02:37.000 --> 00:02:41.000]  我估計在寬恕這個課題裡
[00:02:41.000 --> 00:02:44.000]  或者Sorry這個題目裡的時候
[00:02:44.000 --> 00:02:46.000]  其實第一樣要說的是
[00:02:46.000 --> 00:02:50.000]  不要太容易讓自己
[00:02:50.000 --> 00:02:52.000]  在不知道的情況下
[00:02:52.000 --> 00:02:53.000]  無端端去寬恕一些
[00:02:53.000 --> 00:02:55.000]  你還沒寬恕到的事情
[00:02:55.000 --> 00:02:57.000]  寬恕是一個過程
[00:02:57.000 --> 00:02:58.000]  寬恕是很真實的
