
[00:00:00.000 --> 00:00:03.000]  我們聽到之前一起禱告
[00:00:03.000 --> 00:00:09.000]  天父上帝向您獻上感謝和讚美
[00:00:09.000 --> 00:00:11.000]  當我們在敬拜的時候
[00:00:11.000 --> 00:00:13.000]  我們再一次被師哥提醒
[00:00:13.000 --> 00:00:17.000]  耶穌基督降世這是什麼道理
[00:00:17.000 --> 00:00:19.000]  當我們回望過去的我們
[00:00:19.000 --> 00:00:23.000]  我們仍然能夠響起您的電
[00:00:23.000 --> 00:00:25.000]  這些都是主祢給我們的恩典
[00:00:25.000 --> 00:00:27.000]  當我們能夠在您的電
[00:00:27.000 --> 00:00:29.000]  再一次聽您的話語的時候
[00:00:29.000 --> 00:00:31.000]  求聖靈再一次光照我們
[00:00:31.000 --> 00:00:32.000]  感動我們
[00:00:32.000 --> 00:00:36.000]  以致我們的生命能夠傳言奉獻給您
[00:00:36.000 --> 00:00:39.000]  我們這樣祈禱奉耶穌基督的聖名祈求
[00:00:39.000 --> 00:00:44.000]  今天是閱題子節的最後一講
[00:00:44.000 --> 00:00:49.000]  我的講題是血本無歸
[00:00:49.000 --> 00:00:51.000]  如果大家有留意的話
[00:00:51.000 --> 00:00:55.000]  如果是投資人聽到血本無歸
[00:00:55.000 --> 00:00:57.000]  應該會很驚慌
[00:00:57.000 --> 00:00:59.000]  因為沒有子節
[00:00:59.000 --> 00:01:02.000]  所以就去到血本無歸的地步
[00:01:02.000 --> 00:01:06.000]  當然子節這個用詞
[00:01:06.000 --> 00:01:09.000]  不只是在投資裡面用
[00:01:09.000 --> 00:01:14.000]  在人際關係上也會用到子節這個詞
[00:01:14.000 --> 00:01:18.000]  有些人令我們很內耗
[00:01:18.000 --> 00:01:21.000]  有些人令我們很內耗很消磨
[00:01:21.000 --> 00:01:23.000]  所以我們也要子節
[00:01:23.000 --> 00:01:28.000]  可能是一段長期令你很失望的友情
[00:01:28.000 --> 00:01:30.000]  或者是一段付出了很多
[00:01:30.000 --> 00:01:33.000]  但感受不到對方珍惜你的關係
[00:01:33.000 --> 00:01:35.000]  可能是一個你很愛他
[00:01:35.000 --> 00:01:38.000]  但同時也很怕他的家人
[00:01:38.000 --> 00:01:39.000]  坊間很多時候說
[00:01:39.000 --> 00:01:40.000]  如果是這樣的情況
[00:01:40.000 --> 00:01:41.000]  我們也要子節
[00:01:41.000 --> 00:01:44.000]  我們也不要付出那麼多
[00:01:44.000 --> 00:01:47.000]  可能為了我們保護自己
[00:01:47.000 --> 00:01:50.000]  所以我們不知不覺也建立了一個機制
[00:01:50.000 --> 00:01:54.000]  就是我們和人保持一個安好的距離
[00:01:54.000 --> 00:01:57.000]  說話我們點到即止
[00:01:57.000 --> 00:01:59.000]  不要說得那麼深入
[00:01:59.000 --> 00:02:00.000]  覺得有什麼不妥的時候
[00:02:00.000 --> 00:02:02.000]  我們就馬上閃開
[00:02:02.000 --> 00:02:05.000]  我不是覺得這樣不對
[00:02:05.000 --> 00:02:08.000]  我經常說保持健康界線
[00:02:08.000 --> 00:02:11.000]  確實有助身心健康
[00:02:11.000 --> 00:02:14.000]  而且也是非常有智慧的事
[00:02:14.000 --> 00:02:17.000]  不過慢慢我們會發現一件事
[00:02:17.000 --> 00:02:20.000]  其實人一方面是很想被愛
[00:02:20.000 --> 00:02:22.000]  被明白 被接納
[00:02:22.000 --> 00:02:25.000]  但另一方面我們又很怕受傷
[00:02:25.000 --> 00:02:27.000]  很怕失望 很怕吃虧
[00:02:27.000 --> 00:02:29.000]  所以我們對人
[00:02:29.000 --> 00:02:32.000]  我們有時候會走前兩步
[00:02:32.000 --> 00:02:35.000]  又退後三步
[00:02:35.000 --> 00:02:37.000]  我們一邊很渴望
[00:02:37.000 --> 00:02:39.000]  但一邊又保護自己
[00:02:39.000 --> 00:02:41.000]  一邊想去愛和被愛
[00:02:41.000 --> 00:02:44.000]  但一邊又怕會虧本
[00:02:44.000 --> 00:02:46.000]  傷痕累累
[00:02:46.000 --> 00:02:48.000]  不過其實我自己覺得
[00:02:48.000 --> 00:02:50.000]  我們心底裏
[00:02:50.000 --> 00:02:55.000]  其實都是渴望可以不似虧而被愛
[00:02:55.000 --> 00:02:58.000]  和可以不似虧而愛
[00:02:58.000 --> 00:03:00.000]  不過在現實世界裏
[00:03:00.000 --> 00:03:04.000]  我們很多時候都不敢放下
[00:03:04.000 --> 00:03:06.000]  保護自己的那面牆
[00:03:06.000 --> 00:03:08.000]  今天我會和大家去看一段
[00:03:08.000 --> 00:03:11.000]  大部分人都很熟悉的經文
[00:03:11.000 --> 00:03:14.000]  我希望透過這段熟悉的故事
