
[00:00:00.000 --> 00:00:07.560]  歡迎大家來到神學百科第三季的尾二課
[00:00:07.560 --> 00:00:13.560]  我們也圖建內蘊生命第七個課題
[00:00:13.560 --> 00:00:15.560]  就是有關聖禮
[00:00:15.560 --> 00:00:22.520]  這個課題我是特意加進去的
[00:00:22.520 --> 00:00:25.360]  因為聖禮好像跟內蘊生命沒有什麼關係
[00:00:25.360 --> 00:00:28.160]  不過無論如何我都要說
[00:00:28.160 --> 00:00:31.560]  總是要找個位置在教會裡面
[00:00:31.560 --> 00:00:37.240]  說一下我們流唐或教會裡面的聖禮觀念
[00:00:37.240 --> 00:00:40.440]  無論是對於海外的全教會
[00:00:40.440 --> 00:00:46.200]  或是將來每個流唐的頂尖每個都很需要知道這個課題
[00:00:46.200 --> 00:00:47.720]  都很重要
[00:00:47.720 --> 00:00:53.400]  本身這課題是我自己在神學院裡面經常說的課題
[00:00:53.400 --> 00:00:56.840]  神學的或是有關各方面的
[00:00:56.840 --> 00:01:04.720]  我們流唐裡面怎樣看待我們的水禮和聖餐
[00:01:04.720 --> 00:01:07.720]  其實都是一個很重要的課題
[00:01:07.720 --> 00:01:12.640]  通常這些課題都是教會裡面
[00:01:12.640 --> 00:01:17.480]  不同宗派不同的教會都有不同的看法
[00:01:17.480 --> 00:01:21.120]  都說一下我自己怎樣理解
[00:01:21.120 --> 00:01:24.880]  我都在神學院裡面教歷史教了12年
[00:01:24.880 --> 00:01:31.720]  所以每一年我都去過一次整個教會
[00:01:31.720 --> 00:01:34.960]  這2000年來很多不同的宗派
[00:01:34.960 --> 00:01:38.960]  不同的背景當中的神學基礎
[00:01:38.960 --> 00:01:43.040]  聖禮好像是一個沒有什麼特別的課題
[00:01:43.040 --> 00:01:48.440]  好像跟我們的生命差很遠
[00:01:48.440 --> 00:01:52.920]  但其實是一個很重要的課題
[00:01:52.920 --> 00:01:56.760]  所以大家都要有一個正確的認識
[00:01:56.760 --> 00:02:00.600]  所以今天會跟大家說這個課題
[00:02:00.600 --> 00:02:03.920]  不知道大家怎樣理解
[00:02:03.920 --> 00:02:09.320]  基本上香港教會九成都是方派的教會
[00:02:09.320 --> 00:02:11.560]  而其實你是不知道什麼是方派
[00:02:11.560 --> 00:02:12.920]  因為你一向都是方派長大
[00:02:12.920 --> 00:02:14.280]  你不知道什麼是方派
[00:02:14.280 --> 00:02:16.720]  你離開方派就知道什麼是方派
[00:02:16.720 --> 00:02:18.200]  所以我那時候都說
[00:02:18.200 --> 00:02:21.960]  我自己是離開香港去德國讀書才知道什麼是方派
[00:02:21.960 --> 00:02:23.680]  自己信主到現在
[00:02:23.680 --> 00:02:28.880]  去到一個Lutheran的教會才知道原來是方派
[00:02:28.880 --> 00:02:30.560]  不是方派
[00:02:30.560 --> 00:02:33.680]  所以我們去看這些課題的時候
[00:02:33.680 --> 00:02:35.640]  我們可能大家不同的教會
[00:02:35.640 --> 00:02:40.440]  這麼多年來對於聖餐、水禮都有一定的理解
[00:02:40.440 --> 00:02:44.000]  特別如果你是重看或者你是英國的弟子妹
[00:02:44.000 --> 00:02:45.400]  在英國的弟子妹裡面
[00:02:45.400 --> 00:02:48.200]  他們重新去建立教會的時候
[00:02:48.200 --> 00:02:52.640]  很多不同的中派背景的弟子妹重新去開始教會
[00:02:52.640 --> 00:02:55.280]  其實大家都會回到課題裡面
[00:02:55.280 --> 00:02:56.920]  怎樣去理解這些東西
[00:02:56.920 --> 00:03:03.960]  所以今天我跟大家很詳細地去認識這個課題
[00:03:03.960 --> 00:03:11.800]  從而去想到這個課題和我們的屬靈生命有什麼關係
[00:03:11.800 --> 00:03:14.440]  首先大家要知道的第一件事
[00:03:14.440 --> 00:03:16.480]  就是什麼是聖禮
[00:03:16.480 --> 00:03:19.520]  其實聖禮這個字和禮沒有關係
[00:03:19.520 --> 00:03:21.800]  中文我們翻譯為聖禮
[00:03:21.800 --> 00:03:25.320]  就是神聖、禮儀
[00:03:25.320 --> 00:03:31.800]  其實禮字不在乎於禮敘還是程序的問題
[00:03:31.800 --> 00:03:35.320]  聖禮和儀式沒有什麼特別關係
[00:03:35.320 --> 00:03:38.600]  事實上聖禮這個字是segmentum
[00:03:38.600 --> 00:03:41.640]  其實這個概念是奧古斯丁發明的
[00:03:41.640 --> 00:03:44.520]  大概在公元四世紀的時候
[00:03:44.520 --> 00:03:49.720]  奧古斯丁是將早期教會一些的練習
[00:03:49.720 --> 00:03:52.400]  洗禮或者聖餐的一些練習
[00:03:52.400 --> 00:03:55.480]  來加以神學化
[00:03:55.480 --> 00:04:00.560]  來開展一個新的概念
[00:04:00.560 --> 00:04:02.520]  就叫做聖禮
[00:04:02.520 --> 00:04:04.720]  你會發覺聖經沒有聖禮這個字
[00:04:04.720 --> 00:04:06.360]  雖然有聖餐和洗禮
[00:04:06.360 --> 00:04:09.680]  但是聖禮這個字其實是不出現的
[00:04:09.680 --> 00:04:12.640]  其實segmentum這個字的原文
[00:04:12.640 --> 00:04:14.640]  是mysterion
[00:04:14.640 --> 00:04:16.400]  segmentum是拉丁文
[00:04:16.400 --> 00:04:20.560]  如果看希臘文就是mysterion
[00:04:20.560 --> 00:04:22.960]  mysterion這個字其實是在做什麼
[00:04:22.960 --> 00:04:24.440]  就是奧秘的意思
[00:04:24.440 --> 00:04:26.080]  mystery這個字
[00:04:26.080 --> 00:04:28.040]  奧秘這個字是有的
[00:04:28.040 --> 00:04:31.200]  上帝國的奧秘 神國的奧秘
