
[00:00:00.000 --> 00:00:07.000]  很享受剛才的敬拜,我在後面也一直一起去敬拜
[00:00:07.000 --> 00:00:18.000]  今天是關於開學,9月第二個關於《跟緊你,跟緊你》的講道
[00:00:18.000 --> 00:00:22.000]  我今天預備這段經文也有一點迫力
[00:00:22.000 --> 00:00:28.000]  迫力的意思是有些要求,要重新思考的過程
[00:00:28.000 --> 00:00:34.000]  投影當中也會牽涉到很多不同的經文
[00:00:34.000 --> 00:00:40.000]  希望大家花點眼力和心力去思考
[00:00:40.000 --> 00:00:44.000]  其實經文對我們的提醒
[00:00:44.000 --> 00:00:48.000]  甚至我們再墮入當時的處境的時候
[00:00:48.000 --> 00:00:51.000]  其實應該在想些什麼呢?
[00:00:51.000 --> 00:00:57.000]  今天收到文宣,應該是星期四出了講道宣傳的時候
[00:00:57.000 --> 00:01:02.000]  文宣也會說陽群心態或者陽群心理,大家都知道
[00:01:02.000 --> 00:01:07.000]  你為了去那段時間,或者去那聚會
[00:01:07.000 --> 00:01:10.000]  是想吃吃花生,看看東西
[00:01:10.000 --> 00:01:16.000]  還是你真的人去你又去,你也不禽瘦,甚解呢?
[00:01:16.000 --> 00:01:21.000]  實際說一句,其實返教會對於你來說
[00:01:21.000 --> 00:01:23.000]  你帶著什麼前提返教會呢?
[00:01:23.000 --> 00:01:29.000]  或者你是帶著什麼原因去那個聚會呢?
[00:01:29.000 --> 00:01:31.000]  其實有沒有問過自己呢?
[00:01:31.000 --> 00:01:33.000]  還是別人說那個很棒,你就去吧
[00:01:33.000 --> 00:01:38.000]  別人說那個很好,沒什麼也看看吧
[00:01:38.000 --> 00:01:42.000]  今天選的經文是選節
[00:01:42.000 --> 00:01:46.000]  《約翰福音》第六章六十至七十一節的選節
[00:01:46.000 --> 00:01:49.000]  先大家重溫一下這段選節
[00:01:49.000 --> 00:01:53.000]  這段選節的內容可能一讀的時候
[00:01:53.000 --> 00:01:55.000]  你就會記得部分的
[00:01:55.000 --> 00:01:58.000]  我們先讀一讀六十至七十一節的經文,請
[00:01:58.000 --> 00:02:00.000]  我們一起祈禱
[00:02:00.000 --> 00:02:03.000]  天上大佑我們打開你的說話
[00:02:03.000 --> 00:02:05.000]  求主你繼續對我們說話
[00:02:05.000 --> 00:02:09.000]  讓我們明白到當中你教導的心意
[00:02:09.000 --> 00:02:14.000]  讓我們去探求,求真,求知,求明白
[00:02:14.000 --> 00:02:16.000]  讓我們生命得到改變
[00:02:16.000 --> 00:02:19.000]  因為你的說話,你的道就是我們的靈
[00:02:19.000 --> 00:02:21.000]  就是我們的生命
[00:02:21.000 --> 00:02:23.000]  求主你常常賜下
[00:02:23.000 --> 00:02:26.000]  祈禱奉耶穌的名,阿們
[00:02:26.000 --> 00:02:30.000]  其中一句說話在第六十節的時候就出了這句
[00:02:30.000 --> 00:02:34.000]  他們們途中有好些人聽見了
[00:02:34.000 --> 00:02:39.000]  就說,這還很難,怎麼聽得入啊?
[00:02:39.000 --> 00:02:42.000]  我不知道大家查經也好,或者過去讀經也好
[00:02:42.000 --> 00:02:45.000]  會不會覺得其實這個要求很難做
[00:02:45.000 --> 00:02:49.000]  或者這句說話對我們來說是什麼意義
[00:02:49.000 --> 00:02:52.000]  你有沒有去了解背後的原因
[00:02:52.000 --> 00:02:56.000]  或者背後其實想對我們的提醒是什麼
[00:02:56.000 --> 00:02:59.000]  當然到了六十節的時候
[00:02:59.000 --> 00:03:02.000]  其實之前的五十九節在做什麼呢?
[00:03:02.000 --> 00:03:04.000]  或者那些說話其實在說什麼呢?
[00:03:04.000 --> 00:03:07.000]  所以要看一看就要看整個第六章
[00:03:07.000 --> 00:03:10.000]  這個選章裡面的一個段落
[00:03:10.000 --> 00:03:13.000]  很快地跟大家分開看一下
[00:03:13.000 --> 00:03:16.000]  其實整件事的起承轉合
[00:03:16.000 --> 00:03:19.000]  為什麼人們聽完之後覺得很難
[00:03:19.000 --> 00:03:22.000]  難到最後就說,不如走吧
[00:03:22.000 --> 00:03:25.000]  不行,搞不定
[00:03:25.000 --> 00:03:28.000]  所以一開始的時候,第六章
[00:03:28.000 --> 00:03:30.000]  這些細節不用看的
[00:03:30.000 --> 00:03:32.000]  第六章一開始的時候
[00:03:32.000 --> 00:03:35.000]  這些事以後,耶穌就去到加里尼海
[00:03:35.000 --> 00:03:37.000]  就是提比利亞海
[00:03:37.000 --> 00:03:41.000]  有一群人因為看見祂在病人身上行了一個神蹟
[00:03:41.000 --> 00:03:43.000]  於是就跟隨了祂
[00:03:43.000 --> 00:03:45.000]  其實那是什麼神蹟呢?
[00:03:45.000 --> 00:03:47.000]  就是第五章
[00:03:47.000 --> 00:03:49.000]  第五章內容帶出一個信息
[00:03:49.000 --> 00:03:51.000]  就是在不嗜大慈
[00:03:51.000 --> 00:03:55.000]  這個三十八年都是癱的人
[00:03:55.000 --> 00:03:57.000]  耶穌在一個不嗜大慈
[00:03:57.000 --> 00:03:59.000]  也是猶太人其中的節期中
[00:03:59.000 --> 00:04:00.000]  去治好他
[00:04:00.000 --> 00:04:03.000]  而最爆的地方,當時來說
[00:04:03.000 --> 00:04:05.000]  人們最不滿的地方就是
[00:04:05.000 --> 00:04:08.000]  耶穌還要在安息日的時候去治好他
[00:04:08.000 --> 00:04:11.000]  首先,一個三十八年都治不好的
[00:04:11.000 --> 00:04:13.000]  治好已經是很厲害了
[00:04:13.000 --> 00:04:17.000]  還要在一個不應該做事的時候去做
[00:04:17.000 --> 00:04:19.000]  更加令人不滿
[00:04:19.000 --> 00:04:21.000]  所以一件很大的神蹟
[00:04:21.000 --> 00:04:24.000]  治好一個不嗜之症
[00:04:24.000 --> 00:04:26.000]  而治好的過程當中
[00:04:26.000 --> 00:04:28.000]  在一個不好的時間去做
[00:04:28.000 --> 00:04:31.000]  又好像令到別人有問題
[00:04:31.000 --> 00:04:33.000]  所以耶穌做了一件事
[00:04:33.000 --> 00:04:35.000]  就令到明星很多人都知道
[00:04:35.000 --> 00:04:37.000]  於是就來看看
[00:04:37.000 --> 00:04:42.000]  我想有些東西是很大的宣傳
[00:04:42.000 --> 00:04:44.000]  或者是很吸引人
[00:04:44.000 --> 00:04:46.000]  大家都會去看看
[00:04:46.000 --> 00:04:49.000]  正常人不會去博覽館
[00:04:49.000 --> 00:04:50.000]  機場博覽館
[00:04:50.000 --> 00:04:52.000]  你坐車便宜也要十多元
[00:04:52.000 --> 00:04:54.000]  還要是一段車程
[00:04:54.000 --> 00:04:56.000]  但如果是Black Plains在那裡
[00:04:56.000 --> 00:04:57.000]  你就會去
