
[00:00:00.000 --> 00:00:02.000]  22年的上半年
[00:00:02.000 --> 00:00:05.600]  隨著國際間防疫政策的放寬
[00:00:05.600 --> 00:00:10.000]  我家申請宣教的步伐終於有了眉目
[00:00:10.000 --> 00:00:13.600]  這段時間有不少的流人都表達
[00:00:13.600 --> 00:00:17.900]  很開心聽到有Flow Church的牧者即將去非洲宣教
[00:00:17.900 --> 00:00:19.900]  但就不知道他是誰
[00:00:19.900 --> 00:00:22.400]  他就在這裏
[00:00:22.400 --> 00:00:24.400]  那怎樣認他呢?
[00:00:24.400 --> 00:00:28.100]  我可以說是全教會的牧者之中
[00:00:28.100 --> 00:00:30.100]  皮膚最黑的一個
[00:00:30.100 --> 00:00:34.100]  不信的話轉個圈給你看
[00:00:34.100 --> 00:00:36.100]  就是這樣認了
[00:00:36.100 --> 00:00:42.100]  雖然我經常被誤認是東南亞地區的朋友
[00:00:42.100 --> 00:00:44.100]  其實我是來自香港的
[00:00:44.100 --> 00:00:46.100]  我是香港人
[00:00:46.100 --> 00:00:52.100]  這個是舊版立法會網頁
[00:00:52.100 --> 00:00:58.100]  上面顯示這封信
[00:00:58.100 --> 00:01:01.100]  你可以掃描這個QR Code
[00:01:01.100 --> 00:01:04.100]  會看到我沒有戴口罩的樣子
[00:01:04.100 --> 00:01:06.100]  下一頁
[00:01:06.100 --> 00:01:11.100]  這一頁就是舊版立法會的網頁
[00:01:11.100 --> 00:01:16.100]  裏面是立法會歷史的頁面截圖
[00:01:16.100 --> 00:01:22.100]  那裏說到香港自從1841年1月26日起
[00:01:22.100 --> 00:01:25.100]  至1997年6月30日為止
[00:01:25.100 --> 00:01:28.100]  是英國的殖民地
[00:01:28.100 --> 00:01:33.100]  我家裏即將宣教的工場在東非馬達加斯加
[00:01:33.100 --> 00:01:38.100]  這個國家在1960年6月獨立
[00:01:38.100 --> 00:01:42.100]  62年之前它曾經是法國的殖民地
[00:01:42.100 --> 00:01:48.100]  它的殖民地身份是法國和馬達加斯加的新舊官方網頁
[00:01:48.100 --> 00:01:51.100]  和教科書都一致承認的歷史
[00:01:51.100 --> 00:01:55.100]  所以我去到馬達加斯加我要學法文
[00:01:55.100 --> 00:01:58.100]  在未有流利的語言溝通之前
[00:01:58.100 --> 00:02:01.100]  都相信要很多指手畫腳去表達
[00:02:01.100 --> 00:02:04.100]  除了一些翻譯軟件之外
[00:02:04.100 --> 00:02:07.100]  我都可以透過圖像一些Emoji去溝通
[00:02:07.100 --> 00:02:13.100]  所以以下就陪我一起模擬一下圖像如何說到
[00:02:13.100 --> 00:02:21.100]  知不知道這幅圖片代表著流唐哪一個月替
[00:02:21.100 --> 00:02:23.100]  猜兩個字的
[00:02:23.100 --> 00:02:29.100]  下一個這幅圖猜四個字的
[00:02:29.100 --> 00:02:33.100]  大聲一點
[00:02:33.100 --> 00:02:35.100]  擁抱世界
[00:02:35.100 --> 00:02:37.100]  沒錯了就是我的心智
[00:02:37.100 --> 00:02:39.100]  繼續下一頁
[00:02:39.100 --> 00:02:44.100]  這幅圖繼續猜四個字的
[00:02:44.100 --> 00:02:49.100]  是一百隻羊
[00:02:49.100 --> 00:02:53.100]  下一個
[00:02:53.100 --> 00:02:56.100]  這個呢
[00:02:56.100 --> 00:03:00.100]  法理菜人
[00:03:00.100 --> 00:03:04.100]  下一個
