
[00:00:00.000 --> 00:00:03.340]  真的因著我們向你獻上感謝和讚美
[00:00:03.340 --> 00:00:05.340]  因為你給我們有教會
[00:00:05.340 --> 00:00:08.340]  你賜予耶穌基督讓我們今天能夠聚集
[00:00:08.340 --> 00:00:10.340]  去聽你自己的話
[00:00:10.340 --> 00:00:15.140]  當我們再次去看思想快樂課題的時候
[00:00:15.140 --> 00:00:18.740]  求快樂的靈再次充滿我們每一個人的內心
[00:00:18.740 --> 00:00:21.340]  讓我們能夠經歷到聖靈的充滿
[00:00:21.340 --> 00:00:22.540]  聖靈的喜樂
[00:00:22.540 --> 00:00:26.240]  也求主你教導我們明白你自己的話
[00:00:26.240 --> 00:00:29.540]  也賜給我們能力在神的心意裡
[00:00:29.540 --> 00:00:32.240]  我們這樣祈禱奉主耶穌基督名字而求
[00:00:32.240 --> 00:00:33.240]  阿們
[00:00:33.240 --> 00:00:36.640]  今天閱題是快樂
[00:00:36.640 --> 00:00:41.440]  當我跟別人說我要說快樂的閱題的時候
[00:00:41.440 --> 00:00:44.240]  所有人的回應可以說是一樣的
[00:00:44.240 --> 00:00:48.240]  就是「對你說」
[00:00:48.240 --> 00:00:49.240]  我也覺得是的
[00:00:49.240 --> 00:00:53.040]  應該本身我一向就夠開心
[00:00:53.040 --> 00:00:54.840]  灰鞋味極重
[00:00:54.840 --> 00:00:57.040]  所以說快樂是對的
[00:00:57.040 --> 00:00:58.240]  我也覺得是的
[00:00:58.240 --> 00:01:00.040]  如果我要說上一個閱題
[00:01:00.040 --> 00:01:02.040]  大家記得上一個閱題是什麼嗎?
[00:01:02.040 --> 00:01:03.040]  高貴
[00:01:03.040 --> 00:01:05.040]  (笑聲)
[00:01:05.040 --> 00:01:07.040]  你們這些笑聲代表什麼?
[00:01:07.040 --> 00:01:08.240]  (笑聲)
[00:01:08.240 --> 00:01:10.240]  對我啊!也對我啊!
[00:01:10.240 --> 00:01:11.040]  是不是?
[00:01:11.040 --> 00:01:13.040]  不過快樂更對的意思而已
[00:01:13.040 --> 00:01:13.640]  我明白的
[00:01:13.640 --> 00:01:15.640]  我明白你們這些笑聲是什麼意思
[00:01:15.640 --> 00:01:16.640]  不過是的
[00:01:16.640 --> 00:01:19.640]  我承認我也是一個快樂的人
[00:01:19.640 --> 00:01:21.840]  老套的說一句「開心果」
[00:01:21.840 --> 00:01:23.040]  說得很老套
[00:01:23.040 --> 00:01:25.040]  (笑聲)
[00:01:25.040 --> 00:01:27.240]  不過一個快樂的人
[00:01:27.240 --> 00:01:30.440]  叫一些不容易快樂的人快樂
[00:01:30.440 --> 00:01:32.440]  其實是有一點難的
[00:01:32.440 --> 00:01:34.640]  很容易會有種感覺是什麼呢?
[00:01:34.640 --> 00:01:37.440]  就是阿廷你自己天生笑點低
[00:01:37.440 --> 00:01:39.240]  官就說快樂而已
[00:01:39.240 --> 00:01:41.240]  哪有這麼容易快樂的
[00:01:41.240 --> 00:01:42.440]  所以說快樂
[00:01:42.440 --> 00:01:43.840]  雖然很適合我
[00:01:43.840 --> 00:01:46.440]  但是也不覺得在今時今日
[00:01:46.440 --> 00:01:49.640]  叫大家快樂是一件容易的事
[00:01:49.640 --> 00:01:52.640]  當我要準備這個講道的時候
[00:01:52.640 --> 00:01:54.640]  就想起這首歌
[00:01:54.640 --> 00:01:56.640]  不知道大家認不認識呢?
[00:01:57.040 --> 00:01:58.040]  (笑聲)
[00:01:58.040 --> 00:02:00.640]  我一定會按到的
[00:02:00.640 --> 00:02:02.040]  不是我按的
[00:02:02.040 --> 00:02:03.640]  不知道大家認不認識呢?
[00:02:03.640 --> 00:02:05.040]  聽K-pop的朋友
[00:02:05.040 --> 00:02:07.040]  這首是韓國樂隊叫《Day6》
[00:02:07.040 --> 00:02:09.040]  這首歌叫《Happy》
[00:02:09.040 --> 00:02:10.040]  這首歌叫《Happy》
[00:02:10.040 --> 00:02:13.040]  不過歌迷幫它翻譯
[00:02:13.040 --> 00:02:18.040]  翻譯了這首歌叫《告訴我我還有快樂的能力》
[00:02:18.040 --> 00:02:21.040]  今天我的講題其實有一點抄襲它
[00:02:21.040 --> 00:02:23.040]  不過改了一點字
[00:02:23.040 --> 00:02:25.040]  這首歌本來想播放給大家
[00:02:25.040 --> 00:02:27.040]  但我不想我們YouTube頻道是黃標
[00:02:27.040 --> 00:02:29.040]  所以我就讀歌詞給大家聽
[00:02:29.040 --> 00:02:30.040]  好了
[00:02:30.040 --> 00:02:31.040]  下一頁
[00:02:31.040 --> 00:02:32.040]  (笑聲)
[00:02:32.040 --> 00:02:34.040]  是韓文
[00:02:34.040 --> 00:02:35.040]  (笑聲)
[00:02:35.040 --> 00:02:37.040]  所以我真的不行
[00:02:37.040 --> 00:02:38.040]  看看歌詞
[00:02:38.040 --> 00:02:39.040]  《Happy》這首歌
[00:02:39.040 --> 00:02:41.040]  其實本身的旋律是很快樂的
[00:02:41.040 --> 00:02:42.040]  但歌詞是這樣說
[00:02:42.040 --> 00:02:44.040]  會有那樣的一天
[00:02:44.040 --> 00:02:46.040]  就是有好事的那種日子
[00:02:46.040 --> 00:02:49.040]  完全不用擔心明天
[00:02:49.040 --> 00:02:52.040]  只需要顧著笑的那一天
[00:02:52.040 --> 00:02:55.040]  一個接著一個糾纏的事情出現
[00:02:55.040 --> 00:02:57.040]  究竟能不能幸福呢?
[00:02:57.040 --> 00:02:59.040]  會有那樣的一天嗎?
[00:02:59.040 --> 00:03:01.040]  找到夢想的一天
[00:03:01.040 --> 00:03:06.040]  能夠開心地看著天空大叫的那種日子
[00:03:06.040 --> 00:03:10.040]  嗯,照著這樣繼續撐著的話
[00:03:10.040 --> 00:03:14.040]  總有一天那樣的日子會來的
[00:03:14.040 --> 00:03:15.040]  下一頁,謝謝
[00:03:15.040 --> 00:03:17.040]  May I be happy
[00:03:17.040 --> 00:03:19.040]  每天都想要笑著
[00:03:19.040 --> 00:03:21.040]  想要無憂無慮
[00:03:21.040 --> 00:03:23.040]  所以來告訴我答案吧
[00:03:23.040 --> 00:03:24.040]  So help me
[00:03:24.040 --> 00:03:25.040]  攤坐在地
[00:03:25.040 --> 00:03:27.040]  眼淚就要流下來
[00:03:27.040 --> 00:03:29.040]  所以拜託拜託派託
[00:03:29.040 --> 00:03:32.040]  Tell me it's okay to be happy
[00:03:32.040 --> 00:03:36.040]  只是想要簡單單單生活而已
[00:03:36.040 --> 00:03:39.040]  為什麼我的每一天未到啊?
