
[00:00:00.000 --> 00:00:02.000]  網上的頂姊妹平安
[00:00:02.000 --> 00:00:04.600]  現場的頂姊妹園裡們平安
[00:00:04.600 --> 00:00:09.600]  剛才在後面做匯眾的時候
[00:00:09.600 --> 00:00:12.600]  其實我也不太能唱歌
[00:00:12.600 --> 00:00:18.600]  因為我很享受聽現場頂姊妹的歌聲
[00:00:18.600 --> 00:00:20.600]  因為實在太久沒聽過了
[00:00:20.600 --> 00:00:24.600]  實在太久沒有這樣的人氣
[00:00:24.600 --> 00:00:26.600]  所以很感動
[00:00:26.600 --> 00:00:33.600]  很開心頂姊妹很快報名參加現場崇拜
[00:00:33.600 --> 00:00:39.600]  今天在這個訊息裡
[00:00:39.600 --> 00:00:43.600]  會跟大家做一些重溫
[00:00:43.600 --> 00:00:49.600]  重溫就是在過去七天發生了什麼事
[00:00:49.600 --> 00:00:52.600]  不知道大家在復節的節日裡
[00:00:52.600 --> 00:00:56.600]  或者在復活節的假期裡
[00:00:56.600 --> 00:00:57.600]  你做了什麼
[00:00:57.600 --> 00:00:58.600]  傳統來說
[00:00:58.600 --> 00:01:00.600]  很多教會
[00:01:00.600 --> 00:01:05.600]  很多復活節主日
[00:01:05.600 --> 00:01:09.600]  我都會去堂會講復活節主日的訊息
[00:01:09.600 --> 00:01:11.600]  但我都會問一下同工
[00:01:11.600 --> 00:01:15.600]  就是堂會有沒有少了人
[00:01:15.600 --> 00:01:18.600]  過去沒有疫情的情況下
[00:01:18.600 --> 00:01:20.600]  復活節主日其實都少了人
[00:01:20.600 --> 00:01:22.600]  因為很多人都去了旅行
[00:01:22.600 --> 00:01:28.600]  如果不需要特別拿連續的假期的話
[00:01:28.600 --> 00:01:31.600]  復活節是最多連續的假期
[00:01:31.600 --> 00:01:35.600]  但我每一次去堂會講復活節主日的時候
[00:01:35.600 --> 00:01:38.600]  我都為他們去感恩
[00:01:38.600 --> 00:01:40.600]  當然可能他們想去
[00:01:40.600 --> 00:01:41.600]  不過去不到
[00:01:41.600 --> 00:01:43.600]  但他們都肯回來崇拜
[00:01:43.600 --> 00:01:44.600]  是值得感恩的
[00:01:44.600 --> 00:01:47.600]  因為我常常都說
[00:01:47.600 --> 00:01:49.600]  參與復活節崇拜
[00:01:49.600 --> 00:01:50.600]  我不是迷信
[00:01:50.600 --> 00:01:53.600]  但我想讓弟子們明白
[00:01:53.600 --> 00:01:55.600]  能夠參與復活節主日崇拜
[00:01:55.600 --> 00:01:56.600]  是一個很重要
[00:01:56.600 --> 00:01:58.600]  我們做信徒
[00:01:58.600 --> 00:02:01.600]  要紀念的日子
[00:02:01.600 --> 00:02:05.600]  因為耶穌如果不是真的復活的話
[00:02:05.600 --> 00:02:08.600]  整個信仰就被瓦解
[00:02:08.600 --> 00:02:13.600]  所以復活節主日是我們最要珍重的主日
[00:02:13.600 --> 00:02:16.600]  整件事就從那天開始改變
[00:02:16.600 --> 00:02:20.600]  我想在七天的第一天發生的事
[00:02:20.600 --> 00:02:21.600]  上個主日
[00:02:21.600 --> 00:02:23.600]  如果你有讀經
[00:02:23.600 --> 00:02:26.600]  或者你有聽其他主日崇拜的講道的話
[00:02:26.600 --> 00:02:28.600]  復活節主日崇拜的講道
[00:02:28.600 --> 00:02:34.600]  基本上全部都是講瑪利亞去到空墳墓
[00:02:34.600 --> 00:02:36.600]  面對那人
[00:02:36.600 --> 00:02:39.600]  即是白衣人的說話
[00:02:39.600 --> 00:02:43.600]  你們為什麼在死人中找活人呢?
[00:02:43.600 --> 00:02:44.600]  他不在這裡
[00:02:44.600 --> 00:02:45.600]  已經復活了
[00:02:45.600 --> 00:02:46.600]  當紀念他
[00:02:46.600 --> 00:02:48.600]  再加上你們對他們所說的話
[00:02:48.600 --> 00:02:49.600]  是什麼呢?
[00:02:49.600 --> 00:02:51.600]  就是人子必須被害
