
[00:00:00.000 --> 00:00:09.360]  每一次崇拜都是向神獻上感恩和給予弟兄姊妹祝福的好時間
[00:00:09.360 --> 00:00:11.480]  對呀!所以如果剛才在敬拜裏面
[00:00:11.480 --> 00:00:13.800]  你想到上帝曾經賜福過你甚麼
[00:00:13.800 --> 00:00:15.480]  或者保守過你家庭甚麼
[00:00:15.480 --> 00:00:18.040]  都歡迎大家一起在留言裏面告訴我們
[00:00:18.040 --> 00:00:20.480]  將上帝給你的祝福一起分享開去
[00:00:20.480 --> 00:00:22.760]  沒錯!整個崇拜裏面有任何的感動
[00:00:22.760 --> 00:00:24.840]  你都可以在下面跟我們一起分享
[00:00:24.840 --> 00:00:26.320]  我們是一個敬拜的群體
[00:00:26.320 --> 00:00:29.600]  弟兄姊妹
[00:00:29.600 --> 00:00:31.200]  劉唐目者祝大家
[00:00:31.200 --> 00:00:33.400]  心心靈神見
[00:00:33.400 --> 00:00:36.440]  願我人愛主愛人
[00:00:36.440 --> 00:00:38.280]  以各付出
[00:00:38.280 --> 00:00:41.000]  共同加油
[00:00:41.000 --> 00:00:44.440]  弟兄姊妹
[00:00:44.440 --> 00:00:48.000]  又到了一年一度龍年新超度的時間
[00:00:48.000 --> 00:00:50.280]  今天是龍年的大年初一
[00:00:50.280 --> 00:00:51.400]  再一次祝福大家
[00:00:51.400 --> 00:00:52.560]  在龍年裏面
[00:00:52.560 --> 00:00:55.120]  大家能夠經歷到耶穌基督的恩惠
[00:00:55.120 --> 00:00:58.200]  心裏面常常充滿著耶穌基督的力量
[00:00:58.200 --> 00:00:59.400]  今天是大年初一
[00:00:59.400 --> 00:01:00.920]  不知道大家今天過得如何
[00:01:00.920 --> 00:01:05.840]  不知道大家能否享受龍年裏面的第一天
[00:01:05.840 --> 00:01:08.480]  其實不知道大家在十二新超裏面
[00:01:08.480 --> 00:01:11.760]  你有沒有最喜歡哪一個新超年
[00:01:11.760 --> 00:01:13.040]  為甚麼這麼問呢
[00:01:13.040 --> 00:01:14.200]  不知道大家有沒有這樣的感覺
[00:01:14.200 --> 00:01:16.000]  就是在十二新超裏面
[00:01:16.000 --> 00:01:20.320]  可能有些新超年份你特別感覺良好
[00:01:20.320 --> 00:01:23.240]  有些年份你可能覺得可以接受到
[00:01:23.240 --> 00:01:26.280]  但總是沒有其他新超那麼好的
[00:01:26.280 --> 00:01:30.640]  例如虎年、羊年、馬年、兔年
[00:01:30.640 --> 00:01:32.960]  可能是一些動物形象的關係
[00:01:32.960 --> 00:01:36.720]  這些形象會比較容易接受到
[00:01:36.720 --> 00:01:41.800]  相反牛年、雞年、蛇年、鼠年、豬年
[00:01:41.800 --> 00:01:43.800]  當然都是一些很普通的動物
[00:01:43.800 --> 00:01:47.320]  但可能要用一些力氣來美化它
[00:01:47.320 --> 00:01:48.840]  當然在這裏沒有種族歧視
[00:01:48.840 --> 00:01:50.440]  所有動物都是平等的
[00:01:50.440 --> 00:01:52.880]  當然動物比較平等
[00:01:52.880 --> 00:01:55.880]  我否認在眾多的新超之中
[00:01:55.880 --> 00:01:59.600]  龍年是一個最受歡迎的新超年
[00:01:59.600 --> 00:02:00.720]  我想大家都記得吧
[00:02:00.720 --> 00:02:03.600]  在我們華人文化裏面
