
[00:00:00.000 --> 00:00:02.920]  (第四章 基督徒)
[00:00:02.920 --> 00:00:13.400]  我們是時代之子
[00:00:13.400 --> 00:00:15.560]  是被上帝揀選
[00:00:15.560 --> 00:00:18.160]  在這個年代見證耶穌的基督徒
[00:00:18.160 --> 00:00:20.600]  我們身於這個年代
[00:00:20.600 --> 00:00:22.400]  被這個年代分散
[00:00:22.400 --> 00:00:25.720]  有人流散到海外尋覓理想
[00:00:25.720 --> 00:00:28.280]  有人繼續在本土奮鬥下去
[00:00:28.960 --> 00:00:30.040]  但又如何
[00:00:30.040 --> 00:00:32.720]  基督徒仍然需要作基督徒
[00:00:32.720 --> 00:00:35.960]  香港人仍然是香港人
[00:00:35.960 --> 00:00:38.680]  究竟上帝的旨意如何
[00:00:38.680 --> 00:00:40.640]  我們應該如何生活
[00:00:40.640 --> 00:00:43.240]  我們應該如何為主而活
[00:00:43.240 --> 00:00:45.760]  無論你身處何處
[00:00:45.760 --> 00:00:47.440]  只要你是香港人
[00:00:47.440 --> 00:00:49.480]  邀請你跟我們一起思想
[00:00:49.480 --> 00:00:51.520]  這個流散年代的信仰
[00:00:51.520 --> 00:00:54.160]  致願民與流散者
[00:00:54.160 --> 00:00:56.640]  給香港基督徒的神學百科
[00:00:56.640 --> 00:00:58.640]  (字幕:陳志全)
[00:00:59.560 --> 00:01:01.560]  (字幕:陳志全)
[00:01:01.560 --> 00:01:03.360]  (廣東話)
[00:01:03.360 --> 00:01:06.560]  (廣東話)
[00:01:06.560 --> 00:01:11.040]  (廣東話)
[00:01:11.040 --> 00:01:15.760]  (廣東話)
[00:01:15.760 --> 00:01:19.760]  (廣東話)
[00:01:19.760 --> 00:01:24.720]  (廣東話)
[00:01:25.160 --> 00:01:28.440]  不過有一點關係
[00:01:28.440 --> 00:01:29.600]  勉強也說得通
[00:01:29.600 --> 00:01:34.080]  今天我們會討論一個主題
[00:01:34.080 --> 00:01:36.000]  就是身份認同
[00:01:36.000 --> 00:01:38.400]  就是身份認同這個詞語
