
[00:00:00.000 --> 00:00:02.000]  好 等待節目平安
[00:00:02.000 --> 00:00:08.000]  今日的講題是未來的耶穌
[00:00:08.000 --> 00:00:10.000]  正如剛才Neshus也說
[00:00:10.000 --> 00:00:17.000]  Full Church今個月的未來月題一直在吃字
[00:00:17.000 --> 00:00:20.000]  未來和未來
[00:00:20.000 --> 00:00:26.000]  未來更是我這個月很想講的主題
[00:00:26.000 --> 00:00:33.000]  未來除了是講我們的將來之外
[00:00:33.000 --> 00:00:38.000]  我們也想思考一下耶穌基督的再來
[00:00:38.000 --> 00:00:43.000]  特別是今天是張臨期的第二個主日
[00:00:43.000 --> 00:00:47.000]  所以我們也期待耶穌基督的來臨
[00:00:47.000 --> 00:00:51.000]  Advent這個字 張臨這個字
[00:00:51.000 --> 00:00:55.000]  本身這個字的Latin文Vent來解做Come
[00:00:55.000 --> 00:01:00.000]  雖然我們Full Church不是傳統意義上的禮儀教會
[00:01:00.000 --> 00:01:03.000]  但我們也在這個月裡 十幾月
[00:01:03.000 --> 00:01:06.000]  思考耶穌基督的再來
[00:01:06.000 --> 00:01:11.000]  我們一直相信一個未來的主
[00:01:11.000 --> 00:01:14.000]  一個將要來臨的主
[00:01:14.000 --> 00:01:17.000]  我們藉著今天的題目
[00:01:17.000 --> 00:01:22.000]  思考耶穌基督的未來和我們面對的信仰
[00:01:22.000 --> 00:01:25.000]  我藉著祈禱
[00:01:25.000 --> 00:01:29.000]  再求祢親自對我們說話
[00:01:29.000 --> 00:01:33.000]  祢自己是我們那位的救主
[00:01:33.000 --> 00:01:35.000]  我們教會的元首
[00:01:35.000 --> 00:01:39.000]  我們作為祢的群體
[00:01:39.000 --> 00:01:42.000]  我們恭恭敬敬的來到在祢面前
[00:01:42.000 --> 00:01:46.000]  我們再次去仰望 去懇求祢親自對我們說話
[00:01:46.000 --> 00:01:48.000]  太子不算什麼
[00:01:48.000 --> 00:01:53.000]  但祢自己使用今天的崇拜
[00:01:53.000 --> 00:01:55.000]  祢自己對著我們說話
[00:01:55.000 --> 00:01:58.000]  在一個腐敗的氣命裡
[00:01:58.000 --> 00:02:02.000]  我們仍然能夠完整地聽到祢自己的話
[00:02:02.000 --> 00:02:05.000]  求祢的說話幫助我們弟子妹
[00:02:05.000 --> 00:02:09.000]  在海外 在不同地方裡
[00:02:09.000 --> 00:02:11.000]  我們一起去崇拜弟子妹
[00:02:11.000 --> 00:02:14.000]  我們一起來懇求祢自己的說話
[00:02:14.000 --> 00:02:18.000]  讓我們能夠再次思想
[00:02:18.000 --> 00:02:21.000]  你昔日對門徒的說話的時候
[00:02:21.000 --> 00:02:24.000]  我們生命裡得到方向和力量
[00:02:24.000 --> 00:02:27.000]  我們知道如何面對我們的未來
