
[00:00:00.000 --> 00:00:02.640]  這兩個月的閱題是減
[00:00:02.640 --> 00:00:07.520]  今天就來到最後一個的閱題
[00:00:07.520 --> 00:00:08.600]  減
[00:00:08.600 --> 00:00:11.160]  其實最後一個應該比較容易說
[00:00:11.160 --> 00:00:15.040]  因為你們有沒有去做過presentation
[00:00:15.040 --> 00:00:17.200]  引言和總結都比較容易
[00:00:17.200 --> 00:00:20.640]  所以今天也很快完結
[00:00:20.640 --> 00:00:22.080]  但是
[00:00:22.080 --> 00:00:24.960]  你們看到我寫著
[00:00:24.960 --> 00:00:28.600]  減去100個跟隨耶穌的理由
[00:00:28.600 --> 00:00:32.560]  究竟我如何在這麼快的時間內說完100個呢
[00:00:32.560 --> 00:00:34.560]  你更加要精神去留意
[00:00:34.560 --> 00:00:36.920]  看看我用了什麼技巧
[00:00:36.920 --> 00:00:39.440]  最近我跟組員
[00:00:39.440 --> 00:00:42.240]  其實組員很喜歡討論一個題目
[00:00:42.240 --> 00:00:44.440]  就是兩性關係
[00:00:44.440 --> 00:00:48.600]  通常這個題目都會熱門過茶經
[00:00:48.600 --> 00:00:51.400]  一說就雞蹲不斷
[00:00:51.400 --> 00:00:54.560]  我昨天還跟小組說
[00:00:54.560 --> 00:00:57.360]  我聽到就輕鬆一點
[00:00:57.360 --> 00:00:59.640]  大件事了 誰知道不斷地說
[00:00:59.640 --> 00:01:02.800]  誰知道我控制不了他們
[00:01:02.800 --> 00:01:04.200]  是很開心的
[00:01:04.200 --> 00:01:07.120]  在這裡也跟大家想一想
[00:01:07.120 --> 00:01:09.000]  問大家一個問題
[00:01:09.000 --> 00:01:12.320]  你選擇某一個人
[00:01:12.320 --> 00:01:16.920]  作為你另一半的理由會是什麼呢
[00:01:16.920 --> 00:01:19.880]  以前我的導師會教我寫下來
[00:01:19.880 --> 00:01:22.840]  有張list 有沒有人戴著
[00:01:22.840 --> 00:01:25.720]  一會借來看看
[00:01:25.720 --> 00:01:30.120]  你選擇某人作為你另一半的理由是什麼呢
[00:01:30.120 --> 00:01:35.600]  我上一次認真地想這條問題
[00:01:35.600 --> 00:01:37.560]  已經是
[00:01:37.560 --> 00:01:39.080]  不太記得了
[00:01:39.080 --> 00:01:41.280]  好像是幾年前
[00:01:41.280 --> 00:01:43.920]  我在神學院遇到一位
[00:01:43.920 --> 00:01:45.920]  神學院的男同學
[00:01:45.920 --> 00:01:47.840]  這位男同學有一點
[00:01:47.840 --> 00:01:49.720]  都挺像潘Sir的
[00:01:49.720 --> 00:01:51.560]  不是
[00:01:51.560 --> 00:01:53.000]  不是他的樣子
[00:01:53.000 --> 00:01:55.160]  潘Sir在不在 不是他的樣子
[00:01:55.160 --> 00:01:59.000]  他同樣有很多理論在身
[00:01:59.000 --> 00:02:04.680]  潘Sir有很多問題
[00:02:04.680 --> 00:02:07.160]  很多金句
[00:02:07.160 --> 00:02:11.560]  話說當年我們都按照著潘Sir所說的
[00:02:11.560 --> 00:02:13.960]  先交友後戀愛的方式
[00:02:13.960 --> 00:02:15.320]  這是他經常說的
[00:02:15.320 --> 00:02:16.400]  大家記住了
[00:02:16.400 --> 00:02:17.960]  第一點了
[00:02:17.960 --> 00:02:18.880]  開玩笑的
[00:02:18.880 --> 00:02:21.080]  先交友後戀愛的方式
[00:02:21.080 --> 00:02:22.840]  我們在交友的
[00:02:22.840 --> 00:02:24.720]  交友好像要掛一樣
[00:02:24.720 --> 00:02:27.080]  我們在做朋友的階段
[00:02:27.080 --> 00:02:32.600]  男同學會看很多戀愛理論的書
[00:02:32.600 --> 00:02:36.720]  然後寫了一份十幾頁的
[00:02:36.720 --> 00:02:38.960]  分享問題小組討論
[00:02:38.960 --> 00:02:41.120]  做什麼呢 就是跟我討論
[00:02:41.120 --> 00:02:46.000]  我們每一次見面
[00:02:46.000 --> 00:02:49.600]  都很有目的地認識對方的家庭
[00:02:49.600 --> 00:02:51.960]  戀愛 金錢 信仰
[00:02:51.960 --> 00:02:55.480]  其實我們全道人都是一物易用的
[00:02:55.480 --> 00:02:59.560]  現在有些人來找我討論戀愛的時候
[00:02:59.560 --> 00:03:01.480]  我都會分享給他們
