
[00:00:00.000 --> 00:00:01.680]  各位姐妹晚安
[00:00:01.680 --> 00:00:06.200]  我不知道今天大家看到這個講題之後
[00:00:06.200 --> 00:00:08.120]  大家會有什麼想法呢
[00:00:08.120 --> 00:00:12.920]  不知道大家怎麼看生活中的吃喝快樂呢
[00:00:12.920 --> 00:00:16.160]  是覺得很世俗
[00:00:16.160 --> 00:00:18.040]  是一件兒戲的事
[00:00:18.040 --> 00:00:22.320]  覺得跟屬靈生命和信仰毫無關係
[00:00:22.320 --> 00:00:24.560]  覺得不應該在這裡講
[00:00:24.560 --> 00:00:26.720]  其實不是的
[00:00:27.160 --> 00:00:32.760]  傳道書不僅一次地講吃喝快樂這個概念
[00:00:32.760 --> 00:00:36.160]  在《傳道書》二章廿四節它這樣說
[00:00:36.160 --> 00:00:38.720]  難道一個人有吃有喝
[00:00:38.720 --> 00:00:40.600]  且在勞碌中享福
[00:00:40.600 --> 00:00:41.880]  不是福氣嗎
[00:00:41.880 --> 00:00:44.800]  我看這也是出於神的手
[00:00:44.800 --> 00:00:46.040]  接著繼續說
[00:00:46.040 --> 00:00:50.120]  並且人人吃喝在他的一切勞碌中享福
[00:00:50.120 --> 00:00:52.040]  這也是神的賞賜
[00:00:52.040 --> 00:00:55.680]  之後還有其他的經文
[00:00:55.680 --> 00:00:56.960]  都是這樣說的
[00:00:56.960 --> 00:00:58.080]  他甚至說
[00:00:58.080 --> 00:00:59.640]  我就稱讚快樂
[00:00:59.640 --> 00:01:05.920]  原來人在日光之下最大的福氣莫過於吃喝快樂
[00:01:05.920 --> 00:01:09.760]  他在日光之下臣賜他一生的日子
[00:01:09.760 --> 00:01:12.600]  要從勞碌中享受所得
[00:01:12.600 --> 00:01:16.760]  所以吃喝快樂是很重要的
[00:01:16.760 --> 00:01:18.560]  是跟信仰有關的
[00:01:18.560 --> 00:01:21.760]  《傳道書》是傳道者
[00:01:21.760 --> 00:01:26.080]  我們估計是他晚年感懷的作品
[00:01:26.520 --> 00:01:31.640]  他在書中一而再再而三地提醒年輕人
[00:01:31.640 --> 00:01:35.120]  這個年輕既可以是指年紀
[00:01:35.120 --> 00:01:37.560]  也可以是指信仰階段
[00:01:37.560 --> 00:01:40.720]  革勉勵年輕人
[00:01:40.720 --> 00:01:44.480]  究竟要怎樣在一個無常的世界裏
[00:01:44.480 --> 00:01:46.360]  怎樣踐行信仰
[00:01:46.360 --> 00:01:50.960]  而吃喝就是其中一個實行的指標
[00:01:50.960 --> 00:01:54.800]  所以吃喝其實就是跟我們的信仰有關的
[00:01:55.360 --> 00:01:57.200]  吃喝是指甚麼呢
[00:01:57.200 --> 00:02:02.320]  吃喝在《傳道書》裏面是一個常見的詞彙
[00:02:02.320 --> 00:02:08.080]  說的是一個人享受他勞碌工作之後的成果
[00:02:08.080 --> 00:02:11.200]  傳道者和讀者這樣說
