
[00:00:00.000 --> 00:00:06.000]  各位姐妹平安,歡迎回來喜帕靈堂崇拜
[00:00:06.000 --> 00:00:17.000]  氣氛很熱烈,我這個星期的腦袋仍然在看上星期的影片
[00:00:17.000 --> 00:00:20.000]  所以我變得很興奮
[00:00:20.000 --> 00:00:24.000]  在我今天預備的訊息當中,選了楊逸書的經文
[00:00:24.000 --> 00:00:29.000]  跟大家在Armbeat這個月題當中一起思想
[00:00:29.000 --> 00:00:36.000]  在我頭頁當中,第一個頁面是這個圖畫
[00:00:36.000 --> 00:00:45.000]  裡面有兩個人,頭顱有兩個不同的意象
[00:00:45.000 --> 00:00:48.000]  如果你看過楊逸書的時候
[00:00:48.000 --> 00:00:53.000]  你會看到蓮露的約翰帶著一個心情
[00:00:53.000 --> 00:00:57.000]  一個眷惠的心情和教會的年輕人
[00:00:57.000 --> 00:01:06.000]  特別是一群在當中傳承和聚會的弟兄姊妹的說話
[00:01:06.000 --> 00:01:10.000]  因為在楊逸書描述的背景當中
[00:01:10.000 --> 00:01:13.000]  有一個比較困難的情況就是
[00:01:13.000 --> 00:01:15.000]  教會運作了一段時間
[00:01:15.000 --> 00:01:18.000]  有很多不同的意見
[00:01:18.000 --> 00:01:21.000]  有很多不同的想法
[00:01:21.000 --> 00:01:23.000]  當中在教會有很多爭辯
[00:01:23.000 --> 00:01:27.000]  約翰在當中跟他們分享
[00:01:27.000 --> 00:01:31.000]  特別是想釐清其實什麼才是最重要的呢?
[00:01:31.000 --> 00:01:34.000]  我想過去對於你來說
[00:01:34.000 --> 00:01:36.000]  你可能回過不只一間教會
[00:01:36.000 --> 00:01:41.000]  或者在過程當中你都不只參與過一個群體
[00:01:41.000 --> 00:01:44.000]  都是認信基督的群體
[00:01:44.000 --> 00:01:48.000]  但總有大大小小當中不同意見的分歧
[00:01:48.000 --> 00:01:50.000]  或者表達方式上的差異
[00:01:50.000 --> 00:01:53.000]  以致你對於群體當中失去信心
[00:01:53.000 --> 00:01:57.000]  這件事不是現在才有發生
[00:01:57.000 --> 00:02:01.000]  是早於公元一世紀教會開展的時候
[00:02:01.000 --> 00:02:04.000]  知道有人當中都有不同意見的表達
[00:02:04.000 --> 00:02:09.000]  但怎樣接受和表達或釐清呢?
[00:02:09.000 --> 00:02:12.000]  很多時候有些人是用他的理性
[00:02:12.000 --> 00:02:16.000]  或者合理的理據去認為那件事應該是這樣的
[00:02:16.000 --> 00:02:20.000]  其中司徒約翰要處理的就是
[00:02:20.000 --> 00:02:25.000]  怎樣才算是耶穌基督是怎麼回事呢?
[00:02:25.000 --> 00:02:29.000]  其中一個是當時約翰很認真地說清楚
[00:02:29.000 --> 00:02:31.000]  不是你這樣想的方法
[00:02:31.000 --> 00:02:34.000]  因為當時有一些人會覺得
[00:02:34.000 --> 00:02:35.000]  耶穌是什麼呢?
[00:02:35.000 --> 00:02:38.000]  耶穌切切實實是一個人
[00:02:38.000 --> 00:02:40.000]  他是一個很道地的人
[00:02:40.000 --> 00:02:43.000]  他是一個很善良
[00:02:43.000 --> 00:02:46.000]  很忠心
[00:02:46.000 --> 00:02:48.000]  很有行善
[00:02:48.000 --> 00:02:50.000]  很有愛心的力量的人
[00:02:50.000 --> 00:02:52.000]  但當他洗禮的時候
[00:02:52.000 --> 00:02:55.000]  聖靈就住在他那裡
[00:02:55.000 --> 00:02:58.000]  他繼續行很多神蹟騎士
[00:02:58.000 --> 00:03:01.000]  但當他要上十字架的時候
[00:03:01.000 --> 00:03:03.000]  聖靈就離開了他
[00:03:03.000 --> 00:03:06.000]  然後就死在十字架上
[00:03:06.000 --> 00:03:09.000]  就完結了他的工作
[00:03:09.000 --> 00:03:12.000]  但約翰要告訴當時的人
[00:03:12.000 --> 00:03:14.000]  不是這樣的理據
[00:03:14.000 --> 00:03:16.000]  也不是這樣的理解
[00:03:16.000 --> 00:03:18.000]  耶穌基督切切就是
[00:03:18.000 --> 00:03:21.000]  同貞女瑪利亞所生成為人
[00:03:21.000 --> 00:03:23.000]  要表明一件事就是
[00:03:23.000 --> 00:03:26.000]  上帝用一個人不能想到的方法
[00:03:26.000 --> 00:03:30.000]  竟然猜測他的獨生兒子來到世界上
[00:03:30.000 --> 00:03:32.000]  成就這個救恩
[00:03:32.000 --> 00:03:34.000]  但人不能夠消失
[00:03:34.000 --> 00:03:36.000]  上帝怎麼可能這樣做呢?
[00:03:36.000 --> 00:03:38.000]  上帝怎麼用這樣的方法呢?
[00:03:38.000 --> 00:03:40.000]  上帝怎麼可以死在十字架上呢?
[00:03:40.000 --> 00:03:42.000]  接受一樣東西就是
[00:03:42.000 --> 00:03:43.000]  一個受苦的僕人
[00:03:43.000 --> 00:03:46.000]  一個受死上帝的兒子
[00:03:46.000 --> 00:03:49.000]  也不能夠接受一個被釘的上帝
[00:03:49.000 --> 00:03:51.000]  一個被定罪的上帝
[00:03:51.000 --> 00:03:53.000]  但約翰告訴我們
[00:03:53.000 --> 00:03:55.000]  上帝愛我們的緣故
[00:03:55.000 --> 00:03:58.000]  就是願意用自己的兒子的命
[00:03:58.000 --> 00:04:01.000]  來換我們大罪之身的命
[00:04:01.000 --> 00:04:04.000]  這就是上帝用一個人看為愚蠢
[00:04:04.000 --> 00:04:09.000]  但卻能夠反映上帝大能的地方
[00:04:09.000 --> 00:04:12.000]  約翰要讓人明白
[00:04:12.000 --> 00:04:15.000]  不一定是合我們的理性
[00:04:15.000 --> 00:04:18.000]  但上帝就是一個超然的愛
[00:04:18.000 --> 00:04:20.000]  讓人明白
[00:04:20.000 --> 00:04:23.000]  所以約翰要讓人明白
[00:04:23.000 --> 00:04:25.000]  我們在爭論的東西
[00:04:25.000 --> 00:04:27.000]  或是我們不能平衡
[00:04:27.000 --> 00:04:29.000]  或是不能調整的是什麼呢?
