
[00:00:00.000 --> 00:00:02.680]  我先要向大家坦白
[00:00:02.680 --> 00:00:09.320]  今天這篇講道是我五年前在自己教會講過的經文
[00:00:09.320 --> 00:00:12.360]  五年前我對著一個空的禮堂
[00:00:12.360 --> 00:00:15.400]  去講了這篇信息
[00:00:15.400 --> 00:00:17.720]  講完之後我自己覺得很迷失
[00:00:17.720 --> 00:00:21.080]  我不懂得對著一個沒有人的禮堂
[00:00:21.080 --> 00:00:24.040]  去演繹上帝的話語
[00:00:24.040 --> 00:00:25.600]  我跟自己說
[00:00:25.600 --> 00:00:29.520]  如果他日能夠再恢復聚會
[00:00:29.520 --> 00:00:32.600]  我會將所有對著空禮堂講的道
[00:00:32.600 --> 00:00:34.760]  重新再寫一次
[00:00:34.760 --> 00:00:40.160]  這篇就是五年之後重新再寫的其中一篇
[00:00:40.160 --> 00:00:41.520]  我不知道這五年裏面
[00:00:41.520 --> 00:00:45.720]  你有沒有做過一些人生很重要的決定
[00:00:45.720 --> 00:00:48.840]  以致在五年過後的今天
[00:00:48.840 --> 00:00:52.200]  讓你稍為變得不一樣
[00:00:52.200 --> 00:00:55.080]  今天我所選定的針研
[00:00:55.080 --> 00:00:59.920]  針研就好像一位父親對著一班讀者
[00:00:59.920 --> 00:01:01.840]  好像兒子一樣教
[00:01:01.840 --> 00:01:06.120]  他說在人生路上你會遇到兩個苦人
[00:01:06.120 --> 00:01:08.640]  一個是智慧的苦人
[00:01:08.640 --> 00:01:11.040]  另一個是淫婦
[00:01:11.040 --> 00:01:17.320]  你要在這些正與邪善與惡之間作人生的抉擇
[00:01:17.320 --> 00:01:19.520]  究竟我們過去這麼多年
[00:01:19.520 --> 00:01:22.240]  走過一趟又一趟的人生
[00:01:22.240 --> 00:01:24.880]  你做過些什麼決定
[00:01:24.880 --> 00:01:28.240]  以致你今天稍有不同呢
[00:01:28.240 --> 00:01:30.560]  又或者我再問
[00:01:30.560 --> 00:01:34.120]  其實五年前和今天的你
[00:01:34.120 --> 00:01:37.200]  你其實一直在睡覺
[00:01:37.200 --> 00:01:38.760]  在做夢
[00:01:38.760 --> 00:01:41.240]  沒有做任何的改變
[00:01:41.240 --> 00:01:45.440]  只是迷迷糊糊就走過五年
[00:01:45.440 --> 00:01:49.560]  究竟哪一樣是我們值得去思考
[00:01:49.560 --> 00:01:52.280]  值得去想一想
[00:01:52.280 --> 00:01:54.200]  五年之後的今天
[00:01:54.200 --> 00:01:56.440]  你有沒有一些改變呢
[00:01:56.440 --> 00:02:00.120]  讓我們一起讀一讀今天所選定的經文
[00:02:00.120 --> 00:02:02.240]  針研的第六章
[00:02:02.240 --> 00:02:05.680]  我們先請大家在螢光幕上看到的畫
[00:02:05.680 --> 00:02:07.360]  我們可以一起讀出
[00:02:07.360 --> 00:02:08.440]  預備
[00:02:08.440 --> 00:02:09.440]  起
[00:02:09.440 --> 00:02:13.120]  我們讀的時候好像經文分了兩個段落
[00:02:13.120 --> 00:02:15.440]  一個是對我兒去說
[00:02:15.440 --> 00:02:18.360]  另一個是對懶惰人去說
[00:02:18.360 --> 00:02:20.200]  針研將它們放在一起
[00:02:20.200 --> 00:02:22.640]  讓我們一併去思考
[00:02:22.640 --> 00:02:24.480]  究竟作為父親
[00:02:24.480 --> 00:02:25.920]  作為智慧人
[00:02:25.920 --> 00:02:30.480]  他如何教導我們去過這些選擇的日子
[00:02:30.480 --> 00:02:33.680]  我嘗試將經文分為三個段落
[00:02:33.680 --> 00:02:36.360]  第一個段落就是對我兒
[00:02:36.360 --> 00:02:38.440]  一至五節
[00:02:38.440 --> 00:02:41.760]  作者舉了一個借錢的例子
[00:02:41.760 --> 00:02:44.600]  和我兒去做交道
[00:02:44.600 --> 00:02:47.000]  他就和兒子說
[00:02:47.000 --> 00:02:48.000]  我兒
[00:02:48.040 --> 00:02:52.600]  他說不是否定要做人擔保去幫助人
[00:02:52.600 --> 00:02:53.800]  這個問題
[00:02:53.800 --> 00:02:55.680]  雖然他舉這個例子
[00:02:55.680 --> 00:02:57.520]  但是他要提醒
[00:02:57.520 --> 00:03:00.720]  你做這些金錢擔保人
[00:03:00.720 --> 00:03:03.240]  不可以輕率行事
[00:03:03.240 --> 00:03:05.880]  不可以隨便去答應人
[00:03:05.880 --> 00:03:08.440]  因為如果你做錯決定
[00:03:08.440 --> 00:03:10.760]  就會令你整個人生
[00:03:10.760 --> 00:03:15.120]  整個家庭陷入一個很艱難的局面
[00:03:15.120 --> 00:03:17.520]  但這個不是他最想說的
[00:03:17.520 --> 00:03:19.120]  他最想說的是
[00:03:19.120 --> 00:03:22.080]  假如你已經落在這個地步
[00:03:22.080 --> 00:03:24.200]  你應該怎樣做呢
[00:03:24.200 --> 00:03:27.360]  他說假如你已經做了一個擔保人
[00:03:27.360 --> 00:03:30.000]  就是背了一生別人的債
[00:03:30.000 --> 00:03:32.080]  你就要盡快盡力
[00:03:32.080 --> 00:03:35.720]  徹底地去解決它
[00:03:35.720 --> 00:03:37.720]  你要睜開雙眼
[00:03:37.720 --> 00:03:40.280]  去忘清這些事情
[00:03:40.280 --> 00:03:42.240]  你這樣才可以怎樣
[00:03:42.240 --> 00:03:43.960]  救自己
[00:03:43.960 --> 00:03:47.120]  《針研講》不是叫你先祈禱
[00:03:47.120 --> 00:03:49.640]  他叫你盡力去做好
[00:03:49.640 --> 00:03:51.160]  你應該做的事
[00:03:51.160 --> 00:03:53.880]  在對《針研》的作者來說
[00:03:53.880 --> 00:03:57.320]  有智慧的行事就等於一個禱告
[00:03:57.320 --> 00:04:00.680]  你要睜開雙眼處理一些事情
[00:04:00.680 --> 00:04:03.080]  記住這一幕
[00:04:03.080 --> 00:04:04.840]  這是一個例證
[00:04:04.840 --> 00:04:07.200]  然後《針研》就開始說
[00:04:07.200 --> 00:04:11.360]  關於懶惰人的兩個問題
[00:04:11.360 --> 00:04:13.000]  我們繼續看下去
[00:04:13.000 --> 00:04:14.760]  他首先呼籲
[00:04:14.760 --> 00:04:17.520]  懶惰人有一個命令
[00:04:17.520 --> 00:04:20.760]  你要去察看螞蟻
[00:04:20.760 --> 00:04:24.360]  去改善你自己懶惰的問題
