
[00:00:00.000 --> 00:00:02.000]  今天穿衣服打領帶
[00:00:02.000 --> 00:00:05.000]  不是穿衣服,不過打領帶是因為
[00:00:05.000 --> 00:00:07.000]  這條領帶代表一個球隊
[00:00:07.000 --> 00:00:09.000]  如果你看到這個標誌的話
[00:00:09.000 --> 00:00:11.000]  我怕今晚不打的話
[00:00:11.000 --> 00:00:13.000]  我以後就不打它了
[00:00:13.000 --> 00:00:15.000]  所以今晚的場球很重要
[00:00:15.000 --> 00:00:17.000]  我講完就走了
[00:00:17.000 --> 00:00:20.000]  所以今天搞得我有點緊張
[00:00:20.000 --> 00:00:24.000]  第二個緊張的原因是什麼呢
[00:00:24.000 --> 00:00:29.000]  今天講完之後,我想要八月才再見大家
[00:00:29.000 --> 00:00:32.000]  六月和七月,六月整個月多一點
[00:00:32.000 --> 00:00:34.000]  我會去了以色列
[00:00:34.000 --> 00:00:37.000]  有兩團以色列的隊
[00:00:37.000 --> 00:00:39.000]  終於回去了,我四年沒有回
[00:00:39.000 --> 00:00:42.000]  這是我最想回去的地方
[00:00:42.000 --> 00:00:44.000]  接著一個月去英國
[00:00:44.000 --> 00:00:47.000]  探望一些很久沒見的朋友
[00:00:47.000 --> 00:00:49.000]  如果在英國的電影展會
[00:00:49.000 --> 00:00:52.000]  你在街頭碰到一個傻子走來走去
[00:00:52.000 --> 00:00:56.000]  打聲招呼,希望我們彼此再認識
[00:00:56.000 --> 00:00:59.000]  所以這個夏天完結之後
[00:00:59.000 --> 00:01:03.000]  有兩個多月的時間會不在香港
[00:01:03.000 --> 00:01:05.000]  所以想念大家
[00:01:05.000 --> 00:01:09.000]  希望八月的時候回來正常,完好無缺
[00:01:09.000 --> 00:01:13.000]  今天會講一個訊息
[00:01:13.000 --> 00:01:16.000]  因為軒工創作了一首歌
[00:01:16.000 --> 00:01:18.000]  Wyman寫的詞
[00:01:18.000 --> 00:01:21.000]  所以我們希望講一下這首歌
[00:01:21.000 --> 00:01:23.000]  這首歌出來的時候
[00:01:23.000 --> 00:01:25.000]  我聽到也很感動
[00:01:25.000 --> 00:01:27.000]  因為我第一次聽到
[00:01:27.000 --> 00:01:29.000]  Wyman上鏡
[00:01:29.000 --> 00:01:32.000]  所表達的東西是很特別的事情
[00:01:32.000 --> 00:01:37.000]  我希望我們講一下類似的東西
[00:01:37.000 --> 00:01:42.000]  我今天會想講尤大書第三節
[00:01:42.000 --> 00:01:45.000]  尤大書只有一章,其實不長
