
[00:00:00.000 --> 00:00:07.000]  頂姐妹平安,在網上送拜的頂姐妹平安
[00:00:07.000 --> 00:00:16.000]  剛才謙明說得很對,可以來到神日殿一起敬拜祂不是必然的事
[00:00:16.000 --> 00:00:25.000]  另一樣我領受的是可以在神日殿中侍奉祂更加不是必然的事
[00:00:25.000 --> 00:00:37.000]  因為在這個星期一,我起床的時候,我發覺我喉嚨很痛,聲沙咳出痰很濃
[00:00:37.000 --> 00:00:45.000]  接著不久,我小兒子就告訴我,爸爸我兩條線
[00:00:45.000 --> 00:00:54.000]  我馬上就進去廁所,看看我多少條線,幸好那兩條線是黏在一起的
[00:00:54.000 --> 00:01:05.000]  但是今天都是一條線,難保明天不是,最怕是星期五才來兩條線怎麼辦呢
[00:01:05.000 --> 00:01:11.000]  我馬上就WhatsApp給潘Sir,潘Sir潘Sir,有沒有什麼指引呢?
[00:01:11.000 --> 00:01:17.000]  因為萬一都要穩定,後補後備,我們有很多同工在場
[00:01:17.000 --> 00:01:22.000]  除了清心之外,清心是失聲的
[00:01:22.000 --> 00:01:33.000]  潘Sir就說,現在這些只是風土病,只要你沒有失聲就行了
[00:01:33.000 --> 00:01:38.000]  但是我心寒寒,當時我聲沙咳,我不敢告訴他
[00:01:38.000 --> 00:01:41.000]  我跟他說潘Sir,幫我祈禱吧
[00:01:41.000 --> 00:01:50.000]  所以這幾天我一直在喘氣,跟老婆都聊笑了,跟兒子都說笑了
[00:01:50.000 --> 00:01:56.000]  昨天去踢球都走了半個小時,怕真的聲音不夠
[00:01:56.000 --> 00:02:03.000]  所以大家幫我祈禱吧,我希望今天可以有足夠的氣,講完整個行動
[00:02:03.000 --> 00:02:13.000]  不知道大家還記不記得上次我站在台上和大家分享的那個行動
[00:02:13.000 --> 00:02:21.000]  在去年十月,我記得當時和大家用七千人這個故事去思考
[00:02:21.000 --> 00:02:29.000]  我們在暴政下所產生的那種無力感,我們應該怎樣面對
[00:02:29.000 --> 00:02:37.000]  這次我就很想帶大家去看看,性機裡面另一班更加大群的人
