
[00:00:00.000 --> 00:00:02.960]  我們今天帶著敬畏的心
[00:00:02.960 --> 00:00:03.960]  仰望的心
[00:00:03.960 --> 00:00:06.280]  謙卑的心來到主的面前
[00:00:06.280 --> 00:00:08.560]  去領受上帝的話語
[00:00:08.560 --> 00:00:10.000]  今天這段經文
[00:00:10.000 --> 00:00:13.320]  我們選擇了歷代至上
[00:00:13.320 --> 00:00:16.720]  十一章十五至十九節的經文
[00:00:16.720 --> 00:00:18.440]  而講題
[00:00:18.440 --> 00:00:21.400]  我沒有試過這樣改
[00:00:21.400 --> 00:00:24.600]  就是「甚願有人打水給我喝」
[00:00:24.600 --> 00:00:26.240]  這個講題
[00:00:26.240 --> 00:00:29.240]  就是因為前陣子有一位仁兄
[00:00:29.240 --> 00:00:31.040]  他的名字叫陳偉安
[00:00:31.040 --> 00:00:32.680]  他WhatsApp給我
[00:00:32.680 --> 00:00:35.080]  邀請我今晚講道
[00:00:35.080 --> 00:00:36.880]  並且補多一句
[00:00:36.880 --> 00:00:39.760]  這個月的主題叫「飲水」
[00:00:39.760 --> 00:00:42.360]  我一口答應了
[00:00:42.360 --> 00:00:43.920]  我就有點後悔
[00:00:43.920 --> 00:00:45.320]  原因就是
[00:00:45.320 --> 00:00:48.520]  不是很多教會的講題這麼奇怪
[00:00:48.520 --> 00:00:50.960]  這是我自己的想法
[00:00:50.960 --> 00:00:51.960]  所以飲水
[00:00:51.960 --> 00:00:53.480]  我本來心想
[00:00:53.480 --> 00:00:57.640]  有沒有自己的講章可以重環再做呢
[00:00:57.640 --> 00:00:59.480]  發現找遍了所有
[00:00:59.480 --> 00:01:03.000]  我用Microsoft的搜尋功能
[00:01:03.000 --> 00:01:04.920]  搜尋「飲水」兩個字
[00:01:04.920 --> 00:01:08.560]  我找不到我有一篇講章是講飲水的
[00:01:08.560 --> 00:01:09.800]  所以我就在想
[00:01:09.800 --> 00:01:10.880]  有沒有一些
[00:01:10.880 --> 00:01:12.960]  應該要製作一篇新的
[00:01:12.960 --> 00:01:14.120]  而這一篇
