
[00:00:00.000 --> 00:00:03.640]  好 定智妹晚安
[00:00:03.640 --> 00:00:06.820]  很歡迎你來到流唐的崇拜
[00:00:06.820 --> 00:00:11.880]  建議大家坐第一排
[00:00:11.880 --> 00:00:14.360]  其實頭排是有位置的
[00:00:14.360 --> 00:00:17.080]  這邊有五個 這邊有五個
[00:00:17.080 --> 00:00:20.680]  坐第一排的好處是當你看到後面的時候
[00:00:20.680 --> 00:00:24.400]  你會看到弟兄姊妹的敬拜樣子
[00:00:24.400 --> 00:00:26.640]  很美麗的圖畫
[00:00:26.640 --> 00:00:28.440]  剛才大家一起去敬拜的時候
[00:00:28.440 --> 00:00:32.000]  看到大家每一個敬拜時候的面孔
[00:00:32.000 --> 00:00:34.240]  我們一起來敬拜
[00:00:34.240 --> 00:00:35.920]  獻上我們的敬拜
[00:00:35.920 --> 00:00:39.440]  這也是我們的獻祭
[00:00:39.440 --> 00:00:42.520]  我們的奉獻
[00:00:42.520 --> 00:00:44.120]  來到八月了
[00:00:44.120 --> 00:00:47.000]  八月是一個熱騰騰的八月
[00:00:47.000 --> 00:00:51.880]  仍然是我們奉獻的主題
[00:00:51.880 --> 00:00:54.520]  我們的講題叫做
[00:00:54.520 --> 00:00:56.080]  窮寡婦的奉獻
[00:00:56.080 --> 00:00:59.600]  一個你可能沒有想過的角度
[00:00:59.600 --> 00:01:01.200]  很明顯後面的一段是一個
[00:01:01.200 --> 00:01:05.560]  吸引你看下去的題目
[00:01:05.560 --> 00:01:07.800]  內容內容
[00:01:07.800 --> 00:01:11.440]  是郭富城失去的一切
[00:01:11.440 --> 00:01:18.720]  後來我試過叫Chet GPT幫我寫
[00:01:18.720 --> 00:01:22.000]  請給我用內容內容誇張的方式
[00:01:22.000 --> 00:01:24.560]  給十個題目
[00:01:24.560 --> 00:01:27.480]  很正 我讀給大家聽
[00:01:27.480 --> 00:01:28.480]  第一個給我
[00:01:28.480 --> 00:01:30.640]  震驚 這位教友的奉獻如何
[00:01:30.640 --> 00:01:34.480]  令整個教會翻天覆地
[00:01:34.480 --> 00:01:35.040]  第二個是
[00:01:35.040 --> 00:01:37.160]  你不會相信這個神秘的方法
[00:01:37.160 --> 00:01:40.560]  竟然可以讓你的信仰變得更加充實
[00:01:40.560 --> 00:01:41.280]  第三個就是
[00:01:41.280 --> 00:01:45.280]  這位牧師如何用奉獻的力量改變整個社區
[00:01:45.280 --> 00:01:48.360]  你不會相信這個小教會通過奉獻實現他的夢想
[00:01:48.360 --> 00:01:50.520]  這些東西
[00:01:50.520 --> 00:01:54.840]  今天我自己的題目也挺內容化
[00:01:54.840 --> 00:02:00.880]  不過今天也要說一個大家都認識的經文
[00:02:00.880 --> 00:02:04.720]  窮寡婦 耶穌在聖殿裏面
[00:02:04.720 --> 00:02:06.800]  對於窮寡婦
[00:02:06.800 --> 00:02:10.200]  將所有兩個小錢都奉獻一段經文
[00:02:10.200 --> 00:02:14.920]  來更深的了解
[00:02:14.920 --> 00:02:17.080]  其實我們這兩個月裏
