
[00:00:00.000 --> 00:00:02.000]  請自備平安
[00:00:02.000 --> 00:00:04.000]  OK
[00:00:04.000 --> 00:00:06.000]  先看一下
[00:00:06.000 --> 00:00:08.000]  這邊好像比較多人
[00:00:08.000 --> 00:00:10.000]  是不是這邊暖一點
[00:00:10.000 --> 00:00:12.000]  還是悶一點
[00:00:12.000 --> 00:00:14.000]  好 今天的講題
[00:00:14.000 --> 00:00:16.000]  不知道大家怎麼讀
[00:00:16.000 --> 00:00:18.000]  上個星期阿John的講題就是
[00:00:18.000 --> 00:00:20.000]  四個好
[00:00:20.000 --> 00:00:22.000]  就是好 好 好 好
[00:00:22.000 --> 00:00:24.000]  就是廣東話
[00:00:24.000 --> 00:00:26.000]  博大精深
[00:00:26.000 --> 00:00:28.000]  其中語氣是很重要的
[00:00:28.000 --> 00:00:30.000]  看看大家的重音放在哪裡
[00:00:30.000 --> 00:00:32.000]  好 多好 多好多
[00:00:32.000 --> 00:00:34.000]  好 多好 多好多
[00:00:34.000 --> 00:00:36.000]  好 多好 多好多
[00:00:36.000 --> 00:00:38.000]  還是怎樣呢
[00:00:38.000 --> 00:00:40.000]  為什麼要出這個講題呢
[00:00:40.000 --> 00:00:42.000]  我想完了經文的講解之後
[00:00:42.000 --> 00:00:44.000]  大家就明白
[00:00:44.000 --> 00:00:46.000]  重音放在哪裡
[00:00:46.000 --> 00:00:48.000]  當然好是很重要
[00:00:48.000 --> 00:00:50.000]  我們這個月題是好東西
[00:00:50.000 --> 00:00:52.000]  好東西放在哪裡呢
[00:00:52.000 --> 00:00:54.000]  每個人的焦點不同
[00:00:54.000 --> 00:00:56.000]  但是
[00:00:56.000 --> 00:00:58.000]  經文裡面要提醒我們一個什麼訊息呢
[00:00:58.000 --> 00:01:00.000]  我選了路加福音第八章
[00:01:00.000 --> 00:01:02.000]  一至三節經文
[00:01:02.000 --> 00:01:04.000]  比較少的經文
[00:01:04.000 --> 00:01:06.000]  了解一下那段經文
[00:01:06.000 --> 00:01:08.000]  好
[00:01:08.000 --> 00:01:10.000]  一起讀
[00:01:10.000 --> 00:01:12.000]  三節 請
[00:01:12.000 --> 00:01:14.000]  好 謝謝
[00:01:14.000 --> 00:01:16.000]  三節經文裡面
[00:01:16.000 --> 00:01:18.000]  怎樣帶出好呢
[00:01:18.000 --> 00:01:20.000]  不知道大家對於路加福音的
[00:01:20.000 --> 00:01:22.000]  感受或者理解是怎樣
[00:01:22.000 --> 00:01:24.000]  我自己是比較喜歡
