
[00:00:00.000 --> 00:00:03.000]  (麥克風聲)
[00:00:03.000 --> 00:00:04.000]  沒有
[00:00:04.000 --> 00:00:07.400]  我現在主要在麥克風中服侍
[00:00:07.400 --> 00:00:08.800]  和在爆谷小園團
[00:00:08.800 --> 00:00:11.800]  也有一些一起服侍的大兄姊妹
[00:00:11.800 --> 00:00:14.400]  服侍的大兄姊妹可以一起跟我揮揮手
[00:00:14.400 --> 00:00:15.800]  去相認一下
[00:00:15.800 --> 00:00:16.800]  看到了
[00:00:16.800 --> 00:00:23.000]  今天我們在說經文之前
[00:00:23.000 --> 00:00:24.200]  再重提一下
[00:00:24.200 --> 00:00:27.400]  我們今個月題是過關
[00:00:28.400 --> 00:00:30.400]  過關對我們每一個人來說
[00:00:30.400 --> 00:00:32.400]  都是很不陌生的事
[00:00:32.400 --> 00:00:35.400]  因為我們每一個人都正在面對
[00:00:35.400 --> 00:00:39.400]  面對過很多不同的大大小小的關口
[00:00:39.400 --> 00:00:42.400]  有些關口我們是一個人去經歷
[00:00:42.400 --> 00:00:46.400]  有些關口我們是一群人一起去經歷
[00:00:46.400 --> 00:00:49.400]  廣義這樣說
[00:00:49.400 --> 00:00:51.400]  我們不同的成長階段
[00:00:51.400 --> 00:00:53.800]  都有很多不同的人生關口要過
[00:00:53.800 --> 00:00:59.800]  例如讀書、找工作、拍拖、結婚、生孩子
[00:00:59.800 --> 00:01:03.800]  有病、中年危機等關口
[00:01:03.800 --> 00:01:05.800]  但狹義地說
[00:01:05.800 --> 00:01:09.800]  我們過關跟日常生活息息相關
[00:01:09.800 --> 00:01:13.800]  每一天我們都會面對一些很棘手的人
[00:01:13.800 --> 00:01:15.800]  事、物
[00:01:15.800 --> 00:01:18.800]  可能你腦裡也有些少聯想
[00:01:18.800 --> 00:01:22.800]  可能是那些快要到期限的功課
[00:01:22.800 --> 00:01:23.800]  工作
[00:01:23.800 --> 00:01:26.800]  或者是平時上班的時候
[00:01:26.800 --> 00:01:29.800]  總會遇到要跟他相處
[00:01:29.800 --> 00:01:32.800]  但又不容易相處的人
[00:01:32.800 --> 00:01:35.800]  又或者你打打機
