
[00:00:00.000 --> 00:00:05.000]  今天我要跟大家講一個人生道理
[00:00:05.000 --> 00:00:09.000]  人生
[00:00:09.000 --> 00:00:19.000]  就像一杯水一樣
[00:00:19.000 --> 00:00:23.000]  大家看看,大家留意一下
[00:00:23.000 --> 00:00:25.000]  沒錯,是半杯水
[00:00:26.000 --> 00:00:32.000]  悲觀的人可能會說,哎呀,不判他一杯水
[00:00:32.000 --> 00:00:38.000]  不過樂觀的人可以說,哇,還有半杯水
[00:00:38.000 --> 00:00:45.000]  所以悲觀還是樂觀,在培源你,如何決定,Amen?
[00:00:52.000 --> 00:00:56.000]  從前有個婆婆,麻煩放音樂
[00:00:56.000 --> 00:01:05.000]  從前有個婆婆,終日都愁眉苦臉
[00:01:05.000 --> 00:01:13.000]  因為她有兩個兒子,大兒子是賣傘的,小兒子是賣草鞋的
[00:01:14.000 --> 00:01:22.000]  婆婆每次在晴天的時候都很擔心大兒子賣傘賣不出去
[00:01:22.000 --> 00:01:30.000]  不過到了陰天的時候,她很擔心小兒子的草鞋賣不出去
[00:01:30.000 --> 00:01:37.000]  正所謂人生不如是事,十常八有
[00:01:38.000 --> 00:01:46.000]  塞翁失馬,燕字飛覆,小小苦楚等於激勵
[00:01:46.000 --> 00:01:52.000]  常見到人生像演戲
[00:01:52.000 --> 00:02:00.000]  路是難走,但比起十家路,我今天又算有甚麼呢?
[00:02:00.000 --> 00:02:04.000]  是不是很啟發呢?
[00:02:05.000 --> 00:02:08.000]  OK,玩完了,麻煩給我吃
[00:02:08.000 --> 00:02:16.000]  其實我今天都想說一些很lame的東西,想開始一個這樣的開場
[00:02:16.000 --> 00:02:22.000]  今天的主題是飲水,這個主題是我改的,我都解解話
[00:02:22.000 --> 00:02:27.000]  飲水這個題目是甚麼意思呢?其實有很多意思
[00:02:28.000 --> 00:02:35.000]  不過都想大家在一些細微的事情裏面保持照顧自己
[00:02:35.000 --> 00:02:40.000]  大家有沒有飲足夠的水?
[00:02:40.000 --> 00:02:46.000]  大家不要叫媽媽提醒,記得要飲水
[00:02:46.000 --> 00:02:53.000]  今天我們就說一些以色列的書
[00:02:54.000 --> 00:02:58.000]  以色列的書我以前在Fortress裏面說過
[00:02:58.000 --> 00:03:04.000]  大家記不記得上年11月的時候我們說過一篇回魂的續集
[00:03:04.000 --> 00:03:10.000]  回魂的續集,我們都是說以色列書第37章的經文
[00:03:10.000 --> 00:03:15.000]  就是說以色列和這班骸骨復活的經文
[00:03:15.000 --> 00:03:19.000]  今天我們就會說以色列書第4章的經文
[00:03:19.000 --> 00:03:23.000]  正如我從前對這本書說
[00:03:23.000 --> 00:03:30.000]  以色列書前半部分其實是以耶路撒冷滅亡作為背景
[00:03:30.000 --> 00:03:35.000]  說過The city is dying,耶路撒冷的滅亡是一個進行式的事情
[00:03:35.000 --> 00:03:42.000]  就是亡國、被擄、圍城、毀滅是一個很漫長的分階段的事情
[00:03:42.000 --> 00:03:46.000]  以色列是第一批被擄的以色列人
[00:03:46.000 --> 00:03:51.000]  當他們被擄之後,其實耶路撒冷還沒有完全滅亡
[00:03:52.000 --> 00:03:54.000]  是一個很漫長的過程
[00:03:54.000 --> 00:03:59.000]  整本書的前半部分,由第4章開始
[00:03:59.000 --> 00:04:06.000]  以色列就不斷地預言、警告、表達出耶路撒冷將要滅亡的慘劇
[00:04:06.000 --> 00:04:10.000]  直到第33章,其實是很長很長的經文
[00:04:10.000 --> 00:04:16.000]  第一章說到第33章才真正的說整個城市被毀滅
