
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹 各位朋友
[00:00:03.000 --> 00:00:07.000]  近處的 遠處的 都願你平安
[00:00:07.000 --> 00:00:10.000]  我們都知道平安不是必然的
[00:00:10.000 --> 00:00:13.000]  所以我們除了要繼續為香港祈禱之外
[00:00:13.000 --> 00:00:19.000]  也要繼續紀念在其他地方都失去了自由和平安的人
[00:00:19.000 --> 00:00:21.000]  願主憐憫
[00:00:21.000 --> 00:00:26.000]  烏克蘭被俄羅斯侵略了已經差不多三個月了
[00:00:26.000 --> 00:00:32.000]  本來想著強欲懸殊那種一面倒的情況都不似預期
[00:00:32.000 --> 00:00:35.000]  如果可以早些停止這場戰爭
[00:00:35.000 --> 00:00:39.000]  減少人命傷亡 減低財物損失
[00:00:39.000 --> 00:00:40.000]  那就好了
[00:00:40.000 --> 00:00:45.000]  不過都要看看結束戰爭的方式是什麼
[00:00:45.000 --> 00:00:49.000]  因為通常強勢那邊是會欺壓弱勢那邊的
[00:00:49.000 --> 00:00:51.000]  去被人妥協
[00:00:51.000 --> 00:00:54.000]  要人同意各樣土地權利資源
[00:00:54.000 --> 00:00:56.000]  人家拒絕的話
[00:00:56.000 --> 00:01:00.000]  就會批評他不合作 搞亂秩序
[00:01:00.000 --> 00:01:03.000]  這些人把事情反過來說
[00:01:03.000 --> 00:01:07.000]  稍為有常識的人除了激氣 仍是激氣
[00:01:07.000 --> 00:01:09.000]  一個人有情緒的話
[00:01:09.000 --> 00:01:11.000]  有時並不是因為他不理性
[00:01:11.000 --> 00:01:13.000]  而是因為正正有見識 有常識
[00:01:13.000 --> 00:01:17.000]  才會察覺到有問題 才會激氣
[00:01:17.000 --> 00:01:19.000]  所以從這個角度來看
[00:01:19.000 --> 00:01:21.000]  我們心裏面還有一團火的話
[00:01:21.000 --> 00:01:23.000]  是好事來的
[00:01:23.000 --> 00:01:25.000]  總比做一條鹹魚好
[00:01:25.000 --> 00:01:28.000]  有些有用心的人
[00:01:28.000 --> 00:01:30.000]  其實他明明不講道理
[00:01:30.000 --> 00:01:32.000]  還裝理性地回歸理性
[00:01:32.000 --> 00:01:35.000]  你就知道他是什麼樣子
[00:01:35.000 --> 00:01:38.000]  其實這些權力的角力
[00:01:38.000 --> 00:01:39.000]  在日常生活裏面
[00:01:39.000 --> 00:01:41.000]  在公司 在學校 在家裏
[00:01:41.000 --> 00:01:42.000]  甚至在教會裏面
[00:01:42.000 --> 00:01:44.000]  你都可能似曾相識
[00:01:44.000 --> 00:01:46.000]  誰強 誰弱
[00:01:46.000 --> 00:01:49.000]  有時並不是看他有沒有道理
[00:01:49.000 --> 00:01:54.000]  而是很視乎人數支持或反對那邊
[00:01:54.000 --> 00:01:55.000]  多人一點
[00:01:55.000 --> 00:01:58.000]  看哪邊的聲音大一點 惡一點
[00:01:58.000 --> 00:01:59.000]  至於誰有話事權
[00:01:59.000 --> 00:02:01.000]  都是一些關鍵
[00:02:01.000 --> 00:02:03.000]  通常沒有權就沒有 say
[00:02:03.000 --> 00:02:05.000]  少數服從多數
[00:02:05.000 --> 00:02:08.000]  就算多數服從少數也好
[00:02:08.000 --> 00:02:11.000]  都難免信得過情 失數易
[00:02:11.000 --> 00:02:14.000]  很難每個人都滿意
[00:02:14.000 --> 00:02:17.000]  如果想擁抱 其實談何容易
[00:02:17.000 --> 00:02:19.000]  即使大家關係很好
[00:02:19.000 --> 00:02:21.000]  見面的時候擁抱這些畫面
[00:02:21.000 --> 00:02:25.000]  在華人的文化都不常見
[00:02:25.000 --> 00:02:29.000]  但其實很多人都很想有
[00:02:29.000 --> 00:02:32.000]  包括我的小組組員都分享過
[00:02:32.000 --> 00:02:35.000]  不過他說覺得不好意思有點尷尬
[00:02:35.000 --> 00:02:36.000]  其實我也是的
[00:02:36.000 --> 00:02:38.000]  想 但又縮
[00:02:38.000 --> 00:02:40.000]  如果關係不太好
[00:02:40.000 --> 00:02:42.000]  有些事談不攏
[00:02:42.000 --> 00:02:46.000]  可能連眼神都想避開對方
[00:02:46.000 --> 00:02:48.000]  不想理會
[00:02:48.000 --> 00:02:50.000]  但就說人家不理會你
[00:02:50.000 --> 00:02:52.000]  沒風度沒禮貌
[00:02:52.000 --> 00:02:53.000]  跟你打招呼的話
[00:02:53.000 --> 00:02:55.000]  又說人家虛偽
[00:02:55.000 --> 00:02:57.000]  即使我贏你輸
[00:02:57.000 --> 00:02:59.000]  你都說了 很難搞的
[00:02:59.000 --> 00:03:01.000]  其實日光之下真的沒什麼新事
[00:03:01.000 --> 00:03:02.000]  羅馬教會
[00:03:02.000 --> 00:03:05.000]  在羅馬教會內部都有很大的分歧
[00:03:05.000 --> 00:03:07.000]  還炒得很激烈
[00:03:07.000 --> 00:03:10.000]  有人認為有些事觸碰到信仰的紅線
[00:03:10.000 --> 00:03:13.000]  不可以越位
[00:03:13.000 --> 00:03:15.000]  但有人就覺得是綠燈
[00:03:15.000 --> 00:03:16.000]  明明可以越位
[00:03:16.000 --> 00:03:18.000]  你不越位
[00:03:18.000 --> 00:03:21.000]  為什麼連人家想越位你都不讓人家越位
