
[00:00:00.000 --> 00:00:05.600]  感謝神,劉堂踏入七週年
[00:00:05.600 --> 00:00:11.000]  為你們踏入七週年,而不需要去堂慶聚餐感恩
[00:00:11.000 --> 00:00:15.000]  保持住,很難得
[00:00:15.000 --> 00:00:23.000]  今天選了一段經文是關於上帝由一個人去創造一個群體的經文
[00:00:23.000 --> 00:00:29.000]  我希望透過這段經文和大家一起去蒙受一份祝福
[00:00:29.000 --> 00:00:37.000]  就是我們如何在不好中活得出看得見上帝的好
[00:00:37.000 --> 00:00:42.000]  特別是在這個群體裏,在一個上帝創立的群體裏
[00:00:42.000 --> 00:00:49.000]  我們如何在很多不好中活得出這份神看為好的好
[00:00:49.000 --> 00:00:55.000]  我們今天會透過一段大家可能在婚禮上聽到的經文
[00:00:55.000 --> 00:00:59.000]  就是《聖經》第2章18-22節
[00:00:59.000 --> 00:01:02.000]  神第一次說「那人獨居不好」
[00:01:02.000 --> 00:01:05.000]  我們就透過這段經文先去想一想
[00:01:05.000 --> 00:01:11.000]  究竟在神的心裏面,祂認為的好是一種甚麼的好
[00:01:11.000 --> 00:01:15.000]  如果大家看到螢光幕,我們先讀出經文
[00:01:15.000 --> 00:01:17.000]  預備,起
[00:01:17.000 --> 00:01:21.000]  相信這段是我們常在婚禮裏面看見的經文
[00:01:21.000 --> 00:01:26.000]  今天我想從另一個角度去理解這段經文
[00:01:26.000 --> 00:01:31.000]  就是神如何由一個人去創造一個群體
[00:01:31.000 --> 00:01:38.000]  我們先會在第一部份了解神究竟如何由不好變為好
[00:01:38.000 --> 00:01:45.000]  2章18節去說神第一次創造世界的時候
[00:01:45.000 --> 00:01:47.000]  每一樣東西都說好的
[00:01:47.000 --> 00:01:51.000]  但直至做了阿當之後,就說了第一次
[00:01:51.000 --> 00:01:53.000]  「那人獨居不好」
[00:01:53.000 --> 00:01:59.000]  我們不要想像獨居老人那種孤單,獨居不好
[00:01:59.000 --> 00:02:02.000]  這只是一個很客觀的表達
[00:02:02.000 --> 00:02:06.000]  只是只有一個人
[00:02:06.000 --> 00:02:11.000]  而不好的意思是不完整,未夠完整
[00:02:11.000 --> 00:02:16.000]  就好像創造了天空,但欠缺了飛鳥一樣
[00:02:16.000 --> 00:02:18.000]  未夠完整
[00:02:18.000 --> 00:02:23.000]  所以這句說話只是只有一個人,未夠完整的意思
[00:02:23.000 --> 00:02:25.000]  我們先停一停
[00:02:25.000 --> 00:02:30.000]  我們去想,很多時候我們見到神說不好
[00:02:30.000 --> 00:02:33.000]  第一個感覺就是上帝有欠缺
[00:02:33.000 --> 00:02:37.000]  好像做得未夠,好像有些甩漏一樣
[00:02:37.000 --> 00:02:43.000]  因為很多時候我們當上帝的創造是工廠老闆
[00:02:43.000 --> 00:02:47.000]  即是做了出來,見到那件貨不好
[00:02:47.000 --> 00:02:50.000]  我們從這個角度去理解
[00:02:50.000 --> 00:02:52.000]  但我們認真去想
[00:02:52.000 --> 00:02:54.000]  上帝不是一個工廠老闆
