
[00:00:00.000 --> 00:00:04.640]  上一次講道的時候,剛剛下了八號風球
[00:00:04.640 --> 00:00:08.440]  然後我們又經過水災
[00:00:08.440 --> 00:00:10.200]  明天又不知道會不會打風
[00:00:10.200 --> 00:00:12.200]  明天應該也會有八號的
[00:00:12.200 --> 00:00:16.600]  (笑聲)
[00:00:16.600 --> 00:00:19.000]  那就……
[00:00:19.000 --> 00:00:20.840]  是啊,很掛念大家
[00:00:20.840 --> 00:00:23.240]  剛才聽大家敬拜的時候
[00:00:23.240 --> 00:00:26.040]  我覺得很感動
[00:00:26.040 --> 00:00:28.600]  因為好像一個小朋友的聲音
[00:00:28.600 --> 00:00:32.240]  突然間覺得是否合唱團來了
[00:00:32.240 --> 00:00:34.840]  我們一起很開心地來敬拜
[00:00:34.840 --> 00:00:37.640]  特別今天唱一些舊的詩歌
[00:00:37.640 --> 00:00:41.560]  大家會更加開心
[00:00:41.560 --> 00:00:45.240]  我們今天講道
[00:00:45.240 --> 00:00:48.440]  也知道每次講道的時候
[00:00:48.440 --> 00:00:52.040]  都要展示自己拍攝的照片給大家看
[00:00:52.040 --> 00:00:52.760]  是不是?
[00:00:52.760 --> 00:00:55.440]  那我展示給你們看
[00:00:55.440 --> 00:00:57.840]  (笑聲)
[00:00:57.840 --> 00:00:59.760]  我以前曾經出過這種照片
[00:00:59.760 --> 00:01:03.440]  我以前不能叫「上莊」
[00:01:03.440 --> 00:01:05.440]  因為那時候我不是叫「上莊」
[00:01:05.440 --> 00:01:07.440]  那時候是「侍奉」
[00:01:07.440 --> 00:01:13.360]  我是香港大學基督徒團契福音文歌報道小組的
[00:01:13.360 --> 00:01:17.520]  有沒有?有沒有港大的朋友?
[00:01:17.520 --> 00:01:21.200]  我們都是一個莊
[00:01:21.200 --> 00:01:24.080]  那時候我是做師太
[00:01:24.080 --> 00:01:28.280]  我發覺那時候一上大學就立即留長頭髮
[00:01:28.280 --> 00:01:30.840]  因為我已經束縛了很久
[00:01:30.840 --> 00:01:32.880]  我一直都想留長頭髮
[00:01:32.880 --> 00:01:38.080]  那時候也想吸收一下自由的空氣
[00:01:38.080 --> 00:01:40.920]  所以就很辛苦地留了長頭髮
[00:01:40.920 --> 00:01:44.080]  然後發覺長頭髮的朋友都很難在教會生存
[00:01:44.080 --> 00:01:45.760]  特別後來我做了傳道人
