
[00:00:00.000 --> 00:00:05.240]  今天是2022年的第365日
[00:00:05.240 --> 00:00:07.680]  很開心可以和大家一起度過
[00:00:07.680 --> 00:00:12.920]  終於到我這個外向型的目者跟大家講道
[00:00:12.920 --> 00:00:17.480]  Flowchart實在有很多內向型的目者
[00:00:17.480 --> 00:00:19.000]  有些人說歡呼
[00:00:19.000 --> 00:00:21.800]  呼呼給上帝
[00:00:21.800 --> 00:00:23.680]  因為創造實在太奇妙
[00:00:23.680 --> 00:00:25.400]  又內又外
[00:00:25.400 --> 00:00:27.840]  很開心和大家度過
[00:00:27.840 --> 00:00:31.600]  其實對於我來說哪一天和大家敬拜都這麼開心
[00:00:31.600 --> 00:00:33.520]  因為我最喜歡人多
[00:00:33.520 --> 00:00:35.360]  今天很特別
[00:00:35.360 --> 00:00:38.800]  在社交媒體大家都會看到
[00:00:38.800 --> 00:00:40.880]  大家不斷在回顧
[00:00:40.880 --> 00:00:43.720]  好像人生快要終結一樣
[00:00:43.720 --> 00:00:45.440]  做了一個小總結
[00:00:45.440 --> 00:00:48.880]  我發現人家的人生這麼豐富
[00:00:48.880 --> 00:00:50.040]  有十幾點
[00:00:50.040 --> 00:00:52.960]  我怎麼想都不太想到
[00:00:52.960 --> 00:00:57.320]  因為我通常想的都只能夠在那一個月
[00:00:57.320 --> 00:00:59.640]  回顧過去一年
[00:00:59.640 --> 00:01:03.280]  不知道在你腦海裡剩下什麼
[00:01:03.280 --> 00:01:07.120]  剩下的通常都是比較重要的人事物
[00:01:07.120 --> 00:01:10.920]  你又猜猜我的腦充滿什麼
[00:01:10.920 --> 00:01:13.240]  可能我的組員會比較知道
[00:01:13.240 --> 00:01:15.040]  我的兒子
[00:01:15.040 --> 00:01:17.880]  我的兒子也適合一半
[00:01:17.880 --> 00:01:19.360]  一半是兒子
[00:01:19.360 --> 00:01:23.320]  一半都是上帝的創造
[00:01:24.120 --> 00:01:27.120]  都是人類
[00:01:27.120 --> 00:01:31.800]  一個又一個和人一起的飯局
[00:01:31.800 --> 00:01:35.640]  有些飯局我們會很想去
[00:01:35.640 --> 00:01:37.240]  但有些就相反
[00:01:37.240 --> 00:01:40.200]  例如公司某些
[00:01:40.200 --> 00:01:43.480]  慶幸大部分我今年出席的飯局
[00:01:43.480 --> 00:01:46.240]  都是開開心心地去
[00:01:46.240 --> 00:01:47.400]  過節
[00:01:47.400 --> 00:01:49.520]  farewell farewell再farewell
[00:01:49.520 --> 00:01:50.320]  去喝酒
[00:01:50.320 --> 00:01:51.040]  小組
[00:01:51.040 --> 00:01:51.760]  舊同學
[00:01:51.760 --> 00:01:54.120]  街坊聚會等等
