
[00:00:00.000 --> 00:00:04.000]  接着我們會看今天的經文
[00:00:04.000 --> 00:00:12.000]  經文是在《耳獅帖記》4章1-17節
[00:00:12.000 --> 00:00:19.000]  「沒抵改知道所做的這一切事
[00:00:19.000 --> 00:00:24.000]  就撕裂衣服穿麻衣蒙灰塵
[00:00:24.000 --> 00:00:29.000]  在城中行走痛哭哀嚎
[00:00:29.000 --> 00:00:32.000]  到了朝門前停住腳步
[00:00:32.000 --> 00:00:36.000]  因為穿麻衣的人不可進朝門
[00:00:36.000 --> 00:00:40.000]  王的御子所到的各省各處
[00:00:40.000 --> 00:00:43.000]  有大人大大悲哀
[00:00:43.000 --> 00:00:46.000]  禁食哭泣哀嚎
[00:00:46.000 --> 00:00:49.000]  穿麻衣躺在灰中的甚多
[00:00:49.000 --> 00:00:56.000]  皇后耳獅帖的宮女和太監來把者事告訴耳獅帖
[00:00:56.000 --> 00:00:59.000]  她甚是憂愁
[00:00:59.000 --> 00:01:02.000]  就送衣服給沒抵改穿
[00:01:02.000 --> 00:01:04.000]  要她脫下麻衣
[00:01:04.000 --> 00:01:06.000]  她卻不受
[00:01:06.000 --> 00:01:11.000]  耳獅帖就把王所派侍候她的一個太監
[00:01:11.000 --> 00:01:15.000]  名叫哈他格召來
[00:01:15.000 --> 00:01:17.000]  吩咐她去見沒抵改
[00:01:17.000 --> 00:01:19.000]  要知道這是什麼事
[00:01:19.000 --> 00:01:21.000]  是什麼緣故
[00:01:21.000 --> 00:01:25.000]  於是哈他格出到朝門前
[00:01:25.000 --> 00:01:29.000]  寬闊處見沒抵改
[00:01:29.000 --> 00:01:32.000]  沒抵改將自己所遇的事
[00:01:32.000 --> 00:01:35.000]  並哈萬惠滅絕由大人應許
[00:01:35.000 --> 00:01:40.000]  捐入王庫的銀數都告訴了他
[00:01:40.000 --> 00:01:42.000]  又將所抄寫
[00:01:42.000 --> 00:01:46.000]  全篇書三成要滅絕由大人的旨意
[00:01:46.000 --> 00:01:49.000]  交給哈他格
[00:01:49.000 --> 00:01:51.000]  要給耳獅帖看
[00:01:51.000 --> 00:01:53.000]  又要給他說明
[00:01:53.000 --> 00:01:55.000]  並吩咐他進去見王
[00:01:55.000 --> 00:02:01.000]  為本族的人在王面前懇切祈求
[00:02:01.000 --> 00:02:03.000]  哈他格回來
[00:02:03.000 --> 00:02:06.000]  將沒抵改的話告訴耳獅帖
[00:02:06.000 --> 00:02:12.000]  耳獅帖就吩咐哈他格去見沒抵改
[00:02:12.000 --> 00:02:19.000]  說:王的一切神僕和各省的人民都知道有一個定例
[00:02:19.000 --> 00:02:23.000]  若不蒙召善入內院見王的
[00:02:23.000 --> 00:02:26.000]  無論男女必被致死
[00:02:26.000 --> 00:02:31.000]  除非王向他伸出金杖不得存活
[00:02:31.000 --> 00:02:37.000]  現在我沒有蒙召進去見王已經有三十日了
[00:02:37.000 --> 00:02:41.000]  人就把耳獅帖者話告訴沒抵改
[00:02:41.000 --> 00:02:44.000]  沒抵改託人回覆
[00:02:44.000 --> 00:02:47.000]  回覆耳獅帖說
[00:02:47.000 --> 00:02:52.000]  你莫想在王宮裡強過一切猶大人
[00:02:52.000 --> 00:02:54.000]  得命者和
[00:02:54.000 --> 00:02:56.000]  此時你若閉口不言
[00:02:56.000 --> 00:03:00.000]  猶大人必從別處得解脫
[00:03:00.000 --> 00:03:01.000]  蒙請救
[00:03:01.000 --> 00:03:04.000]  你和你父家必自滅亡
[00:03:04.000 --> 00:03:08.000]  見知你得了王后的位分
[00:03:08.000 --> 00:03:11.000]  不是為現今的機會嗎?
[00:03:11.000 --> 00:03:16.000]  耳獅帖就吩咐人回報沒抵改
[00:03:16.000 --> 00:03:21.000]  說你當去焦聚書山城所有的猶大人
[00:03:21.000 --> 00:03:24.000]  為我禁食三奏三夜
[00:03:24.000 --> 00:03:26.000]  不吃不喝
[00:03:26.000 --> 00:03:29.000]  我和我的宮女也要這樣禁食
[00:03:29.000 --> 00:03:32.000]  然後我違例進去見王
[00:03:32.000 --> 00:03:35.000]  我若死就死吧
[00:03:35.000 --> 00:03:42.000]  於是沒抵改照耳獅帖一切所吩咐的去行
[00:03:42.000 --> 00:03:51.000]  (音樂)
[00:03:51.000 --> 00:03:53.000]  各位頂姐妹好
[00:03:53.000 --> 00:03:58.000]  今個月Fold Church的月題是重整
[00:03:58.000 --> 00:04:03.000]  我自己很喜歡小編對這個主題所寫的幾句說話
[00:04:03.000 --> 00:04:07.000]  他說重整意味著重新整理
[00:04:07.000 --> 00:04:09.000]  重新擺位
[00:04:09.000 --> 00:04:13.000]  重整不一定需要有新的事情
[00:04:13.000 --> 00:04:16.000]  亦不依靠外來的改變
[00:04:16.000 --> 00:04:19.000]  或許沒有好事發生
[00:04:19.000 --> 00:04:22.000]  舊有的壞事依舊存在
[00:04:22.000 --> 00:04:27.000]  不過重整卻是內裡的更新
[00:04:27.000 --> 00:04:31.000]  今天很想藉著耳獅帖的四章1至17節的經文
[00:04:31.000 --> 00:04:36.000]  我們看看耳獅帖的心態重整的因素是甚麼
[00:04:36.000 --> 00:04:40.000]  看看它對於現在的我們有甚麼啟迪
[00:04:40.000 --> 00:04:43.000]  不過在要講這段經文之前
[00:04:43.000 --> 00:04:49.000]  要首先對耳獅帖的敘事背景有些簡略的講解
