
[00:00:00.000 --> 00:00:03.000]  Floor Church 弟兄姊妹平安
[00:00:03.000 --> 00:00:06.000]  參加了Outflow Mission
[00:00:06.000 --> 00:00:08.000]  已經開始了一起聚會的
[00:00:08.000 --> 00:00:14.000]  在倫敦、曼城、溫哥華和悉尼的弟兄姊妹都與你平安
[00:00:14.000 --> 00:00:17.000]  參加了Outflow Mission
[00:00:17.000 --> 00:00:20.000]  正在等候目者一起起步
[00:00:20.000 --> 00:00:22.000]  去建立一個同行群體的
[00:00:22.000 --> 00:00:27.000]  在Melbourne、在多倫多、在Birmingham的弟兄姊妹
[00:00:27.000 --> 00:00:29.000]  你們都平安
[00:00:29.000 --> 00:00:34.000]  很開心可以與大家一起在這裡敬拜、讚美神
[00:00:34.000 --> 00:00:37.000]  一起思考神的話語
[00:00:37.000 --> 00:00:40.000]  時間過得很快
[00:00:40.000 --> 00:00:45.000]  不知不覺又到了這次迎新月題的最後一講
[00:00:45.000 --> 00:00:49.000]  我今天在這裡預備了一篇人物的講道
[00:00:49.000 --> 00:00:51.000]  與弟兄姊妹分享
[00:00:51.000 --> 00:00:55.000]  這次分享的人物裡
[00:00:55.000 --> 00:00:57.000]  總共有七千人
[00:00:57.000 --> 00:01:02.000]  選擇他們的原因不是因為他們人多勢眾
[00:01:02.000 --> 00:01:05.000]  也不是因為他們有什麼豐功偉績
[00:01:05.000 --> 00:01:10.000]  更加不是因為他們有什麼型男索女
[00:01:10.000 --> 00:01:14.000]  他們都沒有行過什麼神跡騎士
[00:01:14.000 --> 00:01:17.000]  相反,我選擇他們的原因
[00:01:17.000 --> 00:01:21.000]  正正因為他們和我們一樣平凡
[00:01:21.000 --> 00:01:26.000]  不過,在我密上他們有關的經文裡
[00:01:26.000 --> 00:01:32.000]  我發覺這群平凡的人有一個很特別的地方
[00:01:32.000 --> 00:01:39.000]  原來這群人和我們相隔二、三千年的人
[00:01:39.000 --> 00:01:47.000]  他們在當時的社會環境、生活經歷、生命挑戰和掙扎
[00:01:47.000 --> 00:01:52.000]  都和我們這群平凡的人很相似
[00:01:52.000 --> 00:01:55.000]  所以我很想透過他們的經歷
[00:01:55.000 --> 00:01:57.000]  他們走過的路
[00:01:57.000 --> 00:01:59.000]  借骨鑒金
[00:01:59.000 --> 00:02:04.000]  希望可以在我們這個充滿無力感的社會裡
[00:02:04.000 --> 00:02:08.000]  世代裡找到一絲方向和出路
[00:02:08.000 --> 00:02:11.000]  所以在分享之前
[00:02:11.000 --> 00:02:14.000]  我很想邀請弟兄姊妹和我一起讀出
[00:02:14.000 --> 00:02:17.000]  今天的講道經文
[00:02:17.000 --> 00:02:24.000]  今天的經文是在聶王記上的十九章九至十八節
[00:02:24.000 --> 00:02:27.000]  麻煩大家PowerPoint
[00:02:27.000 --> 00:02:32.000]  好,我們一起看
[00:02:32.000 --> 00:02:37.000]  他在那裡進了一個洞,就住在洞中
[00:02:37.000 --> 00:02:40.000]  耶和華的華臨到他說
[00:02:40.000 --> 00:02:44.000]  伊利亞,你在這裡作什麼?
[00:02:44.000 --> 00:02:49.000]  他說:我為耶和華盲君之臣大發熱心
[00:02:49.000 --> 00:02:54.000]  因為以色列人背棄了你的約,毀壞了你的壇
