
[00:00:00.000 --> 00:00:02.000]  頂紫梅晚安
[00:00:02.000 --> 00:00:05.000]  不知道為甚麼今天大家會回來呢
[00:00:05.000 --> 00:00:09.000]  這個也是我很奇妙的問題
[00:00:09.000 --> 00:00:13.000]  不知道今天有沒有人是成雙成對回來的呢
[00:00:13.000 --> 00:00:15.000]  不用舉手了
[00:00:15.000 --> 00:00:21.000]  感恩有雙有對的人
[00:00:21.000 --> 00:00:25.000]  也感謝沒有雙沒有對的人都在
[00:00:25.000 --> 00:00:29.000]  我也知道今天Full Church有頂紫梅是今天求婚的
[00:00:29.000 --> 00:00:33.000]  不過他們今天不在
[00:00:33.000 --> 00:00:37.000]  很不適合他們
[00:00:37.000 --> 00:00:41.000]  所以希望無論你今天怎樣過也好
[00:00:41.000 --> 00:00:45.000]  其實還有幾個小時就過完了
[00:00:45.000 --> 00:00:49.000]  堅持到底必然得救
[00:00:49.000 --> 00:00:53.000]  我們今天說一段很toxic的關係
[00:00:53.000 --> 00:00:59.000]  這段經文是《創世紀》三十八章
[00:00:59.000 --> 00:01:02.000]  這個問題是問甚麼呢
[00:01:02.000 --> 00:01:04.000]  《創世紀》三十八章是說
[00:01:04.000 --> 00:01:10.000]  猶大無端端跟他的媳婦行淫
[00:01:10.000 --> 00:01:14.000]  生了兩個小朋友
[00:01:14.000 --> 00:01:19.000]  其中一個將來已經成為了波亞斯的先祖
[00:01:19.000 --> 00:01:21.000]  成為了大衛的先祖
[00:01:21.000 --> 00:01:26.000]  所以無端端三十八章記載這件事是很奇怪的
[00:01:26.000 --> 00:01:31.000]  而最奇怪的是三十七章是約瑟被賣的故事
[00:01:31.000 --> 00:01:36.000]  而三十九章是說約瑟去到埃及的時候
[00:01:36.000 --> 00:01:40.000]  在波提佛的主母那裡被他陷害
[00:01:40.000 --> 00:01:44.000]  往後的事件都是在說約瑟的故事
[00:01:44.000 --> 00:01:47.000]  所以三十七章直到大約到尾聲的時候
[00:01:47.000 --> 00:01:49.000]  主題都是在說約瑟
[00:01:49.000 --> 00:01:51.000]  但奇怪的地方是
[00:01:51.000 --> 00:01:54.000]  不知為何在三十八章裡說了一件
[00:01:54.000 --> 00:01:56.000]  我猜測而已
[00:01:56.000 --> 00:02:00.000]  我猜測從來沒有人說過會說《創世紀》三十八章
[00:02:00.000 --> 00:02:02.000]  如果有的話請告訴我
[00:02:02.000 --> 00:02:04.000]  讓我欣賞他一下
[00:02:04.000 --> 00:02:06.000]  我都沒聽過
[00:02:06.000 --> 00:02:08.000]  因為這段經文是不知怎樣用
[00:02:08.000 --> 00:02:10.000]  又不知怎樣理解他
[00:02:10.000 --> 00:02:16.000]  如果你說他說猶大的故事
[00:02:16.000 --> 00:02:17.000]  突然說他沒問題
[00:02:17.000 --> 00:02:21.000]  但他剛好插在整個約瑟故事的中間
[00:02:21.000 --> 00:02:24.000]  為何不說三十七章到三十九章
[00:02:24.000 --> 00:02:27.000]  然後再往後補回這個故事呢
[00:02:27.000 --> 00:02:30.000]  為何要放在三十七章和三十九章的中間呢
[00:02:30.000 --> 00:02:34.000]  我們嘗試很快看看這個故事
[00:02:34.000 --> 00:02:36.000]  細了一點
[00:02:36.000 --> 00:02:38.000]  大家應該都可以
[00:02:38.000 --> 00:02:40.000]  我看得到
[00:02:41.000 --> 00:02:47.000]  那時猶大的離開
[00:02:47.000 --> 00:02:51.000]  弟兄們往下走
[00:02:51.000 --> 00:02:53.000]  都挺辛苦的
[00:02:53.000 --> 00:02:56.000]  串到一個叫阿道蘭人的地方
[00:02:56.000 --> 00:02:58.000]  叫希拉
[00:02:58.000 --> 00:03:01.000]  猶大的主角
[00:03:01.000 --> 00:03:03.000]  在那裡見到迦南人
[00:03:03.000 --> 00:03:04.000]  畢舒雅的女兒
[00:03:04.000 --> 00:03:06.000]  就娶了他和他交合
[00:03:06.000 --> 00:03:08.000]  很明顯他娶迦南人
[00:03:08.000 --> 00:03:09.000]  應該不應該這樣做
[00:03:09.000 --> 00:03:10.000]  但他這樣做
