
[00:00:00.000 --> 00:00:03.800]  今日有個特別嘅活動
[00:00:03.800 --> 00:00:10.180]  歡迎大家嚟到第1990屆基督徒學會諮詢大會
[00:00:10.180 --> 00:00:11.520]  畀啲掌聲隔離嗰個
[00:00:11.520 --> 00:00:14.200]  歡迎你哋各位出席呢個大會
[00:00:14.200 --> 00:00:17.000]  我哋嘅莊園真係好需要大家嘅支持
[00:00:17.000 --> 00:00:21.000]  我哋今屆嘅成員包括有ABCD
[00:00:21.000 --> 00:00:23.560]  之後大家就再慢慢認識
[00:00:23.560 --> 00:00:26.000]  佢哋嘅政綱係啲乜嘢呢
[00:00:26.000 --> 00:00:28.320]  佢哋今年嘅政綱好特別
[00:00:28.320 --> 00:00:30.800]  就係不要以惡報惡
[00:00:30.800 --> 00:00:34.000]  眾人以為美嘅事要留心去做
[00:00:34.000 --> 00:00:35.200]  我講咗咁多
[00:00:35.200 --> 00:00:39.720]  不如而家就請學會成員解說一下你哋政綱
[00:00:39.720 --> 00:00:40.720]  交畀你哋
[00:00:40.720 --> 00:00:42.400]  好得我哋
[00:00:42.400 --> 00:00:44.960]  好好testing
[00:00:44.960 --> 00:00:48.320]  解說一下你哋嘅政綱
[00:00:48.320 --> 00:00:51.600]  唔好意思呀
[00:00:51.600 --> 00:00:54.400]  我覺得呢唔使講㗎啦
[00:00:54.400 --> 00:00:58.480]  都講咗二千年
[00:00:58.480 --> 00:01:00.480]  不如講下啲新嘢
[00:01:00.480 --> 00:01:05.280]  我就覺得新同舊都唔係問題
[00:01:05.280 --> 00:01:08.280]  但係你哋嘅學會一時一樣咁樣
[00:01:08.280 --> 00:01:10.080]  一時又話要尊敬神
[00:01:10.080 --> 00:01:11.480]  一時又話迎合人
[00:01:11.480 --> 00:01:12.880]  好矛盾
[00:01:12.880 --> 00:01:13.880]  你哋覺得點
[00:01:13.880 --> 00:01:17.880]  其實我係想join你哋個級好耐
[00:01:17.880 --> 00:01:20.680]  上年嗰個迎新禮物
[00:01:20.680 --> 00:01:22.680]  神蹟大放送
[00:01:22.680 --> 00:01:25.080]  好鬼正好吸引
[00:01:25.080 --> 00:01:27.480]  今年可唔可以再送
