
[00:00:00.000 --> 00:00:02.720]  在開始聆聽上帝的話語之前
[00:00:02.720 --> 00:00:04.720]  我們一起禱告仰望主
[00:00:04.720 --> 00:00:07.520]  親愛的上主
[00:00:07.520 --> 00:00:09.520]  無論是在香港的我們
[00:00:09.520 --> 00:00:11.520]  或者是在遠方
[00:00:11.520 --> 00:00:13.880]  面對著戰爭烏克蘭的平民百姓
[00:00:13.880 --> 00:00:16.520]  我們都覺得很無奈 很乏力
[00:00:16.520 --> 00:00:19.520]  聖經這樣說
[00:00:19.520 --> 00:00:22.120]  他說有人靠車 有人靠馬
[00:00:22.120 --> 00:00:23.520]  但我們要提耶和華
[00:00:23.520 --> 00:00:25.520]  我們神的命
[00:00:25.520 --> 00:00:27.520]  他們都屈膝付賭
[00:00:27.520 --> 00:00:30.520]  我們卻站起來 堅立不移
[00:00:30.520 --> 00:00:33.520]  盼望詩人所的宣告
[00:00:33.520 --> 00:00:35.520]  都成為我們的宣告
[00:00:35.520 --> 00:00:37.520]  願主所憎惡的惡人
[00:00:37.520 --> 00:00:40.520]  願那些貪婪 充滿野心的極權
[00:00:40.520 --> 00:00:43.520]  能夠灰飛煙滅
[00:00:43.520 --> 00:00:49.520]  求主你也叫那些為你堅持到底的人
[00:00:49.520 --> 00:00:51.520]  將來可以在你面前
[00:00:51.520 --> 00:00:53.520]  能夠昂然地站立起來
[00:00:54.520 --> 00:00:57.520]  祈禱是奉耶穌基督的聖名字祈求
[00:00:57.520 --> 00:00:58.520]  阿們
[00:00:58.520 --> 00:01:04.520]  留堂的雙月題outflow
[00:01:04.520 --> 00:01:06.520]  去到最後一講
[00:01:06.520 --> 00:01:09.520]  很想以希伯來聖經中
[00:01:09.520 --> 00:01:11.520]  裏面一些流散的敘事
[00:01:11.520 --> 00:01:13.520]  去和大家宣講
[00:01:13.520 --> 00:01:16.520]  今天選了創世紀裏面
[00:01:16.520 --> 00:01:18.520]  虐室流散在外的經歷
[00:01:18.520 --> 00:01:21.520]  去和大家講
[00:01:21.520 --> 00:01:22.520]  不過值得留意的是
[00:01:22.520 --> 00:01:25.520]  虐室的流散和我們過往提及到的
[00:01:25.520 --> 00:01:28.520]  但爾利 以斯帖這些人有不同
[00:01:28.520 --> 00:01:32.520]  但爾利他們是因為國家面對外敵的入侵
[00:01:32.520 --> 00:01:36.520]  戰敗而被擄到其他地方
[00:01:36.520 --> 00:01:39.520]  他們面對著壓迫的管治
[00:01:39.520 --> 00:01:41.520]  但他們仍然運用智慧
[00:01:41.520 --> 00:01:44.520]  怎樣活出忠於耶和華的信仰
[00:01:44.520 --> 00:01:46.520]  但虐室的流散
[00:01:46.520 --> 00:01:50.520]  不是因為國家層面的原因
[00:01:50.520 --> 00:01:52.520]  而是因為他們家庭裏面
[00:01:52.520 --> 00:01:55.520]  有一些深層次的矛盾糾紛去造成
[00:01:55.520 --> 00:01:59.520]  以致令到他們同父異母的兄弟
[00:01:59.520 --> 00:02:01.520]  將他們賣到埃及
[00:02:01.520 --> 00:02:05.520]  透過創世紀37章至50章的敘事
[00:02:05.520 --> 00:02:10.520]  讓我們看到虐室在外地生活的種種經歷
[00:02:10.520 --> 00:02:14.520]  以及他們怎樣去踐行和持守
[00:02:14.520 --> 00:02:17.520]  他們自己固有的民族和信仰身份
[00:02:17.520 --> 00:02:20.520]  甚至在敘事中我們看到的是
[00:02:20.520 --> 00:02:23.520]  他最終成為了希伯來人的拯救
[00:02:23.520 --> 00:02:27.520]  我們看看當中對我們有什麼啟迪
[00:02:27.520 --> 00:02:33.520]  我們首先去看虐室被賣的原因和經過
[00:02:33.520 --> 00:02:37.520]  37章一開始讓我們看到的是
[00:02:37.520 --> 00:02:41.520]  虐室有一種性格就是為人很正直
[00:02:41.520 --> 00:02:43.520]  很剛直不阿
[00:02:43.520 --> 00:02:48.520]  第二節說他會將哥哥的惡行報給他的父親
[00:02:48.520 --> 00:02:53.520]  本來兄弟之間打小報告其實是一件很小的事
[00:02:53.520 --> 00:02:58.520]  不過前提是他爸爸偏愛虐室
[00:02:58.520 --> 00:03:00.520]  曾經在第三節告訴我們
[00:03:00.520 --> 00:03:04.520]  他曾經送了一件彩色的長袍給他
[00:03:04.520 --> 00:03:06.520]  這件長袍反映了什麼
[00:03:06.520 --> 00:03:09.520]  他將要在這個家庭做領導
[00:03:09.520 --> 00:03:15.520]  這兩件事加起來就足以引起哥哥對他的不滿和仇視
[00:03:15.520 --> 00:03:21.520]  再加上虐室有一種有那句說那句的性格
[00:03:21.520 --> 00:03:25.520]  他沒有留意到其實在男性的群體中間
[00:03:25.520 --> 00:03:29.520]  都可以有很多勾心鬥角的猜忌
[00:03:29.520 --> 00:03:36.520]  當他毫無保留地和他哥哥分享他所做的兩個夢的時候
[00:03:36.520 --> 00:03:42.520]  令到他們兄弟之間就產生了一個很嚴重的對立
[00:03:42.520 --> 00:03:47.520]  五節至到第十一節給我們看到的是
[00:03:47.520 --> 00:03:51.520]  這兩個夢可能從虐室來看
[00:03:51.520 --> 00:03:54.520]  其實只是上帝向他啟示
[00:03:54.520 --> 00:03:57.520]  他將來要攀升到一個高級
[00:03:57.520 --> 00:04:00.520]  他父母甚至兄弟一個領導的位置
[00:04:00.520 --> 00:04:06.520]  是上帝向虐室去啟示顯明他自己一個證據
[00:04:06.520 --> 00:04:11.520]  這個夢本身不是虐室自己的野心
[00:04:11.520 --> 00:04:15.520]  不過從兄弟的角度來看
[00:04:15.520 --> 00:04:22.520]  這些夢只是突顯了虐室既是雅各最寵愛的孩子
[00:04:22.520 --> 00:04:25.520]  並且不單止得到人的寵愛
[00:04:25.520 --> 00:04:28.520]  更加得到上帝的眷顧
[00:04:28.520 --> 00:04:32.520]  所以他們慢慢地不但恨
[00:04:32.520 --> 00:04:35.520]  下一章給我們看到的是
[00:04:35.520 --> 00:04:38.520]  經文告訴我們他們妒忌
[00:04:38.520 --> 00:04:40.520]  結果是怎樣呢
[00:04:40.520 --> 00:04:43.520]  在十九至二十節給我們看到的是
[00:04:43.520 --> 00:04:48.520]  虐室在他被他爸爸猜犯去找他哥哥的路上
[00:04:48.520 --> 00:04:53.520]  他哥哥於是合謀想伸手去殺了他
[00:04:53.520 --> 00:04:55.520]  原因說得很直白
[00:04:55.520 --> 00:04:58.520]  擔心虐室的夢境會成真
[00:04:58.520 --> 00:05:00.520]  他們怎樣稱呼他呢
