
[00:00:00.000 --> 00:00:04.480]  (麥美娟: 請問你對於「同工」的看法是怎樣的?)
[00:00:04.480 --> 00:00:06.680]  剛才我自己也很投入
[00:00:06.680 --> 00:00:09.600]  因為勁霸隊實在太肉緊了
[00:00:09.600 --> 00:00:12.480]  我自己也是一個經常很肉緊的人
[00:00:12.480 --> 00:00:15.280]  所以我的同工經常都很喜歡看我說話
[00:00:15.280 --> 00:00:17.480]  說話很肉緊 做事很肉緊
[00:00:17.480 --> 00:00:20.480]  我玩遊戲也很肉緊
[00:00:20.480 --> 00:00:22.880]  有些同工在搖頭
[00:00:22.880 --> 00:00:26.000]  我看到這個講題
[00:00:26.000 --> 00:00:31.560]  我想起一次跟牧者玩過一個類似狼人殺的桌遊
[00:00:31.560 --> 00:00:34.200]  有沒有人是未玩過的?
[00:00:34.200 --> 00:00:35.600]  狼人殺
[00:00:35.600 --> 00:00:37.000]  未玩過的 旁邊的人教一下他
[00:00:37.000 --> 00:00:38.600]  又未玩過
[00:00:38.600 --> 00:00:40.200]  一會兒找人教一下他
[00:00:40.200 --> 00:00:42.600]  類似是那些
[00:00:42.600 --> 00:00:45.000]  分好人和壞人的陣型
[00:00:45.000 --> 00:00:48.200]  有些人做壞人 有些人做好人
[00:00:48.200 --> 00:00:51.800]  在最緊張的時候
[00:00:51.800 --> 00:00:56.000]  那一次最緊張的時候有個警示出現了
[00:00:56.000 --> 00:01:01.400]  這個警示是從一位牧者的錶而來的
[00:01:01.400 --> 00:01:03.200]  他的錶響起
[00:01:03.200 --> 00:01:06.000]  就說「現在是九十分貝了」
[00:01:06.000 --> 00:01:08.800]  因為現場實在大家太肉緊了
[00:01:08.800 --> 00:01:11.800]  大家不斷在叫「是九十分貝」
[00:01:11.800 --> 00:01:17.000]  這九十分貝都主要來自他旁邊的那位牧者
[00:01:17.000 --> 00:01:20.000]  那位牧者就很肉緊地叫
[00:01:20.000 --> 00:01:22.200]  「他?一定是壞人啊」
[00:01:22.200 --> 00:01:25.400]  「你剛才看見他把尾巴挾起來嗎?」
[00:01:25.400 --> 00:01:28.000]  「喂!我們才是一隊的」
[00:01:28.000 --> 00:01:30.400]  「一隊啊」
[00:01:30.400 --> 00:01:33.400]  「你現在想揭穿我?不是吧?」
[00:01:33.400 --> 00:01:36.400]  「我剛才做過甚麼 你不是看不見我的吧?」
[00:01:36.400 --> 00:01:37.800]  「我是好人來的」
[00:01:37.800 --> 00:01:40.000]  「你相信我嗎?」
[00:01:40.000 --> 00:01:41.800]  「相信啊 有些人相信」
[00:01:41.800 --> 00:01:46.400]  但可惜那位叫到九十分貝的牧者
[00:01:46.400 --> 00:01:49.600]  也有人不相信他
[00:01:49.600 --> 00:01:52.400]  其實是…不要揭穿他了
[00:01:52.400 --> 00:01:55.200]  因為無論現實或遊戲
[00:01:55.200 --> 00:01:59.400]  很多時候都真假難辨
[00:01:59.400 --> 00:02:04.800]  今天我就帶大家參與一場宮廷版的狼人殺
[00:02:04.800 --> 00:02:06.400]  待會我們閉上眼
[00:02:06.400 --> 00:02:08.400]  不用怕的 閉上眼
[00:02:08.400 --> 00:02:10.000]  不用怕的
[00:02:10.000 --> 00:02:18.000]  閉上眼一起感受一下光明和黑暗的角力
[00:02:18.000 --> 00:02:21.200]  魔法
[00:02:21.200 --> 00:02:22.200]  上去吧
[00:02:22.200 --> 00:02:26.800]  請不要看著
[00:02:26.800 --> 00:02:28.800]  我們一起閉上眼
[00:02:28.800 --> 00:02:32.800]  天黑請閉眼
[00:02:32.800 --> 00:02:37.800]  這一刻我們來到一個宮廷
[00:02:37.800 --> 00:02:40.000]  天黑了
[00:02:40.000 --> 00:02:45.000]  有一隻獵物就在狼人的眼前
[00:02:45.000 --> 00:02:47.600]  狼人很想殺牠
[00:02:47.600 --> 00:02:49.400]  但很奇怪
[00:02:49.400 --> 00:02:54.400]  這個狼人對獵物的態度非常友善
[00:02:54.400 --> 00:02:57.000]  非常關心
[00:02:57.000 --> 00:02:59.800]  當獵物退下
[00:02:59.800 --> 00:03:03.400]  狼人就開始行動
[00:03:03.400 --> 00:03:05.400]  他寫了一封信
[00:03:05.400 --> 00:03:08.400]  他寫這封信交給他的下屬
[00:03:08.400 --> 00:03:11.200]  他指示他這樣做
[00:03:11.200 --> 00:03:16.800]  「你和我派他去戰場裏面最危險的地方」
[00:03:16.800 --> 00:03:19.600]  「然後你們就撤退」
[00:03:19.600 --> 00:03:25.000]  「讓他被敵人自然地殺死」
[00:03:25.000 --> 00:03:28.000]  狼人的下屬收到這封指令
[00:03:28.000 --> 00:03:30.400]  他心想
[00:03:30.400 --> 00:03:31.800]  「大家都撤退」
[00:03:31.800 --> 00:03:32.800]  「只剩下他一個」
[00:03:32.800 --> 00:03:34.000]  「這不就很明顯了嗎」
[00:03:34.000 --> 00:03:36.800]  「所有人都知道他們是狼人」
[00:03:36.800 --> 00:03:41.800]  於是他就將獵物和周圍的士兵
[00:03:41.800 --> 00:03:46.800]  都派到最危險的戰場上
[00:03:46.800 --> 00:03:49.400]  天光請開眼
[00:03:49.400 --> 00:03:51.200]  大家可以打開眼
[00:03:51.200 --> 00:03:58.400]  這次死的是烏莉亞和幾個士兵
[00:03:58.400 --> 00:04:03.800]  我們一起讀《薩姆二記》下十一章十六至十七節
[00:04:03.800 --> 00:04:07.400]  有交叉的部分可以暫時跳過
[00:04:07.400 --> 00:04:09.400]  好 預備開始
[00:04:09.400 --> 00:04:12.400]  「約阿偵測城的時候」
[00:04:12.400 --> 00:04:15.400]  「知道敵人那裡有勇士」
[00:04:15.400 --> 00:04:18.400]  「就派烏莉亞到那地方」
[00:04:18.400 --> 00:04:21.800]  「城裏的人出來和約阿打仗」
[00:04:21.800 --> 00:04:25.200]  「僕人中有幾個士兵被殺」
[00:04:25.200 --> 00:04:28.400]  「嚇人烏莉亞也死了」
[00:04:28.400 --> 00:04:31.000]  大家都很熟悉狼人殺
[00:04:31.000 --> 00:04:33.000]  知不知道致命傷是甚麼
[00:04:33.000 --> 00:04:35.000]  通常死是怎樣死
[00:04:35.000 --> 00:04:36.000]  (死是死)
[00:04:36.000 --> 00:04:39.000]  是 有些人聽到了
[00:04:39.000 --> 00:04:41.000]  「信錯隊友」
[00:04:41.000 --> 00:04:43.000]  「你以為隔壁那個人幫你」
[00:04:43.000 --> 00:04:44.000]  「他可能真的幫你」
[00:04:44.000 --> 00:04:47.000]  「但可能是隔壁那個人在害你」
[00:04:47.000 --> 00:04:50.000]  「認錯隊友的烏莉亞」
[00:04:50.000 --> 00:04:54.000]  「她望著曾經和他出生入死的隊友」
[00:04:54.000 --> 00:04:56.000]  「誰知到最後」
[00:04:56.000 --> 00:04:59.000]  「是派她去戰場最危險的地方」
[00:04:59.000 --> 00:05:01.000]  「想她死的那個」
[00:05:01.000 --> 00:05:03.000]  「但我們好心知肚明」
[00:05:03.000 --> 00:05:08.000]  「背後還有指使她的那位主腦」
[00:05:08.000 --> 00:05:11.000]  「誰交信給約翰」
[00:05:11.000 --> 00:05:13.000]  「誰就是主腦」
[00:05:13.000 --> 00:05:15.000]  我們再一起讀
[00:05:15.000 --> 00:05:20.000]  《撒謬義記》下十一章14至15節
[00:05:20.000 --> 00:05:24.000]  「早晨,大衛寫信給約翰」
[00:05:24.000 --> 00:05:27.000]  「交烏莉亞親手帶去」
[00:05:27.000 --> 00:05:30.000]  「他在信裡寫著說」
[00:05:30.000 --> 00:05:34.000]  「要派烏莉亞到戰爭激烈的前線去」
[00:05:34.000 --> 00:05:37.000]  「然後你們撤退離開她」
[00:05:37.000 --> 00:05:40.000]  「使她被擊殺而死」
[00:05:40.000 --> 00:05:44.000]  原來主腦就是當時已經成為了軍王
[00:05:44.000 --> 00:05:47.000]  以色列軍王的大衛
[00:05:47.000 --> 00:05:49.000]  還要很特別
[00:05:49.000 --> 00:05:50.000]  你看不看到
[00:05:50.000 --> 00:05:53.000]  那封信交給了誰
[00:05:53.000 --> 00:05:56.000]  原來這封死亡密令
[00:05:56.000 --> 00:05:58.000]  是先交給烏莉亞
[00:05:58.000 --> 00:06:01.000]  她從來沒有想過她手裡握著的
[00:06:01.000 --> 00:06:05.000]  是一封殺害自己的死亡密令
[00:06:05.000 --> 00:06:08.000]  不過就算她揭破又如何
[00:06:08.000 --> 00:06:10.000]  可不可以改變呢
[00:06:10.000 --> 00:06:14.000]  要殺她的是以色列的掛事人
[00:06:14.000 --> 00:06:18.000]  烏莉亞暗地裡被殺害
[00:06:18.000 --> 00:06:23.000]  其實都是源於一件暗地裡發生的事
