
[00:00:00.000 --> 00:00:02.000]  那我不可以試夢那麼多
[00:00:02.000 --> 00:00:03.480]  我也有機會能夠叛逆
[00:00:03.480 --> 00:00:05.480]  你不要太貪心
[00:00:05.480 --> 00:00:06.840]  分心一點
[00:00:06.840 --> 00:00:08.840]  加上現在又不再逢頭救面
[00:00:08.840 --> 00:00:12.160]  又有愛在尾又有奈在尾
[00:00:12.160 --> 00:00:13.560]  我應該太容易叛逆
[00:00:13.560 --> 00:00:15.560]  你也不能說太多那些正經的
[00:00:15.560 --> 00:00:17.560]  你怎知道他
[00:00:17.560 --> 00:00:19.560]  就是這樣
[00:00:19.560 --> 00:00:21.560]  就是這樣
[00:00:21.560 --> 00:00:23.560]  (音樂)
[00:00:23.560 --> 00:00:25.560]  (音樂)
[00:00:25.560 --> 00:00:27.560]  (音樂)
[00:00:27.560 --> 00:00:29.560]  又是這樣說
[00:00:29.560 --> 00:00:31.560]  我們今天是二月
[00:00:31.560 --> 00:00:33.560]  所以
[00:00:33.560 --> 00:00:35.560]  我們是說戀愛的事情
[00:00:35.560 --> 00:00:37.560]  所以想知道我們的目者
[00:00:37.560 --> 00:00:39.560]  神經病
[00:00:39.560 --> 00:00:41.560]  大家不要說
[00:00:41.560 --> 00:00:43.560]  平時我們就可以讓你們聽一點
[00:00:43.560 --> 00:00:45.560]  二月
[00:00:45.560 --> 00:00:47.560]  大家有什麼戀愛經驗
[00:00:47.560 --> 00:00:49.560]  我拍過三次拖
[00:00:49.560 --> 00:00:51.560]  多麼豐富
[00:00:51.560 --> 00:00:53.560]  幾歲開始在幼稚園
[00:00:53.560 --> 00:00:55.560]  不是
[00:00:55.560 --> 00:00:57.560]  中四開始拍
[00:00:57.560 --> 00:00:59.560]  我好像說什麼
[00:00:59.560 --> 00:01:01.560]  我好像拍過一個月拖
[00:01:01.560 --> 00:01:03.560]  手都未拖就散了
[00:01:03.560 --> 00:01:05.560]  為什麼
[00:01:05.560 --> 00:01:07.560]  被人分手
[00:01:07.560 --> 00:01:09.560]  為什麼
[00:01:09.560 --> 00:01:11.560]  他樣子很尷尬
[00:01:11.560 --> 00:01:13.560]  我好像沒有經驗
[00:01:13.560 --> 00:01:15.560]  他不是在家哭
[00:01:15.560 --> 00:01:17.560]  首先沒有說過
[00:01:17.560 --> 00:01:19.560]  有一次我說過
[00:01:19.560 --> 00:01:21.560]  半夜在哭
[00:01:21.560 --> 00:01:23.560]  我很久沒哭過
[00:01:23.560 --> 00:01:25.560]  分手時哭
[00:01:25.560 --> 00:01:27.560]  初戀
[00:01:27.560 --> 00:01:29.560]  激烈地哭
[00:01:29.560 --> 00:01:31.560]  然後呢
[00:01:31.560 --> 00:01:33.560]  第一次
[00:01:33.560 --> 00:01:35.560]  你很喜歡那女生
[00:01:35.560 --> 00:01:37.560]  當然喜歡
[00:01:37.560 --> 00:01:39.560]  但不要說了
[00:01:39.560 --> 00:01:41.560]  第二次
[00:01:41.560 --> 00:01:43.560]  我信主
[00:01:43.560 --> 00:01:45.560]  那是我的見證
[00:01:45.560 --> 00:01:47.560]  我和一個女生拍拖
[00:01:47.560 --> 00:01:49.560]  那是很恐怖
[00:01:49.560 --> 00:01:51.560]  我拍拖之後
[00:01:51.560 --> 00:01:53.560]  一年後
[00:01:53.560 --> 00:01:55.560]  我提出分手
[00:01:55.560 --> 00:01:57.560]  就是因為你信耶穌
[00:01:57.560 --> 00:01:59.560]  我現在要專心祈禱
[00:01:59.560 --> 00:02:01.560]  那是不是姐妹
[00:02:01.560 --> 00:02:03.560]  姐妹
[00:02:03.560 --> 00:02:05.560]  你以為是什麼
[00:02:05.560 --> 00:02:07.560]  是一個女生
[00:02:07.560 --> 00:02:09.560]  不是一個女生
[00:02:09.560 --> 00:02:11.560]  是一個學妹
[00:02:11.560 --> 00:02:13.560]  是一個學妹
[00:02:13.560 --> 00:02:15.560]  然後
[00:02:15.560 --> 00:02:17.560]  我就分手
[00:02:17.560 --> 00:02:19.560]  她很大情緒
[00:02:19.560 --> 00:02:21.560]  在我面前戒手
[00:02:21.560 --> 00:02:23.560]  很亂
[00:02:23.560 --> 00:02:25.560]  人生低落
[00:02:25.560 --> 00:02:27.560]  那你怎樣
[00:02:27.560 --> 00:02:29.560]  那時我很困擾
[00:02:29.560 --> 00:02:31.560]  試過在上學
[00:02:31.560 --> 00:02:33.560]  有個傢俬
[00:02:33.560 --> 00:02:35.560]  一打開就發現
[00:02:35.560 --> 00:02:37.560]  裡面的東西都是我送的
