
[00:00:00.000 --> 00:00:02.000]  (丁字妹晚安)
[00:00:02.000 --> 00:00:07.000]  剛才在前面坐
[00:00:07.000 --> 00:00:09.000]  聽到後面的聲音很好聽
[00:00:09.000 --> 00:00:13.000]  丁字妹唱歌的聲音很好聽
[00:00:13.000 --> 00:00:16.000]  不知道是跟歌聲還是你們的聲音有關
[00:00:16.000 --> 00:00:19.000]  應該是兩個聲音吧
[00:00:19.000 --> 00:00:23.000]  今天講道是有些難度的
[00:00:23.000 --> 00:00:27.000]  因為上星期有個家人離開了
[00:00:27.000 --> 00:00:32.000]  看著他離開
[00:00:32.000 --> 00:00:35.000]  其實是很不容易的經歷
[00:00:35.000 --> 00:00:38.000]  七、八個小時看著他
[00:00:38.000 --> 00:00:43.000]  呼吸越來越弱到他心跳完
[00:00:43.000 --> 00:00:46.000]  其實真的很艱難
[00:00:46.000 --> 00:00:51.000]  所以這十天都很想不說話
[00:00:51.000 --> 00:00:59.000]  昨天是我自己的老師楊醫世世三周年
[00:00:59.000 --> 00:01:03.000]  昨天看了照片聽了他說話
[00:01:03.000 --> 00:01:08.000]  今天又去了安息禮拜
[00:01:08.000 --> 00:01:14.000]  所以希望今天要做到要做到的事
[00:01:14.000 --> 00:01:16.000]  因為今天要講上妝
[00:01:16.000 --> 00:01:18.000]  我們先看PowerPoint
[00:01:18.000 --> 00:01:24.000]  一起做無聊的事才明白有什麼意義
[00:01:24.000 --> 00:01:26.000]  為了大家開心一點
[00:01:26.000 --> 00:01:27.000]  我先出賣自己
[00:01:27.000 --> 00:01:36.000]  我們看下張PowerPoint
[00:01:36.000 --> 00:01:43.000]  John說上妝希望大家拿出大學時期上妝的樣子
[00:01:43.000 --> 00:01:49.000]  但我知道上兩堂課都沒有拿到
[00:01:49.000 --> 00:01:51.000]  所以我先出賣自己
[00:01:51.000 --> 00:01:56.000]  這應該是我大學上妝時的照片
[00:01:56.000 --> 00:01:59.000]  因為今天要上山
[00:01:59.000 --> 00:02:01.000]  因為今天要上深水埗
[00:02:01.000 --> 00:02:03.000]  所以我特意選了登山變相
[00:02:03.000 --> 00:02:06.000]  所以你會發現那個樣子和現在的樣子是變了
[00:02:06.000 --> 00:02:08.000]  所以我選了這段經文
[00:02:08.000 --> 00:02:10.000]  下一張了我們笑完了
[00:02:10.000 --> 00:02:11.000]  我們看經文
[00:02:11.000 --> 00:02:13.000]  經文是這樣說的
[00:02:13.000 --> 00:02:16.000]  樹鳥姐說以後約有八天
[00:02:16.000 --> 00:02:18.000]  耶穌帶著彼得約翰雅各上山來禱告
[00:02:18.000 --> 00:02:23.000]  正禱告的時候他的面貌改變了
[00:02:23.000 --> 00:02:25.000]  衣服潔白放光
