
[00:00:00.000 --> 00:00:02.000]  大家請坐
[00:00:02.000 --> 00:00:22.000]  每年到月月節
[00:00:22.000 --> 00:00:24.000]  他父母就想夜路殺難他
[00:00:24.000 --> 00:00:28.000]  當他十二歲的時候
[00:00:28.000 --> 00:00:30.000]  他們按照節旗的規矩上去
[00:00:30.000 --> 00:00:36.000]  守滿了節旗他們回去
[00:00:36.000 --> 00:00:40.000]  孩童耶穌仍舊在夜路殺難
[00:00:40.000 --> 00:00:44.000]  他的父母並不知道
[00:00:44.000 --> 00:00:46.000]  以為他在同行的人中間
[00:00:46.000 --> 00:00:50.000]  走了一天的路程
[00:00:50.000 --> 00:00:52.000]  就在親族和熟悉的人中找他
[00:00:56.000 --> 00:00:58.000]  既找不著
[00:00:58.000 --> 00:01:00.000]  就回夜路殺難去找他
[00:01:00.000 --> 00:01:04.000]  過了三天就遇見他在店裡
[00:01:04.000 --> 00:01:08.000]  坐在教師中間
[00:01:08.000 --> 00:01:10.000]  一面聽一面問
[00:01:10.000 --> 00:01:14.000]  凡聽見他的
[00:01:14.000 --> 00:01:16.000]  都稀奇他的聰明和他的應對
[00:01:16.000 --> 00:01:20.000]  他父母看見就很稀奇
[00:01:20.000 --> 00:01:24.000]  他母親對他說
[00:01:24.000 --> 00:01:26.000]  我兒
[00:01:26.000 --> 00:01:28.000]  為什麼
[00:01:28.000 --> 00:01:30.000]  向我們這樣走呢
[00:01:30.000 --> 00:01:32.000]  看啊
[00:01:32.000 --> 00:01:34.000]  你父親和我傷心來找你
[00:01:34.000 --> 00:01:38.000]  耶穌說
[00:01:38.000 --> 00:01:40.000]  為什麼找我呢
[00:01:40.000 --> 00:01:42.000]  豈不知我應當
[00:01:42.000 --> 00:01:44.000]  以我父的事為念嗎
[00:01:44.000 --> 00:01:48.000]  他所說的這話
[00:01:48.000 --> 00:01:50.000]  他們不明白
[00:01:50.000 --> 00:01:52.000]  他就和他們下去
[00:01:52.000 --> 00:01:54.000]  回到那撒勒
[00:01:54.000 --> 00:01:56.000]  並且順從他們
[00:01:56.000 --> 00:01:58.000]  他母親
[00:01:58.000 --> 00:02:00.000]  把一切的事
[00:02:00.000 --> 00:02:02.000]  都存在心裡
[00:02:02.000 --> 00:02:06.000]  第三天
[00:02:06.000 --> 00:02:08.000]  在加利利的加拿大
[00:02:08.000 --> 00:02:10.000]  有一個婚宴
