
[00:00:00.000 --> 00:00:03.200]  各位同學 晚安
[00:00:03.200 --> 00:00:06.300]  今天很精彩
[00:00:06.300 --> 00:00:08.640]  看到大家的衣著 想不到
[00:00:08.640 --> 00:00:11.160]  有一半以上
[00:00:11.160 --> 00:00:14.120]  有穿整齊的校服回來
[00:00:14.120 --> 00:00:23.660]  我自己也預備了
[00:00:23.660 --> 00:00:26.900]  白襯衫 灰色西褲
[00:00:27.000 --> 00:00:30.500]  我發覺整件事最瘋狂的是
[00:00:30.500 --> 00:00:32.500]  白襪
[00:00:32.500 --> 00:00:37.500]  當然不信得的
[00:00:37.500 --> 00:00:40.000]  有這個可以撕出來的校章
[00:00:40.000 --> 00:00:42.000]  方便放進機舖
[00:00:42.000 --> 00:00:45.000]  校胎呢
[00:00:45.000 --> 00:00:48.000]  上星期我叫我媽買的
[00:00:48.000 --> 00:00:50.000]  她就說
[00:00:50.000 --> 00:00:53.000]  去到學校幫我兒子買就行了
[00:00:56.500 --> 00:00:58.500]  我們一起獻上禱告
[00:00:58.500 --> 00:01:00.500]  不 我們一起來祈禱
[00:01:00.500 --> 00:01:02.500]  在座我們謝謝你
[00:01:02.500 --> 00:01:04.500]  因為你
[00:01:04.500 --> 00:01:06.500]  全因為你
[00:01:06.500 --> 00:01:08.500]  你讓我們一生充滿著傳奇
[00:01:08.500 --> 00:01:10.500]  我們感謝敬拜隊
[00:01:10.500 --> 00:01:11.500]  他們的勞苦
[00:01:11.500 --> 00:01:14.500]  將很多我們以前記得的師哥
[00:01:14.500 --> 00:01:15.500]  和你的關係
[00:01:15.500 --> 00:01:17.500]  我們再一次藉著敬拜
[00:01:17.500 --> 00:01:18.500]  我們來到獻上
[00:01:18.500 --> 00:01:21.500]  求主你自己作我們今天崇拜的主
[00:01:21.500 --> 00:01:24.500]  我們今天一起穿著校服
[00:01:24.500 --> 00:01:26.500]  我們去回憶
[00:01:26.500 --> 00:01:27.500]  我們去追念
[00:01:27.500 --> 00:01:29.500]  但是我們去為了的
[00:01:29.500 --> 00:01:31.500]  來去聆聽你的說話
[00:01:31.500 --> 00:01:34.500]  來去尋找我們昔日
[00:01:34.500 --> 00:01:36.500]  和你的關係
[00:01:36.500 --> 00:01:37.500]  求主你這樣的幫助我們
[00:01:37.500 --> 00:01:40.500]  讓今天的崇拜
[00:01:40.500 --> 00:01:43.500]  今天我們再一次來聆聽你的說話
[00:01:43.500 --> 00:01:45.500]  你自己的來去
[00:01:45.500 --> 00:01:47.500]  在當中對我們每一個人說話
[00:01:47.500 --> 00:01:49.500]  求主你這樣的同在
[00:01:49.500 --> 00:01:51.500]  在網上的
[00:01:51.500 --> 00:01:52.500]  在實體裏面的
[00:01:52.500 --> 00:01:53.500]  在MFC裏面的
[00:01:53.500 --> 00:01:55.500]  我們一起獻上同一個敬拜
[00:01:55.500 --> 00:01:56.500]  奉主命寇
[00:01:56.500 --> 00:01:57.500]  阿們
[00:01:57.500 --> 00:02:00.500]  今天的講題
[00:02:00.500 --> 00:02:02.500]  不知道今天講題是什麼
[00:02:02.500 --> 00:02:03.500]  其實我們的海報有的
[00:02:03.500 --> 00:02:05.500]  紀念冊上寫了
[00:02:05.500 --> 00:02:08.500]  記得M 記得E 記得ME
[00:02:08.500 --> 00:02:10.500]  懂得笑的
[00:02:10.500 --> 00:02:12.500]  代表你一定是上下一年紀
[00:02:12.500 --> 00:02:15.500]  這個講題其實是
[00:02:15.500 --> 00:02:19.500]  上次潘Sir講到的時候
[00:02:19.500 --> 00:02:21.500]  就啟發我的
[00:02:21.500 --> 00:02:24.500]  他說要寫紀念冊
[00:02:24.500 --> 00:02:27.500]  這句大家有沒有寫過
[00:02:27.500 --> 00:02:29.500]  沒有
[00:02:29.500 --> 00:02:32.500]  這個是我們小學生的時候寫的
[00:02:32.500 --> 00:02:35.500]  記得M 記得E 記得ME
[00:02:35.500 --> 00:02:38.500]  我們以前寫紀念冊的時候
[00:02:38.500 --> 00:02:40.500]  寫紀念冊給別人
[00:02:40.500 --> 00:02:42.500]  血型會寫什麼
[00:02:42.500 --> 00:02:44.500]  血型會寫K型
[00:02:44.500 --> 00:02:47.500]  然後地址會寫什麼
[00:02:47.500 --> 00:02:50.500]  然後就寫地球某處
[00:02:50.500 --> 00:02:52.500]  你們應該聽過吧
[00:02:52.500 --> 00:02:54.500]  我讀出來給大家聽聽
[00:02:54.500 --> 00:02:55.500]  有沒有寫過
[00:02:55.500 --> 00:02:56.500]  My pan is blue
[00:02:56.500 --> 00:02:57.500]  下一句是什麼
[00:02:57.500 --> 00:02:59.500]  My pan is blue
[00:02:59.500 --> 00:03:01.500]  My friend is you
[00:03:01.500 --> 00:03:02.500]  是不是
[00:03:02.500 --> 00:03:04.500]  這個大家認識的
[00:03:04.500 --> 00:03:06.500]  萬里長城長有長
[00:03:06.500 --> 00:03:08.500]  然後這個
[00:03:08.500 --> 00:03:10.500]  這個應該這麼多年都是了
[00:03:10.500 --> 00:03:12.500]  是什麼
