
[00:00:00.000 --> 00:00:04.800]  各位Flow Church在現場和網上的弟兄姊妹平安
[00:00:04.800 --> 00:00:07.600]  如果我沒有記錯
[00:00:07.600 --> 00:00:11.600]  這個星期已經是喝水的第五講了
[00:00:11.600 --> 00:00:17.600]  經過四位神學院的藍老師從舊約講喝水之後
[00:00:17.600 --> 00:00:20.400]  不知道大家喝飽了水沒有呢
[00:00:20.400 --> 00:00:24.600]  有一點點考你們的
[00:00:24.600 --> 00:00:26.800]  應該飽了就不想聽是嗎
[00:00:26.800 --> 00:00:30.000]  還沒有飽好像喝不夠
[00:00:30.000 --> 00:00:33.200]  上星期高明軒博士提到
[00:00:33.200 --> 00:00:38.000]  人喝什麼水就定義他是什麼身份
[00:00:38.000 --> 00:00:41.600]  我是從事民族藝術敬拜的研究工作
[00:00:41.600 --> 00:00:47.200]  所以我發現這個道理似乎都是一個世界的現象
[00:00:47.200 --> 00:00:49.200]  在非洲都講得通
[00:00:49.200 --> 00:00:51.200]  唯一不同的就是在那裡
[00:00:51.200 --> 00:00:55.200]  你只有乾淨水和污水選擇
[00:00:55.200 --> 00:01:00.000]  又或者喝水和沒水喝的選擇
[00:01:00.000 --> 00:01:03.000]  不過在如此缺水的非洲
[00:01:03.000 --> 00:01:08.200]  他們在文化裡面都有很多有關水的諺語
[00:01:08.200 --> 00:01:11.400]  不要以為非洲是很多落後的部落
[00:01:11.400 --> 00:01:14.200]  其實非洲人是很重視智慧的
[00:01:14.200 --> 00:01:17.200]  如果我們在非洲教會講道的話
[00:01:17.200 --> 00:01:21.000]  不用一個諺語或者一句真言來開始
[00:01:21.000 --> 00:01:23.000]  是沒有人認真會聽的
[00:01:23.000 --> 00:01:28.000]  所以我今天也選了一個有關水的非洲諺語開始
[00:01:28.000 --> 00:01:30.000]  是這樣的
[00:01:30.000 --> 00:01:34.000]  你可以帶一隻羊到溪裡
[00:01:34.000 --> 00:01:37.000]  但是你沒有辦法強迫牠喝水
[00:01:37.000 --> 00:01:40.000]  You can take a goat to the river
[00:01:40.000 --> 00:01:43.000]  But you can't make it drink the water
[00:01:43.000 --> 00:01:45.000]  有一點點押韻
[00:01:45.000 --> 00:01:49.000]  我想所有做人妻或者做媽媽的
[00:01:49.000 --> 00:01:52.000]  應該對這句話都挺有同感的
[00:01:52.000 --> 00:01:57.000]  因為你要叫家裡的男人和小朋友喝水
[00:01:57.000 --> 00:02:01.000]  真的不是一件很容易的事
[00:02:01.000 --> 00:02:05.000]  如果一個人感受不到那份口渴
[00:02:05.000 --> 00:02:09.000]  就算把水遞到他面前
[00:02:09.000 --> 00:02:12.000]  最後還是原封不動在那裡
[00:02:12.000 --> 00:02:18.000]  由此可見口渴是喝水的開始
[00:02:18.000 --> 00:02:24.000]  所以我們今晚想和大家一起思想主耶穌的乾渴
[00:02:24.000 --> 00:02:26.000]  我們一起祈禱
[00:02:26.000 --> 00:02:29.000]  主耶穌
[00:02:29.000 --> 00:02:33.000]  我們現在就要來就近敬拜祢
[00:02:33.000 --> 00:02:35.000]  感謝祢在十誡上
[00:02:35.000 --> 00:02:39.000]  為我們已經承擔了世上最大的離棄
[00:02:39.000 --> 00:02:44.000]  從此我們和天父之間就再無距離
[00:02:44.000 --> 00:02:46.000]  只有真正的愛
[00:02:46.000 --> 00:02:48.000]  感謝祢為我們而死
[00:02:48.000 --> 00:02:50.000]  又為我們再生
[00:02:50.000 --> 00:02:52.000]  成為我們的飽足
[00:02:52.000 --> 00:02:55.000]  又為我們感到飢渴
[00:02:55.000 --> 00:02:57.000]  求祢教我們以祢的心為心
[00:02:57.000 --> 00:02:59.000]  以祢的話為念
[00:02:59.000 --> 00:03:03.000]  好讓我們可以始至不渝地貼近祢的心意
[00:03:03.000 --> 00:03:05.000]  跟從祢的腳踪
[00:03:05.000 --> 00:03:07.000]  Amen
[00:03:07.000 --> 00:03:10.000]  在聖經裡
[00:03:10.000 --> 00:03:15.000]  耶穌曾經兩次說「我喝了」
[00:03:15.000 --> 00:03:17.000]  一次是在十誡上
[00:03:17.000 --> 00:03:21.000]  另一次是在一個末世的比喻裡
[00:03:21.000 --> 00:03:24.000]  我們說「人之將死,其言也善」
[00:03:24.000 --> 00:03:27.000]  人在臨終時留下的說話
[00:03:27.000 --> 00:03:32.000]  往往都是生命裡最重要的訊息和最真實的訴求
[00:03:32.000 --> 00:03:36.000]  所以請讓我為大家讀出以下的經文
[00:03:36.000 --> 00:03:38.000]  請大家聽的時候
[00:03:38.000 --> 00:03:42.000]  不要只是用腦去思想訊息
[00:03:42.000 --> 00:03:44.000]  也嘗試用身體、用感受
[00:03:44.000 --> 00:03:48.000]  用想像去思考當時的環境
[00:03:48.000 --> 00:03:51.000]  還有耶穌的狀態和心情
[00:03:51.000 --> 00:03:56.000]  約翰福音第十九章28-30節
[00:03:56.000 --> 00:04:06.000]  「這是以後耶穌知道各樣的事已經成了
[00:04:06.000 --> 00:04:10.000]  要使經上的話應驗就說
[00:04:10.000 --> 00:04:12.000]  我喝了」
[00:04:13.000 --> 00:04:17.000]  「有一個氣命,聖滿了槽,方在那裡?
[00:04:17.000 --> 00:04:20.000]  他們就拿海湧,揸滿了槽
[00:04:20.000 --> 00:04:25.000]  綁在牛膝草上,送到他口
[00:04:25.000 --> 00:04:30.000]  耶穌嘗了那槽,就說
[00:04:30.000 --> 00:04:38.000]  成了,便低下頭,將靈魂交付神了」
[00:04:40.000 --> 00:04:44.000]  我想增加一下我們對經文的第一身體驗
[00:04:44.000 --> 00:04:47.000]  讓講道可以成為一個真、勁、敗
[00:04:47.000 --> 00:04:49.000]  而不是只聽別人的說話
[00:04:49.000 --> 00:04:54.000]  所以我想這次有PowerPoint可以提醒大家讀經文
[00:04:54.000 --> 00:04:57.000]  我想請大家在座位上輕輕地讀
[00:04:57.000 --> 00:05:00.000]  自己聽到便可以了,但也有聲音
[00:05:00.000 --> 00:05:02.000]  用你最自然的速度
[00:05:02.000 --> 00:05:06.000]  並且將你剛才聆聽到的感受、想法
[00:05:06.000 --> 00:05:08.000]  加入你的聲音裏面
[00:05:08.000 --> 00:05:10.000]  讀完後我們會安靜幾秒鐘
[00:05:10.000 --> 00:05:13.000]  讓那些畫面感受繼續
[00:05:13.000 --> 00:05:17.000]  讓聖靈提醒,蕩漾在我們的生命和頭腦之間
[00:05:17.000 --> 00:05:19.000]  應該大家看到
[00:05:19.000 --> 00:05:23.000]  所有的事都要成就
[00:05:23.000 --> 00:05:26.000]  結局就擺在眼前
[00:05:26.000 --> 00:05:31.000]  為了令舊約的預言可以在耶穌身上得以應驗
[00:05:31.000 --> 00:05:35.000]  耶穌在最後一刻說「我喝了」
[00:05:35.000 --> 00:05:38.000]  然後鏡頭轉到十格的一角
[00:05:38.000 --> 00:05:40.000]  那裏放了一個容器
[00:05:40.000 --> 00:05:44.000]  裝著士兵用來解渴平價的酸酒
[00:05:44.000 --> 00:05:49.000]  但那些酒不像耶穌之前拒絕的那種酒
[00:05:49.000 --> 00:05:54.000]  這種酒沒有混入那些令人憤怒的苦澹
[00:05:54.000 --> 00:05:58.000]  士兵聽到耶穌說「喝了」
[00:05:58.000 --> 00:06:01.000]  就用所剩無幾的憐憫
[00:06:01.000 --> 00:06:03.000]  又或者希望延長他痛苦的黑心
[00:06:03.000 --> 00:06:07.000]  把海綿塞進酒瓶裏
