
[00:00:00.000 --> 00:00:04.000]  各位丁子妹,晚安
[00:00:04.000 --> 00:00:08.000]  應該有些house light的,謝謝
[00:00:08.000 --> 00:00:11.000]  不在漆黑裡面看著大家
[00:00:11.000 --> 00:00:16.000]  以馬來尼這個訊息,相信我們很不陌生
[00:00:16.000 --> 00:00:22.000]  以馬來尼這個訊息,基本上是在退休營的時候
[00:00:22.000 --> 00:00:26.000]  你都會改名叫以馬來尼
[00:00:26.000 --> 00:00:30.000]  以馬來尼好像是在說一個很特別的空間,一個時間
[00:00:30.000 --> 00:00:34.000]  我們set aside出來給上帝,很安靜地來到上帝面前
[00:00:34.000 --> 00:00:39.000]  去尋求祂的同在,希望上帝的同在在我們當中
[00:00:39.000 --> 00:00:43.000]  以致我們每一個人感受到神很實在
[00:00:43.000 --> 00:00:47.000]  在我們繁忙的生活裡面,我們還預留了一些空間給上帝
[00:00:47.000 --> 00:00:51.000]  看來我是這樣理解以馬來尼
[00:00:51.000 --> 00:00:55.000]  或者我們在聖誕節的時候說以馬來尼的時候
[00:00:55.000 --> 00:00:57.000]  我們在福音第一章說了
[00:00:57.000 --> 00:01:01.000]  所以我們說以馬來尼的時候,好像是在說很平安
[00:01:01.000 --> 00:01:06.000]  我們經常有圖畫,好像是平安夜
[00:01:06.000 --> 00:01:10.000]  很安靜,很恬靜的時候
[00:01:10.000 --> 00:01:13.000]  上帝的兒子耶穌基督出生
[00:01:13.000 --> 00:01:17.000]  以致在一個這麼亡亂的世界裡
[00:01:17.000 --> 00:01:20.000]  突然之間一幅很不同的圖畫出現了
[00:01:20.000 --> 00:01:24.000]  大致上我們是這樣理解以馬來尼
[00:01:24.000 --> 00:01:29.000]  但希望今天,其實這個設計是11月和12月兩個信息
[00:01:29.000 --> 00:01:34.000]  我希望這個月我們會說以塞雅的以馬來尼
[00:01:34.000 --> 00:01:36.000]  我們希望12月再說的時候
[00:01:36.000 --> 00:01:42.000]  是在說馬太第一章大希律所謂的以馬來尼是什麼
[00:01:42.000 --> 00:01:45.000]  我們希望看一下經文
[00:01:45.000 --> 00:01:49.000]  這裡先
[00:01:49.000 --> 00:01:53.000]  這個是在說以塞雅書的以馬來尼
[00:01:53.000 --> 00:01:55.000]  大約這樣說
[00:01:55.000 --> 00:01:58.000]  耶和華曉遇阿哈斯說
[00:01:58.000 --> 00:02:00.000]  你要向耶和華你的神求個兆頭
[00:02:00.000 --> 00:02:03.000]  或顯於深處或顯於高處
[00:02:03.000 --> 00:02:07.000]  阿哈斯說我不求,因為我不試探耶和華
[00:02:07.000 --> 00:02:10.000]  這個說話其實很囂張
[00:02:10.000 --> 00:02:14.000]  神給你一個兆頭,你求之不得
[00:02:14.000 --> 00:02:17.000]  你可以拿一個兆頭,拿一個sign
[00:02:17.000 --> 00:02:20.000]  拿一個應許,拿一個記號
[00:02:20.000 --> 00:02:23.000]  應該是一個好的
[00:02:23.000 --> 00:02:28.000]  如果你看希西加的孫子拿一個sign,拿一個兆頭的時候
[00:02:28.000 --> 00:02:32.000]  可以打贏,基本上我們不仔細說
[00:02:32.000 --> 00:02:35.000]  但阿哈斯很特別
[00:02:35.000 --> 00:02:39.000]  他有不知什麼力量,或者很帥
[00:02:39.000 --> 00:02:42.000]  他說我不求,因為我不試探耶和華
[00:02:42.000 --> 00:02:44.000]  你看下去就很笑
[00:02:44.000 --> 00:02:46.000]  不求就不要
[00:02:46.000 --> 00:02:49.000]  阿哈斯不要就不要給他,很簡單
[00:02:49.000 --> 00:02:51.000]  但以下他說
[00:02:51.000 --> 00:02:56.000]  大衛加利當庭,你們使人厭煩,豈算是小事
[00:02:56.000 --> 00:02:59.000]  還要使我的神厭煩嗎?
[00:02:59.000 --> 00:03:02.000]  他因此主自己要給你一個兆頭
[00:03:02.000 --> 00:03:05.000]  必有同類懷孕生子
[00:03:05.000 --> 00:03:07.000]  他起名叫二馬來尼
[00:03:07.000 --> 00:03:10.000]  這個就是神與我們同在的意思
[00:03:10.000 --> 00:03:12.000]  特別的地方是
[00:03:12.000 --> 00:03:16.000]  在這裡不是說不要就算
[00:03:16.000 --> 00:03:19.000]  神對他說,你要吧
[00:03:19.000 --> 00:03:21.000]  阿哈斯說不要,我不試探神
[00:03:21.000 --> 00:03:25.000]  但以賽亞一聽到他不試探神就罵他
[00:03:25.000 --> 00:03:27.000]  罵他吧
[00:03:27.000 --> 00:03:30.000]  但神還要給他一個兆頭
[00:03:30.000 --> 00:03:32.000]  奇怪的地方是
[00:03:32.000 --> 00:03:34.000]  神給你一個兆頭,你不要
[00:03:34.000 --> 00:03:37.000]  那他就罵你,先知通常會罵人
[00:03:37.000 --> 00:03:40.000]  罵完之後還要給他一個兆頭
[00:03:40.000 --> 00:03:42.000]  如果要給他一個兆頭的話
[00:03:42.000 --> 00:03:44.000]  大體上你給他一個強勁的兆頭
[00:03:44.000 --> 00:03:47.000]  等於月亮有24小時
[00:03:47.000 --> 00:03:51.000]  太陽不出來的照著
[00:03:51.000 --> 00:03:56.000]  或者太陽24小時就繼續照亮
[00:03:56.000 --> 00:04:00.000]  這些兆頭夠強勁
[00:04:00.000 --> 00:04:01.000]  對阿哈斯來說
[00:04:01.000 --> 00:04:03.000]  有一個強勁的兆頭的時候
[00:04:03.000 --> 00:04:05.000]  他不求就吃虧了
