
[00:00:00.000 --> 00:00:05.400]  我們上星期日山系去行夜山
[00:00:05.400 --> 00:00:07.400]  可以來PowerPoint
[00:00:07.400 --> 00:00:11.000]  我們已經是第15次行程
[00:00:11.000 --> 00:00:13.000]  第3次行夜山
[00:00:13.000 --> 00:00:15.000]  我們通常行山的時候
[00:00:15.000 --> 00:00:16.000]  這個是獅子山
[00:00:16.000 --> 00:00:22.000]  我們行山比較多時間和姐妹和新朋友聊天
[00:00:22.000 --> 00:00:24.000]  天然秘筆什麼都聊
[00:00:24.000 --> 00:00:29.800]  但我們每一次都會有一個主題跟著去講
[00:00:29.800 --> 00:00:33.800]  由去年開始我們就跟著教會年曆一直去講
[00:00:33.800 --> 00:00:34.800]  講到聖靈降臨
[00:00:34.800 --> 00:00:37.200]  但這個月因為熱
[00:00:37.200 --> 00:00:39.800]  所以我們會多行夜山
[00:00:39.800 --> 00:00:41.400]  明天我們都會去
[00:00:41.400 --> 00:00:43.400]  行到第二天
[00:00:43.400 --> 00:00:44.800]  7月1日的早上
[00:00:44.800 --> 00:00:46.200]  看不看得到日出
[00:00:46.200 --> 00:00:48.200]  在夜山的過程
[00:00:48.200 --> 00:00:51.200]  我們都會有一個問題給大家
[00:00:51.200 --> 00:00:53.200]  今次的主題就是
[00:00:53.200 --> 00:00:57.200]  在黑暗裡面有什麼人生經歷
[00:00:57.200 --> 00:01:00.200]  好像很嚴肅
[00:01:00.200 --> 00:01:05.200]  行山其實都可以分享一些很內在很深入的經歷
[00:01:05.200 --> 00:01:07.200]  在這些經歷裡面
[00:01:07.200 --> 00:01:08.200]  還有另一個問題
[00:01:08.200 --> 00:01:11.200]  就是在黑暗漆黑的環境
[00:01:11.200 --> 00:01:15.200]  你如果可以發亮
[00:01:15.200 --> 00:01:17.200]  你會是一盞什麼燈
[00:01:17.200 --> 00:01:19.200]  你會是大光燈
[00:01:19.200 --> 00:01:21.200]  你會是LED燈
[00:01:21.200 --> 00:01:22.200]  你會是蠟燭
[00:01:22.200 --> 00:01:23.200]  你會是頭燈
[00:01:23.200 --> 00:01:24.200]  還是什麼燈
[00:01:24.200 --> 00:01:27.200]  這些問題就拋出去給大家去想
[00:01:27.200 --> 00:01:28.200]  一路走的過程
[00:01:28.200 --> 00:01:30.200]  雖然大家都很喜歡聊天
[00:01:30.200 --> 00:01:31.200]  而不是經常想
[00:01:31.200 --> 00:01:33.200]  但我都不會逼大家去想
[00:01:33.200 --> 00:01:36.200]  所以大家有時會去到某些休息的點
[00:01:36.200 --> 00:01:38.200]  或者我們拍照
[00:01:38.200 --> 00:01:39.200]  看夜景的點
[00:01:39.200 --> 00:01:40.200]  就會去分享
[00:01:40.200 --> 00:01:42.200]  簡單來說
[00:01:42.200 --> 00:01:44.200]  我很想大家在這一次的旅程裡面
[00:01:44.200 --> 00:01:47.200]  去經歷我們人性裡面
[00:01:47.200 --> 00:01:49.200]  你不同的燈
[00:01:49.200 --> 00:01:51.200]  或者你是不同可以照亮別人的東西
[00:01:51.200 --> 00:01:53.200]  你有什麼特性
[00:01:53.200 --> 00:01:56.200]  每一種的燈都有不同的特性
[00:01:56.200 --> 00:01:57.200]  有不同的光度
[00:01:57.200 --> 00:01:59.200]  有不同的功率
[00:01:59.200 --> 00:02:01.200]  待會會多說一點
[00:02:01.200 --> 00:02:03.200]  在這些過程裡面
[00:02:03.200 --> 00:02:05.200]  或者在漆黑的裡面
[00:02:05.200 --> 00:02:06.200]  你認不出別人
[00:02:06.200 --> 00:02:08.200]  你會發覺
[00:02:08.200 --> 00:02:11.200]  你怎樣在那個網絡的時候
[00:02:11.200 --> 00:02:15.200]  你見到弟兄姊妹與你同行
[00:02:15.200 --> 00:02:17.200]  怎樣去照亮你身邊
[00:02:17.200 --> 00:02:20.200]  在一個黑暗處境的人
