
[00:00:00.000 --> 00:00:06.000]  我唔知道點解你咁對我
[00:00:06.000 --> 00:00:11.000]  我只係知道無論你點樣對我
[00:00:11.000 --> 00:00:13.000]  我都係咁愛你
[00:00:13.000 --> 00:00:17.000]  或者你今都冇愛過我
[00:00:17.000 --> 00:00:20.000]  甚至恨我
[00:00:20.000 --> 00:00:26.000]  但係我仍然永遠永遠愛你
[00:00:26.000 --> 00:00:31.000]  永遠愛著你
[00:00:31.000 --> 00:00:35.000]  就算夢碎了都心愛你
[00:00:35.000 --> 00:00:39.000]  永沒化被淡忘記
[00:00:39.000 --> 00:00:41.000]  佢喺戲院做售票員
[00:00:41.000 --> 00:00:43.000]  我哋仲一齊等個巴士添
[00:00:43.000 --> 00:00:45.000]  佢仲聽過我彈結他
[00:00:45.000 --> 00:00:47.000]  但係佢而家已經辭咗職啦
[00:00:47.000 --> 00:00:49.000]  我完全搵唔到佢
[00:00:49.000 --> 00:00:52.000]  我只係知道佢個名
[00:00:52.000 --> 00:00:56.000]  但係好想話佢知
[00:00:56.000 --> 00:00:58.000]  我好鍾意佢
[00:00:58.000 --> 00:01:00.000]  現代人有時連愛係乜嘢都唔記得咗
[00:01:00.000 --> 00:01:02.000]  咪就係呢一份純真囉
[00:01:02.000 --> 00:01:04.000]  就算你唔知道點解你鍾意佢
[00:01:04.000 --> 00:01:06.000]  都可以愛得驚天動地
[00:01:06.000 --> 00:01:07.000]  唔計較唔計算
[00:01:07.000 --> 00:01:09.000]  好多謝賢仔提醒咗我哋
[00:01:09.000 --> 00:01:12.000]  好啦就破例一次俾你講佢個名啦
[00:01:12.000 --> 00:01:13.000]  佢叫咩名呀
[00:01:13.000 --> 00:01:17.000]  佢叫黃嘉欣
[00:01:17.000 --> 00:01:20.000]  有信心嘅話要尋找就會尋見
[00:01:20.000 --> 00:01:22.000]  如果你係賢仔口中嗰個黃嘉欣
[00:01:22.000 --> 00:01:24.000]  打個電話嚟俾我呀
[00:01:24.000 --> 00:01:26.000]  338-5234
[00:01:26.000 --> 00:01:27.000]  一個咁有心嘅男仔
[00:01:27.000 --> 00:01:29.000]  我相信上天係唔會令佢失望
[00:01:29.000 --> 00:01:30.000]  而去空手而回嘅
[00:01:30.000 --> 00:01:32.000]  338-5234 打電話你呀
[00:01:32.000 --> 00:01:46.000]  弟兄姊妹晚安
[00:01:46.000 --> 00:01:48.000]  唔知大家年青時呢
