
[00:00:00.000 --> 00:00:05.520]  無論是香港的弟兄姊妹
[00:00:05.520 --> 00:00:08.120]  在網前面或現場
[00:00:08.120 --> 00:00:10.960]  或是世界不同角落的弟兄姊妹
[00:00:10.960 --> 00:00:15.160]  無論是即時看或是之後時間看
[00:00:15.160 --> 00:00:17.160]  都在珠女邊向大家文案
[00:00:17.160 --> 00:00:20.760]  心願在這個不容易的世代裡
[00:00:20.760 --> 00:00:22.760]  我們能夠彼此結連
[00:00:22.760 --> 00:00:24.760]  就算去到世界各地裡
[00:00:24.760 --> 00:00:28.160]  上帝的愛仍然和我們走在一起
[00:00:28.160 --> 00:00:30.160]  無論世界有多艱難
[00:00:30.160 --> 00:00:34.680]  這一堂道是
[00:00:34.680 --> 00:00:36.680]  說了這麼久以來
[00:00:36.680 --> 00:00:38.680]  這一堂是不屬於我的道
[00:00:38.680 --> 00:00:43.360]  這一堂道是我這位老師所說的道
[00:00:43.360 --> 00:00:45.360]  所以以下的內容
[00:00:45.360 --> 00:00:51.920]  我只不過是跟我老師說過的話
[00:00:51.920 --> 00:00:55.040]  他這篇道在網上都可以聽
[00:00:55.040 --> 00:00:59.640]  說得好或是說得大家有感動的是
[00:00:59.640 --> 00:01:02.200]  所有的credit都是屬於老師
[00:01:02.200 --> 00:01:04.200]  如果有任何閃失的話
[00:01:04.200 --> 00:01:07.640]  是我自己狗尾族雕說得差
[00:01:07.640 --> 00:01:11.240]  這個星期是楊姨
[00:01:11.240 --> 00:01:13.000]  我神學院的班主任
[00:01:13.000 --> 00:01:14.440]  我這位老師
[00:01:14.440 --> 00:01:17.720]  逝世一周年的日子
[00:01:17.720 --> 00:01:19.240]  在星期三的時候
[00:01:19.240 --> 00:01:20.840]  有一位同學
[00:01:20.840 --> 00:01:23.320]  當我吃飯的時候在神學院
[00:01:23.320 --> 00:01:26.120]  他坐下來跟我說
[00:01:26.120 --> 00:01:29.520]  為什麼這麼多人說楊姨
[00:01:29.520 --> 00:01:34.120]  為什麼這麼多人還會提楊姨這個人
[00:01:34.120 --> 00:01:36.120]  這個人大約二十多歲
[00:01:36.120 --> 00:01:38.720]  他正在讀第二年
[00:01:38.720 --> 00:01:40.720]  他問這個問題的時候
[00:01:40.720 --> 00:01:43.200]  我只回答一個答案
[00:01:43.200 --> 00:01:45.400]  那時候我說
[00:01:45.400 --> 00:01:47.400]  很多人會過去
[00:01:47.400 --> 00:01:51.680]  很多人的生命都會做很多偉大的事
[00:01:51.680 --> 00:01:53.280]  但我說
