
[00:00:00.000 --> 00:00:11.360]  我哋都俾得我哋嘅人生
[00:00:11.360 --> 00:00:19.240]  我哋嘅屬靈生命都經歷過過山車
[00:00:19.240 --> 00:00:25.600]  我哋曾經都試過做好多嘢
[00:00:25.600 --> 00:00:29.960]  亦諗過好多可以做嘅嘢
[00:00:29.960 --> 00:00:35.040]  亦盡咗力去做好多嘢
[00:00:35.040 --> 00:00:40.920]  但係都唔係自己想要嘅
[00:00:40.920 --> 00:00:47.600]  我哋曾經都相信唔同嘅關係
[00:00:47.600 --> 00:00:57.840]  但係有時個結果唔係我哋想要嘅
[00:00:57.840 --> 00:01:01.280]  我哋都係彼得
[00:01:01.280 --> 00:01:05.280]  我哋同彼得好似
[00:01:05.280 --> 00:01:14.400]  當我哋發覺自己有好多千言萬語嘅時候
[00:01:14.400 --> 00:01:18.320]  發覺自己好似唔識講嘢咁
[00:01:18.320 --> 00:01:20.320]  覺得自己前窮
[00:01:20.320 --> 00:01:23.120]  唔知你有冇試過
[00:01:23.120 --> 00:01:28.200]  喺你手機嘅playlist入面
[00:01:28.200 --> 00:01:32.680]  有啲歌你係keep住咁loop嘅
[00:01:32.680 --> 00:01:35.880]  你每次聽嗰首歌嘅時候
[00:01:35.880 --> 00:01:40.920]  都感覺到有一種被釋放嘅感覺
[00:01:40.920 --> 00:01:43.480]  每次聽嗰首歌嘅時候
[00:01:43.480 --> 00:01:51.760]  都覺得佢代你講咗好多好多嘅說話
[00:01:51.760 --> 00:01:55.440]  你覺得自己好沉
[00:01:55.440 --> 00:01:59.120]  你覺得有人明白你
[00:01:59.120 --> 00:02:03.360]  你覺得自己好無助
[00:02:03.360 --> 00:02:08.000]  你知道佢知道
[00:02:08.000 --> 00:02:10.520]  每次聽嗰首歌嘅時候
[00:02:10.520 --> 00:02:13.040]  你代入其中
[00:02:13.040 --> 00:02:24.280]  你就感受到你冇被遺棄
[00:02:24.280 --> 00:02:26.880]  但當你自己一個靜落嚟嘅時候
[00:02:26.880 --> 00:02:29.720]  你又會發覺
[00:02:29.720 --> 00:02:33.280]  當呢啲都冇曬嘅時候
[00:02:33.280 --> 00:02:36.320]  其實我剩返啲乜嘢呢
[00:02:36.320 --> 00:02:39.880]  你又反反覆覆咁樣質疑自己
[00:02:39.880 --> 00:02:42.360]  但朝頭早起身嘅時候
