
[00:00:00.000 --> 00:00:02.000]  四位姐妹平安
[00:00:02.000 --> 00:00:05.640]  多謝我們這班七彩的敬拜隊
[00:00:05.640 --> 00:00:07.640]  大家有沒有留意他們的爵士曲
[00:00:07.640 --> 00:00:10.400]  是跟我一樣的 不同顏色的
[00:00:10.400 --> 00:00:12.400]  (笑聲)
[00:00:12.400 --> 00:00:14.400]  今天的片是七彩的
[00:00:14.400 --> 00:00:17.400]  所以今天的講題是七彩福音戰士
[00:00:17.400 --> 00:00:21.400]  我們聽到之前一起祈禱
[00:00:21.400 --> 00:00:25.900]  萬主之主萬王之王
[00:00:25.900 --> 00:00:27.900]  我們要不失苦復敬拜你
[00:00:27.900 --> 00:00:29.900]  因為你是全地的主
[00:00:29.900 --> 00:00:31.900]  今天我們聚集在你面前
[00:00:31.900 --> 00:00:33.900]  求聖靈你幫助我們
[00:00:33.900 --> 00:00:35.900]  讓我們有能力
[00:00:35.900 --> 00:00:37.900]  你充滿我們 讓我們有智慧
[00:00:37.900 --> 00:00:39.900]  以致我們在這個世代
[00:00:39.900 --> 00:00:41.900]  我們仍然能成為你的見證
[00:00:41.900 --> 00:00:43.900]  求聖靈你成為我們的老師
[00:00:43.900 --> 00:00:45.900]  讓我們明白你的說話
[00:00:45.900 --> 00:00:48.900]  也賜給我們能力能夠走在神的道中
[00:00:48.900 --> 00:00:49.900]  我們這樣祈禱
[00:00:49.900 --> 00:00:51.900]  是奉耶穌基督的聖名祈求
[00:00:51.900 --> 00:00:53.900]  阿們
[00:00:53.900 --> 00:00:55.900]  這次雙月題的上妝
[00:00:55.900 --> 00:00:57.900]  不知道你們有沒有聽到一種
[00:00:57.900 --> 00:00:59.900]  離我很遠的感覺
[00:00:59.900 --> 00:01:01.900]  有些人沒有
[00:01:01.900 --> 00:01:04.900]  因為我前陣子才遇見一個姊妹
[00:01:04.900 --> 00:01:05.900]  她跟我說
[00:01:05.900 --> 00:01:08.900]  我下星期就轉字頭
[00:01:08.900 --> 00:01:11.900]  我轉二字頭
[00:01:11.900 --> 00:01:17.900]  我說 哦 我都生到你出了
[00:01:17.900 --> 00:01:21.900]  可能你沒有離我很遠
