
[00:00:00.000 --> 00:00:05.740]  今天我們會透過一個聖經人物
[00:00:05.740 --> 00:00:07.120]  大家都熟悉的
[00:00:07.120 --> 00:00:08.360]  叫瓦國
[00:00:08.360 --> 00:00:10.460]  應該留堂在半年前
[00:00:10.460 --> 00:00:12.960]  留堂的目者都講過這段經文
[00:00:12.960 --> 00:00:16.160]  瓦國在瓦國渡口的一個經歷
[00:00:16.160 --> 00:00:19.840]  我想和瓦國人生計一計數
[00:00:19.840 --> 00:00:24.720]  一個一生追求自己夢想祝福的男人
[00:00:24.720 --> 00:00:26.560]  他拼了這麼多年
[00:00:26.560 --> 00:00:29.200]  最後他得到什麼呢?
[00:00:29.200 --> 00:00:31.640]  他又失去了什麼呢?
[00:00:31.640 --> 00:00:34.400]  我想透過瓦國渡口
[00:00:34.400 --> 00:00:36.000]  瓦國的一段經歷
[00:00:36.000 --> 00:00:38.400]  讓我和你又想一想
[00:00:38.400 --> 00:00:40.800]  我和你拼命了這麼多年
[00:00:40.800 --> 00:00:42.400]  在職場也好
[00:00:42.400 --> 00:00:43.520]  在人生也好
[00:00:43.520 --> 00:00:44.880]  活過這麼多年
[00:00:44.880 --> 00:00:46.400]  我們計一計數
[00:00:46.400 --> 00:00:49.360]  究竟你得到的是什麼
[00:00:49.360 --> 00:00:51.920]  你蝕了的又是什麼
[00:00:51.920 --> 00:00:55.600]  我們今天會循著這條主路
[00:00:55.600 --> 00:00:58.240]  一同去想這個故事
[00:00:58.240 --> 00:00:59.760]  經文熟悉了
[00:00:59.760 --> 00:01:02.000]  所以我不特別詳細去講
[00:01:02.000 --> 00:01:04.800]  我只是簡單講一下背景
[00:01:04.800 --> 00:01:07.440]  經文的二十年前
[00:01:07.440 --> 00:01:10.800]  瓦國在他孿生哥哥手上
[00:01:10.800 --> 00:01:13.360]  騙取了長子的名分
[00:01:13.360 --> 00:01:16.320]  在爸爸手中騙取了祝福
[00:01:16.320 --> 00:01:17.920]  他哥哥知道之後
[00:01:17.920 --> 00:01:20.640]  立誓要取弟弟的性命
[00:01:20.640 --> 00:01:22.080]  媽媽知道
[00:01:22.080 --> 00:01:24.560]  就幫瓦國逃去外家
[00:01:24.560 --> 00:01:26.320]  去了舅父的家
[00:01:26.320 --> 00:01:30.080]  結果瓦國在舅父家中娶了兩個表妹
[00:01:30.080 --> 00:01:32.480]  生了一對兒女
[00:01:32.480 --> 00:01:34.880]  取得很多生畜
[00:01:34.880 --> 00:01:37.280]  這樣就過了二十年
[00:01:37.280 --> 00:01:38.720]  二十年後
[00:01:38.720 --> 00:01:43.920]  他決定帶家眷回自己家鄉
[00:01:43.920 --> 00:01:47.920]  就在進入家鄉的前一晚
[00:01:47.920 --> 00:01:49.680]  就是我們今天所看的經文
[00:01:49.680 --> 00:01:53.200]  《創世紀》三十二章二十二至二十七節
[00:01:53.200 --> 00:01:54.880]  他安頓好家眷
[00:01:54.880 --> 00:01:56.400]  過河之後
