
[00:00:00.000 --> 00:00:05.000]  難得可以大家一起敬拜榮耀的主
[00:00:05.000 --> 00:00:13.000]  John牧師說我們這期是在說什麼呢
[00:00:13.000 --> 00:00:17.000]  貴氣 高貴
[00:00:17.000 --> 00:00:21.000]  說俗一點就是不要做cheap drink
[00:00:21.000 --> 00:00:24.000]  到底怎樣才可以呢
[00:00:24.000 --> 00:00:28.000]  我就想哪些人是很有氣質 很高貴
[00:00:28.000 --> 00:00:32.000]  有些人會散杯碟散得很靈
[00:00:32.000 --> 00:00:35.000]  穿衣服穿得很正
[00:00:35.000 --> 00:00:38.000]  規矩守得很盡
[00:00:38.000 --> 00:00:42.000]  可能紅燈就一定不過馬路
[00:00:42.000 --> 00:00:46.000]  法理菜人夠不夠高貴
[00:00:46.000 --> 00:00:49.000]  還是怎樣才可以呢
[00:00:49.000 --> 00:00:52.000]  如果一個牧者全道
[00:00:52.000 --> 00:00:55.000]  不思脂粉清湯掛面
[00:00:55.000 --> 00:01:00.000]  蓬頭皺面 食相難看 粗暴無禮
[00:01:00.000 --> 00:01:04.000]  不過靈性很有深度 又關心窮人
[00:01:04.000 --> 00:01:08.000]  那又怎樣呢 高不高貴呢
[00:01:08.000 --> 00:01:12.000]  有一個人今天走進來我們這裡
[00:01:12.000 --> 00:01:14.000]  我們也不太留心他
[00:01:14.000 --> 00:01:20.000]  就是氣貌不揚 開口的時候言語操軸
[00:01:20.000 --> 00:01:22.000]  不過你不要以為這個人沒實力
[00:01:22.000 --> 00:01:25.000]  原來這個人是法理菜人
[00:01:25.000 --> 00:01:28.000]  後來他跟從耶穌
[00:01:28.000 --> 00:01:30.000]  然後他就教導人
[00:01:30.000 --> 00:01:35.000]  要用聖潔尊貴守住自己的身體
[00:01:35.000 --> 00:01:38.000]  那你覺得這個人夠不夠高貴呢
[00:01:38.000 --> 00:01:41.000]  可不可以跟他學習呢
[00:01:41.000 --> 00:01:46.000]  你能不能夠覺得自己高貴過他呢
[00:01:46.000 --> 00:01:50.000]  他還教導人不可叫人小看你
[00:01:50.000 --> 00:01:56.000]  年輕總要在言語行為 愛心信心清潔上
[00:01:56.000 --> 00:01:58.000]  都作信徒的榜樣
[00:01:58.000 --> 00:02:04.000]  這裡好像很多人都是小時候上教會的人
[00:02:04.000 --> 00:02:07.000]  我也是小時候上教會的
[00:02:07.000 --> 00:02:11.000]  有人以為一路上教會就會越上越好
[00:02:11.000 --> 00:02:16.000]  在教會長大 我是在教會長大在教會壞
[00:02:16.000 --> 00:02:18.000]  所以你不要騙我
[00:02:18.000 --> 00:02:20.000]  以為你做過一些教會的事
[00:02:20.000 --> 00:02:24.000]  你自然會越來越變得很高貴
[00:02:24.000 --> 00:02:26.000]  其實不一定
[00:02:26.000 --> 00:02:29.000]  集體的敬拜聚會
[00:02:29.000 --> 00:02:32.000]  當然有聖靈的恩典在當中
[00:02:32.000 --> 00:02:34.000]  人是會改變的
[00:02:34.000 --> 00:02:36.000]  不過也有可能
[00:02:36.000 --> 00:02:40.000]  人無論在這些活動裡浸了多少年
[00:02:40.000 --> 00:02:43.000]  其實甚至做牧者傳道
[00:02:43.000 --> 00:02:45.000]  做了很多十年
[00:02:45.000 --> 00:02:50.000]  最後都未必很高貴
[00:02:50.000 --> 00:02:56.000]  到底怎樣可以在品格和行為上都能夠高貴
[00:02:56.000 --> 00:03:03.000]  在思想和生活裡都能夠追求高貴
[00:03:03.000 --> 00:03:07.000]  其實有時候我們在一些社交場合
[00:03:07.000 --> 00:03:10.000]  見到一些牧者
[00:03:10.000 --> 00:03:14.000]  我們真的覺得有一點尷尬
[00:03:14.000 --> 00:03:17.000]  因為有些牧者食相很難看
[00:03:17.000 --> 00:03:19.000]  有些人一邊吃東西
[00:03:19.000 --> 00:03:21.000]  一邊吃 整個口都是東西
[00:03:21.000 --> 00:03:25.000]  都是拼命說話 說到東西都噴出來
[00:03:25.000 --> 00:03:28.000]  有些人夾筷子的時候
[00:03:28.000 --> 00:03:31.000]  會去舀一塊他喜歡吃的東西來吃
[00:03:31.000 --> 00:03:33.000]  那他是牧者
[00:03:33.000 --> 00:03:35.000]  那你覺得怎樣
[00:03:35.000 --> 00:03:38.000]  那你就說他始終是牧者
[00:03:38.000 --> 00:03:41.000]  不過他出身貧旱 所以是這樣的
[00:03:41.000 --> 00:03:44.000]  我想不關出不出身的事吧
[00:03:44.000 --> 00:03:47.000]  是關自己生命的操練吧
[00:03:47.000 --> 00:03:52.000]  是否牧者都應該在社交禮儀
[00:03:52.000 --> 00:03:55.000]  生活細節 談吐風度
[00:03:55.000 --> 00:03:57.000]  各方面都有些進步呢
[00:03:57.000 --> 00:03:59.000]  各位覺得如何呢
[00:03:59.000 --> 00:04:03.000]  我有時候這樣說真的會得罪人
[00:04:03.000 --> 00:04:06.000]  不過我覺得其實都是提醒自己
[00:04:06.000 --> 00:04:10.000]  因為自己可能有時候食相都不一定好看
[00:04:10.000 --> 00:04:14.000]  不過因為有父母教
[00:04:14.000 --> 00:04:16.000]  你不可以飛將過河
[00:04:16.000 --> 00:04:19.000]  你可以在你面前有什麼的時候
[00:04:19.000 --> 00:04:21.000]  你就夾那一件
[00:04:21.000 --> 00:04:24.000]  然後你又要對人有禮貌
[00:04:24.000 --> 00:04:27.000]  特別是長輩在你前面走的時候
[00:04:27.000 --> 00:04:30.000]  你不要一聲嘭就趴他頭
[00:04:30.000 --> 00:04:34.000]  你要慢慢地抄他不覺的時候才趴他頭
[00:04:34.000 --> 00:04:37.000]  或者你會開門的時候
[00:04:37.000 --> 00:04:39.000]  會拉開門 給不太方便的
[00:04:39.000 --> 00:04:41.000]  不過我發覺今天在香港
[00:04:41.000 --> 00:04:45.000]  你幫人拉開門 有時候人家覺得你多餘
[00:04:45.000 --> 00:04:46.000]  你有沒有這樣的感覺
[00:04:46.000 --> 00:04:49.000]  不單不感謝你 覺得你阻礙他
[00:04:49.000 --> 00:04:52.000]  不過無論如何我們都是高貴的
[00:04:52.000 --> 00:04:56.000]  你不感謝我 我都要幫你拉開門
[00:04:56.000 --> 00:05:01.000]  我今天在巴士從樓上下來的時候
[00:05:01.000 --> 00:05:05.000]  一到最低的級別就踩到人家的腳
[00:05:05.000 --> 00:05:09.000]  其實是他伸腳出來讓我踩的
[00:05:09.000 --> 00:05:12.000]  因為他坐在樓梯級最低的那裡
[00:05:12.000 --> 00:05:15.000]  我下樓梯 腳又痛痛的
[00:05:15.000 --> 00:05:16.000]  我真的不是那麼靈敏
[00:05:16.000 --> 00:05:18.000]  不過我都很靈敏的
[00:05:18.000 --> 00:05:19.000]  我覺得我踩到人的時候
[00:05:19.000 --> 00:05:21.000]  我馬上縮腳 說對不起
[00:05:21.000 --> 00:05:22.000]  不過我很小聲
[00:05:22.000 --> 00:05:25.000]  然後我站在那裡準備下車的時候
[00:05:25.000 --> 00:05:27.000]  聽見後面有一把聲音說
[00:05:27.000 --> 00:05:30.000]  踩到人一句話都沒有
[00:05:30.000 --> 00:05:33.000]  而且還這麼斯文的樣子
[00:05:33.000 --> 00:05:35.000]  我就忍住不理他
[00:05:35.000 --> 00:05:37.000]  因為周圍有很多人在
[00:05:37.000 --> 00:05:39.000]  到真的下車的時候
[00:05:39.000 --> 00:05:41.000]  我好有個罅隙
[00:05:41.000 --> 00:05:42.000]  我就看著他
[00:05:42.000 --> 00:05:45.000]  我說剛才踩到你真的很對不起
