
[00:00:00.000 --> 00:00:03.000]  鄧穎佩
[00:00:03.000 --> 00:00:05.000]  鄧穎佩平安
[00:00:05.000 --> 00:00:09.000]  又來到香港人的十二度風味
[00:00:09.000 --> 00:00:13.000]  剛才大家看了一段港島片的歌曲
[00:00:13.000 --> 00:00:14.000]  大家都知道
[00:00:14.000 --> 00:00:19.000]  是改編自日劇《深夜食堂》的主題曲
[00:00:19.000 --> 00:00:23.000]  這首歌幾年前就已經寫好了
[00:00:23.000 --> 00:00:27.000]  當時應該是還沒有疫情的年代
[00:00:27.000 --> 00:00:33.000]  那時候想開一堂崇拜
[00:00:33.000 --> 00:00:36.000]  開一堂深夜崇拜
[00:00:36.000 --> 00:00:38.000]  十點鐘開始
[00:00:38.000 --> 00:00:43.000]  當時還沒有網崇
[00:00:43.000 --> 00:00:45.000]  開一堂崇拜在十點鐘之後
[00:00:45.000 --> 00:00:48.000]  突然寫了一首詩歌
[00:00:48.000 --> 00:00:52.000]  叫做《深夜樓堂》
[00:00:52.000 --> 00:00:54.000]  寫了一首歌出來
[00:00:54.000 --> 00:00:57.000]  後來就沒有用了
[00:00:57.000 --> 00:01:00.000]  有機會就用回這首詩歌
[00:01:00.000 --> 00:01:02.000]  今天的講題是
[00:01:02.000 --> 00:01:06.000]  食手座 生活束縛 定放手一搏
[00:01:06.000 --> 00:01:09.000]  定這個講題純粹因為網上找到
[00:01:09.000 --> 00:01:14.000]  人馬座的時候找到這個句子
[00:01:14.000 --> 00:01:17.000]  人馬座不喜歡被束縛
[00:01:17.000 --> 00:01:20.000]  純粹因為這樣就定了這個講題
[00:01:20.000 --> 00:01:22.000]  麥克風好像不太行
[00:01:22.000 --> 00:01:24.000]  麥克風不夠大
[00:01:24.000 --> 00:01:28.000]  沒有其他原因
[00:01:28.000 --> 00:01:32.000]  純粹因為沒有人馬座
[00:01:32.000 --> 00:01:35.000]  不喜歡被束縛的人
[00:01:35.000 --> 00:01:38.000]  就定了今天的講題
[00:01:38.000 --> 00:01:40.000]  回到那一段大家都很熟悉的經文
[00:01:40.000 --> 00:01:44.000]  就是荒書裏面耶穌行在水面上的故事
[00:01:44.000 --> 00:01:47.000]  來思考這個題目
[00:01:47.000 --> 00:01:49.000]  我們一起祈禱
[00:01:49.000 --> 00:01:55.000]  祈禱
[00:01:55.000 --> 00:01:57.000]  祈求你幫助我們
[00:01:57.000 --> 00:01:59.000]  幫助我們能夠在今天晚上
[00:01:59.000 --> 00:02:02.000]  你自己對我們說話
[00:02:02.000 --> 00:02:05.000]  讓我們能夠在你的說話裏
[00:02:05.000 --> 00:02:13.000]  知道我們怎樣認定你自己的大靈
[00:02:13.000 --> 00:02:15.000]  幫助我們
[00:02:15.000 --> 00:02:18.000]  讓我們能夠在聖經的說話裏
[00:02:18.000 --> 00:02:20.000]  能夠好好地聆聽
[00:02:20.000 --> 00:02:21.000]  幫助孩子
[00:02:21.000 --> 00:02:22.000]  雖然不配
[00:02:22.000 --> 00:02:23.000]  但你自己來帶領我們
[00:02:23.000 --> 00:02:24.000]  求你幫助
[00:02:24.000 --> 00:02:25.000]  奉主命求
[00:02:25.000 --> 00:02:26.000]  阿門
[00:02:26.000 --> 00:02:28.000]  今天跟大家看一段
[00:02:28.000 --> 00:02:31.000]  耶穌在海上行走的故事
[00:02:31.000 --> 00:02:34.000]  耶穌在海上行走
[00:02:34.000 --> 00:02:37.000]  在三卷荒書裏面都有記載
[00:02:37.000 --> 00:02:38.000]  大家都很熟悉
[00:02:38.000 --> 00:02:44.000]  不過今天也值得去很詳細地研究裏面的細節
[00:02:44.000 --> 00:02:45.000]  我們一起去看
[00:02:45.000 --> 00:02:46.000]  雖然很長
[00:02:46.000 --> 00:02:48.000]  但也值得讀
[00:02:48.000 --> 00:02:49.000]  我們一起讀
[00:02:49.000 --> 00:02:51.000]  預備 1 2 3 第一段
[00:02:51.000 --> 00:02:52.000]  馬拉夫音
[00:02:52.000 --> 00:02:53.000]  預備 1 2 3
[00:02:53.000 --> 00:02:54.000]  謝謝
[00:02:54.000 --> 00:02:57.000]  雖然裏面的文字是有少許不同
[00:02:57.000 --> 00:03:02.000]  基本上這三段經文都是一模一樣的套路
[00:03:02.000 --> 00:03:03.000]  第一
[00:03:03.000 --> 00:03:06.000]  經文一開始就去記載
[00:03:06.000 --> 00:03:08.000]  耶穌晚上在海上行走
[00:03:08.000 --> 00:03:09.000]  這是第一點
[00:03:09.000 --> 00:03:10.000]  第二
[00:03:10.000 --> 00:03:13.000]  門徒見到海上的耶穌
[00:03:13.000 --> 00:03:14.000]  就驚慌
[00:03:14.000 --> 00:03:15.000]  第三
[00:03:15.000 --> 00:03:16.000]  耶穌說
[00:03:16.000 --> 00:03:17.000]  是我不要怕
[00:03:17.000 --> 00:03:18.000]  第四
[00:03:18.000 --> 00:03:21.000]  門徒就請耶穌上船
[00:03:21.000 --> 00:03:23.000]  就結束了
[00:03:23.000 --> 00:03:27.000]  三卷經文都是依照著這個套路
[00:03:27.000 --> 00:03:31.000]  來推進耶穌離海的故事
[00:03:31.000 --> 00:03:33.000]  不過大家不知道這樣的感覺
[00:03:33.000 --> 00:03:35.000]  其實我們也不太明白
[00:03:35.000 --> 00:03:39.000]  為什麼耶穌會在海上行走
[00:03:39.000 --> 00:03:42.000]  耶穌在水上行走
[00:03:42.000 --> 00:03:48.000]  其實也不算是一個很實用的神蹟
[00:03:48.000 --> 00:03:49.000]  我自己也不明白
[00:03:49.000 --> 00:03:51.000]  為什麼耶穌不需要在海上行走
[00:03:51.000 --> 00:03:53.000]  你說平靜風和海
[00:03:53.000 --> 00:03:54.000]  我明白
[00:03:54.000 --> 00:03:56.000]  有些風浪當然要平靜
[00:03:56.000 --> 00:03:58.000]  你說醫病講鬼我也明白
[00:03:58.000 --> 00:03:59.000]  有人病了
[00:03:59.000 --> 00:04:00.000]  有人被鬼附
[00:04:00.000 --> 00:04:02.000]  你醫他也很合理
[00:04:02.000 --> 00:04:04.000]  耶穌幫他也很合理
[00:04:04.000 --> 00:04:06.000]  你說叫死人復活
[00:04:06.000 --> 00:04:07.000]  我也更加明白
[00:04:07.000 --> 00:04:08.000]  生死攸關
[00:04:08.000 --> 00:04:10.000]  耶穌當然出手幫助
[00:04:10.000 --> 00:04:11.000]  行神蹟
[00:04:11.000 --> 00:04:14.000]  甚至你說水變酒我也明白
[00:04:14.000 --> 00:04:18.000]  結婚對新人賓客也會開心
[00:04:18.000 --> 00:04:20.000]  這是一個很實用的神蹟
[00:04:20.000 --> 00:04:24.000]  但是耶穌行在水上
[00:04:24.000 --> 00:04:27.000]  其實是一個很無聊的神蹟
[00:04:27.000 --> 00:04:29.000]  大家有這樣的感覺嗎
[00:04:29.000 --> 00:04:32.000]  所以你猜不到耶穌會這樣做
[00:04:32.000 --> 00:04:34.000]  突然在海上行走
