
[00:00:00.000 --> 00:00:04.000]  大英姐妹晚安,我是阿迪
[00:00:04.000 --> 00:00:08.000]  我加入了Flow Church有三個月的時間
[00:00:08.000 --> 00:00:12.000]  我是1988年入建道神學院的
[00:00:12.000 --> 00:00:16.000]  一直住在長洲
[00:00:16.000 --> 00:00:19.000]  在長洲侍奉了大概有十年的時間
[00:00:19.000 --> 00:00:22.000]  當時是服侍中學生
[00:00:22.000 --> 00:00:24.000]  到2011年的時候
[00:00:24.000 --> 00:00:29.000]  我出來了荔枝角一棟大廈的教會去侍奉
[00:00:29.000 --> 00:00:33.000]  做大專和…
[00:00:33.000 --> 00:00:34.000]  笑甚麼?
[00:00:34.000 --> 00:00:37.000]  因為我想有很多人都在這裡相認了
[00:00:37.000 --> 00:00:39.000]  所以就…
[00:00:39.000 --> 00:00:42.000]  但當時我仍然在荔枝角服侍
[00:00:42.000 --> 00:00:46.000]  我仍然住在長洲一段時間
[00:00:46.000 --> 00:00:49.000]  每一次回長洲的時候都會經過中環
[00:00:49.000 --> 00:00:55.000]  在中環的時候有時會見到一些推紙皮的長者
[00:00:55.000 --> 00:00:59.000]  有一次我大概要趕十點船
[00:00:59.000 --> 00:01:02.000]  見到一個婆婆在推紙皮
[00:01:02.000 --> 00:01:06.000]  她推在電車路附近
[00:01:06.000 --> 00:01:08.000]  一直走著電車路
[00:01:08.000 --> 00:01:12.000]  大家都知道電車路旁邊其實只有單線行車
[00:01:12.000 --> 00:01:13.000]  單線行車的時候
[00:01:13.000 --> 00:01:17.000]  我發覺有些巴士或車在她後面飄過
[00:01:17.000 --> 00:01:21.000]  然後就停在她的位置前面
[00:01:21.000 --> 00:01:25.000]  我發覺不知是哪來的…
[00:01:25.000 --> 00:01:27.000]  好,看到了
[00:01:27.000 --> 00:01:28.000]  不是很對咪
[00:01:28.000 --> 00:01:31.000]  所以當時不知是從哪來的感動
[00:01:31.000 --> 00:01:34.000]  我就去幫她一起去推
[00:01:34.000 --> 00:01:36.000]  推了一會的時候
[00:01:36.000 --> 00:01:39.000]  我發覺為何她推得那麼出呢?
[00:01:39.000 --> 00:01:42.000]  因為她幾乎霸佔了整條單線行車
[00:01:42.000 --> 00:01:46.000]  所以車就要繞過去了
[00:01:46.000 --> 00:01:50.000]  我就問婆婆你這樣推很危險
[00:01:50.000 --> 00:01:53.000]  她就說你不明白的
[00:01:53.000 --> 00:01:55.000]  她很簡單的回覆我
[00:01:55.000 --> 00:01:57.000]  我都沒有追問她太多
[00:01:57.000 --> 00:01:59.000]  然後我就站在她右邊
[00:01:59.000 --> 00:02:02.000]  我就嘗試借力去推她進去
[00:02:02.000 --> 00:02:04.000]  她又跟我鬥力去推出來
[00:02:04.000 --> 00:02:06.000]  我又嘗試借力去推她進去
[00:02:06.000 --> 00:02:10.000]  推著推著就發覺推不動車
[00:02:10.000 --> 00:02:12.000]  為甚麼?
[00:02:12.000 --> 00:02:15.000]  因為下了洞
[00:02:15.000 --> 00:02:18.000]  那一刻我就發現
[00:02:18.000 --> 00:02:22.000]  從我的眼光視野去看她是很危險
[00:02:22.000 --> 00:02:28.000]  但是原來從她的經驗和日常裏面
[00:02:28.000 --> 00:02:32.000]  她告訴我原來她推得出
[00:02:32.000 --> 00:02:35.000]  就是避開了那些坑渠窿
[00:02:35.000 --> 00:02:38.000]  大家意識到吧?
[00:02:38.000 --> 00:02:42.000]  雙黃線那裏有一些坑渠窿
[00:02:42.000 --> 00:02:44.000]  所以她就要推出
[00:02:44.000 --> 00:02:48.000]  當時我發覺其實我不是很理解她的狀況
[00:02:48.000 --> 00:02:53.000]  當我和她一路行這段路的時候
[00:02:53.000 --> 00:02:56.000]  我就發覺理解到原來她的狀況
[00:02:56.000 --> 00:03:00.000]  是因為她知道自己不夠力去推
[00:03:00.000 --> 00:03:03.000]  她是一個不夠五呎的婆婆
[00:03:03.000 --> 00:03:05.000]  七十多歲
[00:03:05.000 --> 00:03:09.000]  那街上的人就一直都知道
[00:03:09.000 --> 00:03:11.000]  其實她每晚都會路經那裏
[00:03:11.000 --> 00:03:14.000]  所以店舖九點多關門
[00:03:14.000 --> 00:03:18.000]  當我們路經的時候
[00:03:18.000 --> 00:03:22.000]  他們是拿盒子皮搭在車上
[00:03:22.000 --> 00:03:25.000]  當我一路和她行由中環
[00:03:25.000 --> 00:03:27.000]  一路去到上環的時候
[00:03:27.000 --> 00:03:29.000]  我發覺她開始看不到
[00:03:29.000 --> 00:03:33.000]  她就是靠那條雙黃線去辨別自己的位置
[00:03:33.000 --> 00:03:36.000]  在那一刻我突然間發覺
[00:03:36.000 --> 00:03:38.000]  在很多她的處境
[00:03:38.000 --> 00:03:40.000]  用我的眼光去看
[00:03:40.000 --> 00:03:41.000]  是危險的
[00:03:41.000 --> 00:03:42.000]  是怎樣怎樣
[00:03:42.000 --> 00:03:45.000]  但原來我不是在她的世界
[00:03:45.000 --> 00:03:48.000]  或者不知道原來她的限制是這樣
[00:03:48.000 --> 00:03:51.000]  有時我們的視野
[00:03:51.000 --> 00:03:53.000]  我們怎樣看一件事
[00:03:53.000 --> 00:03:54.000]  怎樣看一個人
[00:03:54.000 --> 00:03:56.000]  或者怎樣看那件事發生
[00:03:56.000 --> 00:04:00.000]  是被我們自己的視野框架去框住了
[00:04:00.000 --> 00:04:02.000]  我們去看別人的時候
[00:04:02.000 --> 00:04:06.000]  未必知道他正面對的一些難處
[00:04:06.000 --> 00:04:07.000]  或者這樣說
[00:04:07.000 --> 00:04:10.000]  我們未必看到他真正的需要
[00:04:10.000 --> 00:04:13.000]  今天我們看《仕途行傳》第三章
[00:04:13.000 --> 00:04:15.000]  大家是一個很熟悉的故事
[00:04:15.000 --> 00:04:19.000]  講到彼得約翰去見到一個人的需要的時候
[00:04:19.000 --> 00:04:22.000]  他怎樣即時去作出回應
[00:04:22.000 --> 00:04:24.000]  他們的行動不單止幫到這個人
[00:04:24.000 --> 00:04:29.000]  而且扭轉了這個人和其他旁觀者的生命
[00:04:29.000 --> 00:04:32.000]  我們看到PowerPoint的時候
[00:04:32.000 --> 00:04:35.000]  我們一起讀《仕途行傳》第三章第一至十節
[00:04:35.000 --> 00:04:36.000]  好,預備起
[00:04:37.000 --> 00:04:39.000]  新初禱告的時候
[00:04:39.000 --> 00:04:41.000]  彼得約翰上聖殿去
[00:04:41.000 --> 00:04:44.000]  有一個人生來是瘸腿的
[00:04:44.000 --> 00:04:48.000]  天天被人抬來放在殿的一個門口
[00:04:48.000 --> 00:04:50.000]  那門名叫美門
[00:04:50.000 --> 00:04:53.000]  要求進殿的人周濟
[00:04:53.000 --> 00:04:56.000]  他看見彼得約翰將要進殿
[00:04:56.000 --> 00:04:58.000]  就求他們周濟
[00:04:58.000 --> 00:05:01.000]  彼得約翰定睛看他
[00:05:01.000 --> 00:05:04.000]  彼得說:你看我們
[00:05:04.000 --> 00:05:07.000]  那人就留意看他們
[00:05:07.000 --> 00:05:09.000]  只望得著什麼
[00:05:09.000 --> 00:05:12.000]  彼得說:金銀我都沒有
[00:05:12.000 --> 00:05:15.000]  只把我所有的給你
[00:05:15.000 --> 00:05:20.000]  我奉拿撒勒人耶穌的名起來行走
[00:05:20.000 --> 00:05:24.000]  於是拉著他的右手扶他起來
[00:05:24.000 --> 00:05:28.000]  他的腳和裸子骨立刻見撞了
[00:05:28.000 --> 00:05:31.000]  就跳起來站著又行走
[00:05:31.000 --> 00:05:36.000]  和他們進了殿走著跳著讚美上帝
[00:05:36.000 --> 00:05:39.000]  百姓看見他們行走
[00:05:39.000 --> 00:05:41.000]  讚美上帝
[00:05:41.000 --> 00:05:45.000]  認得他是那素常坐在殿的門口
