
[00:00:00.000 --> 00:00:03.600]  首先祝願我們在座的每一位
[00:00:03.600 --> 00:00:05.400]  還有香港人
[00:00:05.400 --> 00:00:06.720]  大家都有功返
[00:00:06.720 --> 00:00:07.720]  阿們
[00:00:07.720 --> 00:00:09.680]  祝願大家每一位都可以
[00:00:09.680 --> 00:00:11.520]  花一份自己喜歡的工
[00:00:11.520 --> 00:00:12.520]  阿們
[00:00:12.520 --> 00:00:15.800]  香港人的第四道風味
[00:00:15.800 --> 00:00:17.400]  就是沒有功返
[00:00:17.400 --> 00:00:20.200]  失業人口增加到11.2萬
[00:00:20.200 --> 00:00:21.200]  各位
[00:00:21.200 --> 00:00:23.000]  經濟很差
[00:00:23.000 --> 00:00:25.600]  企業清盤按年升了四成
[00:00:25.600 --> 00:00:26.600]  各位
[00:00:26.600 --> 00:00:28.320]  大家都知道
[00:00:29.000 --> 00:00:31.000]  有一樣東西我不知道
[00:00:31.000 --> 00:00:33.920]  就是金牛座究竟是什麼
[00:00:33.920 --> 00:00:36.600]  所以我為了這個藝題
[00:00:36.600 --> 00:00:38.920]  我做了一個小小的研究
[00:00:38.920 --> 00:00:42.600]  我問了一些421至520出生的牛牛
[00:00:42.600 --> 00:00:44.200]  所謂的牛牛
[00:00:44.200 --> 00:00:45.520]  他們都是人
[00:00:45.520 --> 00:00:47.920]  我現在是先這樣稱呼
[00:00:47.920 --> 00:00:50.320]  第一個攀開,麻煩你
[00:00:50.320 --> 00:00:51.520]  我問他們
[00:00:51.520 --> 00:00:53.520]  你們是不是一個事業深重的人
[00:00:53.520 --> 00:00:56.000]  然後有牛牛回覆
[00:00:56.000 --> 00:00:57.800]  他說:看來不是
[00:00:57.800 --> 00:00:59.400]  但是暗地裡是
[00:00:59.400 --> 00:01:01.320]  又有說
[00:01:01.320 --> 00:01:03.520]  我覺得我很需要工作
[00:01:03.520 --> 00:01:06.720]  但是沒有追求什麼成就
[00:01:06.720 --> 00:01:08.720]  不過也需要肯定
[00:01:08.720 --> 00:01:11.920]  有年長牛就表示
[00:01:11.920 --> 00:01:14.520]  他說:不是的
[00:01:14.520 --> 00:01:16.720]  但是我是一個做事很小心
[00:01:16.720 --> 00:01:18.320]  和很盡責的人
[00:01:18.320 --> 00:01:20.520]  他的兒子就跟我說
[00:01:20.520 --> 00:01:22.120]  十號風球一落
[00:01:22.120 --> 00:01:24.720]  他媽媽會是第一個回到公司的人
[00:01:24.720 --> 00:01:27.120]  我又問
[00:01:27.120 --> 00:01:28.720]  在家裡
[00:01:28.720 --> 00:01:31.120]  在工作和在自己的me time當中
[00:01:31.120 --> 00:01:33.520]  要排一個順序會怎樣排
[00:01:33.520 --> 00:01:35.520]  綜觀來說
[00:01:35.520 --> 00:01:37.120]  工作也是第一位
[00:01:37.120 --> 00:01:39.720]  年長牛的兒子表示
[00:01:39.720 --> 00:01:42.120]  他說:我媽媽是沒有me time的
[00:01:42.120 --> 00:01:44.920]  他說:我媽明明已經做得很好
