
[00:00:00.000 --> 00:00:02.000]  祝大家新年快樂
[00:00:02.000 --> 00:00:05.440]  今年是我們流唐第一個主日崇拜
[00:00:05.440 --> 00:00:07.440]  2020年裏面
[00:00:07.440 --> 00:00:11.920]  希望大家能夠從低處裏面重新排起
[00:00:11.920 --> 00:00:13.440]  增日
[00:00:13.440 --> 00:00:16.240]  雖然今天是新年元旦
[00:00:16.240 --> 00:00:19.200]  但其實心裏面都有些感受
[00:00:19.200 --> 00:00:23.120]  不想在第一個主日裏面太過悲傷
[00:00:23.120 --> 00:00:25.520]  但其實我們都步步為營的
[00:00:25.520 --> 00:00:29.280]  來面對著未來的2022年
[00:00:29.280 --> 00:00:38.080]  過去三年就像我們英超聯賽三場聯賽落敗
[00:00:38.080 --> 00:00:40.880]  像Lokkaso那樣
[00:00:40.880 --> 00:00:44.080]  2019、2022、2021
[00:00:44.080 --> 00:00:50.560]  我們都似乎過了一個慘敗的年頭
[00:00:50.560 --> 00:00:53.680]  剛剛面對著2021年12月
[00:00:53.680 --> 00:01:00.800]  就像臨保時階段突然被重重的擊中一球
[00:01:00.800 --> 00:01:04.080]  心裏面是非常不屑美意的
[00:01:04.080 --> 00:01:09.840]  今天我會講一篇比較認真的講道
[00:01:09.840 --> 00:01:13.680]  過去兩個月都很多輕鬆的地方
[00:01:13.680 --> 00:01:22.720]  因為我們很需要認真面對思考
[00:01:22.720 --> 00:01:25.280]  我們自己前面的前路
[00:01:25.280 --> 00:01:35.280]  星期三的時候當立場新聞被很多人拘捕的時候
[00:01:35.280 --> 00:01:40.000]  裏面的高層、裏面的董事被拘捕
[00:01:40.000 --> 00:01:44.320]  然後公司即時停止運作
[00:01:44.320 --> 00:01:49.360]  他的網站、他的所有社交媒體都立即停止更新
[00:01:49.360 --> 00:01:53.440]  處理中編輯請辭
[00:01:53.440 --> 00:01:56.800]  所有的員工即時解散
[00:01:56.800 --> 00:02:03.120]  當我知道立場新聞被停止運作那一晚
[00:02:03.120 --> 00:02:06.480]  我整晚都睡不著
[00:02:06.480 --> 00:02:10.960]  我老婆在這裏
[00:02:10.960 --> 00:02:14.720]  我整晚在看背景的東西
[00:02:14.720 --> 00:02:20.800]  要好好地保持心裏平衡
[00:02:20.800 --> 00:02:24.080]  這幾年我完全不知道背景是誰
[00:02:24.080 --> 00:02:26.080]  我整晚都在研究背景是哪些人
[00:02:26.080 --> 00:02:30.240]  然後就有Giselle、Jenny、Lisa
[00:02:30.240 --> 00:02:34.240]  我整晚都在看
[00:02:34.240 --> 00:02:38.400]  如果我們生活在韓國多好
[00:02:38.400 --> 00:02:39.920]  在這個年代裏面
[00:02:39.920 --> 00:02:43.120]  如果Full Church是一間韓國的教會
[00:02:43.120 --> 00:02:45.440]  你說多好
[00:02:45.440 --> 00:02:47.440]  不用面對這麼多這些東西
[00:02:47.440 --> 00:02:56.880]  但我們被預定、揀選了在這個地方裏面
[00:02:56.880 --> 00:03:01.280]  然後就是我們樓堂的一首歌
[00:03:01.280 --> 00:03:02.240]  Don't Leave Me
[00:03:02.240 --> 00:03:06.720]  剛好在前幾天就開始發佈
[00:03:06.720 --> 00:03:10.800]  這首歌其實是今年年初的時候寫的
[00:03:10.800 --> 00:03:14.320]  開始有這個想法去寫
[00:03:14.320 --> 00:03:16.320]  當寫好歌詞的時候
[00:03:16.320 --> 00:03:18.880]  正正就是六月尾、七月的時間
[00:03:18.880 --> 00:03:26.480]  正正就是蘋果日報當時被倒下的時間
[00:03:26.480 --> 00:03:28.080]  剛好這首歌
[00:03:28.080 --> 00:03:29.280]  已經搞了半年
[00:03:29.280 --> 00:03:32.000]  很多的拍攝、做音樂
[00:03:32.000 --> 00:03:36.160]  剛好當這首歌正想要發佈的時候
[00:03:36.160 --> 00:03:40.640]  正正就是遇見了另一間新聞媒體倒下
[00:03:40.640 --> 00:03:44.160]  我自己很慶幸這首歌裏面寫了
[00:03:44.160 --> 00:03:46.160]  其中一個四字成語裏面
[00:03:46.160 --> 00:03:50.720]  就是「禪寒效應」這個字在這首詩歌裏面
[00:03:50.720 --> 00:03:53.520]  我覺得一、兩百年之後
[00:03:53.520 --> 00:03:54.960]  大家會回顧這首詩歌裏面
[00:03:54.960 --> 00:03:58.480]  為什麼會有一個「禪寒效應」這個字呢
[00:03:58.480 --> 00:04:01.840]  其實我覺得是很有意思的
